geo_label_city,date_label,strata_race_label,strata_sex_label,Cancer | All Cancer Deaths,Cancer | Colorectal Cancer Deaths,Cancer | Lung Cancer Deaths,Cardiovascular Disease | Cardiovascular Disease Deaths,Cardiovascular Disease | Heart Disease Deaths,Crime Incidents | Homicides,Deaths | Deaths from All Causes,Deaths | Gun Deaths (Firearms),Deaths | Injury Deaths,Deaths | Motor Vehicle Deaths,Deaths | Premature Death,Diabetes and Obesity | Diabetes Deaths,Life Expectancy at Birth | Life Expectancy,Mental Health | Suicide,Respiratory Infection | COVID-19 Deaths,Respiratory Infection | Pneumonia or Influenza Deaths,Sexually Transmitted Disease | HIV-Related Deaths,Substance Use | Drug Overdose Deaths,Substance Use | Opioid Overdose Deaths
Austin,2016,Black,Male,284.6160081,,57.54966033,456.9582701,326.9095015,13.52142777,1361.293291,21.46161667,102.655967,19.48259164,10642.03746,52.49401425,72.41165609,14.54185089,,14.16532071,9.323195938,21.86103945,
Austin,2016,Hispanic,Female,97.40247538,8.953377648,11.94288788,135.3960257,82.53483792,,496.7612656,,27.53485943,7.018912979,2883.301262,21.31383296,82.71937281,2.286027502,,8.646907028,,4.96458727,3.052136397
Austin,2016,Hispanic,Male,128.1348802,13.20548898,14.56934528,181.9080061,123.8861191,4.972998605,659.9279739,7.611643259,66.37389598,16.16284551,5315.185201,37.09295724,80.05282338,8.659493462,,11.62178078,,9.477013784,5.306379344
Austin,2016,White,Female,114.5002651,,24.71907532,147.4874036,100.6712105,,579.4607409,2.980331936,52.64967264,5.515277271,3337.026883,8.144162393,83.53824098,8.878295911,,10.92843833,,12.55008052,9.339139294
Austin,2016,White,Male,156.7368509,13.76339958,32.98829224,219.8553224,173.3462787,2.827462536,793.1846988,19.35869304,97.67510079,12.32012282,5532.39151,16.0099036,78.63830036,30.00577081,,11.29688747,1.945900734,19.50545817,14.15182992
Austin,2017,Asian/PI,Female,71.01464987,,,85.58222578,46.89679896,,296.9942911,,,,1658.794506,,,,,,,,
Austin,2017,Asian/PI,Male,201.6324897,,43.8411114,217.8097919,152.8682483,,920.1121535,,32.84932962,,2406.847223,,,,,,,,
Austin,2017,Black,Female,136.0385622,12.92698337,34.48116831,221.7324164,154.3044153,,700.7952819,,44.47044743,,6641.503778,,80.14616852,,,10.42153672,,14.81000764,
Austin,2017,Black,Male,268.8785088,28.5194221,61.83216777,389.4764112,280.399598,14.77947049,1181.575441,22.41359528,101.8946753,26.55672977,11098.4909,36.92663028,72.41757091,16.56727587,,,,18.61878968,
Austin,2017,Hispanic,Female,95.28047078,8.618258545,13.13042873,121.7668685,68.97678441,2.104326032,466.9053611,,27.2397826,5.72912834,2772.881452,17.42521264,84.15966874,,,9.072011693,,4.060263731,3.176173958
Austin,2017,Hispanic,Male,130.4847504,17.37820599,14.79004713,171.8961229,118.4146452,6.001757149,660.6832493,9.110386814,73.86930855,16.77079576,5510.579078,36.0536352,80.99517806,10.14797385,,11.89942204,3.102277741,10.30943127,6.07411157
Austin,2017,White,Female,,8.459249821,21.60203704,139.8770134,92.19965225,,554.6035144,3.009570693,49.17782525,4.643136365,2970.359754,7.471841506,83.88690591,9.239986594,,10.58482764,,11.16346299,8.011283338
