,,,,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
Austin,2011,All,Male,,,,,,,,,,181.3610221,,14.88582644,45.4904748,,239.0897256,188.1766372,,4.784780043,,829.6485983,15.12409835,,90.78605863,,14.01044392,,6421.457571,,,,18.00033042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.22134324,,,,21.66746639,,,,,,,,,,,,,,,,,,,,,,,,,10.86394293,,,4.124073964,771.1,,,,,,,18.85154215,6.809763803,,,,,,,
Austin,2011,Asian/PI,Both,,,,,,9.057639524,82.63270942,,3.856266433,109.6965121,,,,,107.2708554,64.71926676,,,,428.0523093,,,26.13600564,,,,2412.616192,,,,,,,,2.973168963,70.57371383,,,,,,,,,,,41.01678708,1.438026162,,,,,,31998.0,,16.84774675,7.837837838,,,18.85036711,6.419018225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.4,,,,,,,,,,,,,,,
Austin,2011,Asian/PI,Female,,,,,,,,,,93.73147479,,,,,81.46164776,33.56591948,,,,369.4268738,,,19.18078167,,,,1968.819666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,2011,Asian/PI,Male,,,,,,,,,,137.2376536,,,,,174.4089107,125.7363129,,,,587.0556116,,,42.90453666,,,,2930.628153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,2011,Black,Both,,,,,,14.21554464,64.87350974,,69.44669804,222.5820501,39.11484179,19.03874382,51.19673057,37.42815559,297.468536,217.8581687,,10.08263217,,934.5903642,11.41740226,,72.70191448,64.9266329,9.532169264,4.656013707,9639.976735,,,,31.67257995,,,,16.22406961,21.48810121,,,,,,,,,,,31.96699494,2.128226478,,,,,,19782.0,,27.08774905,40.98975703,,,36.02018503,12.96263762,,,,,,,,,75.31647384,,,,8.29037384,,,,,,,,,,,,,,,,,,,,,,,,,11.70155269,,,13.46434132,1241.4,,,,,,,24.5217964,,,,,,,,
Austin,2011,Black,Female,,,,,,,,,,189.2204277,,18.52295506,40.76925199,,248.7483327,175.7746799,,,,781.6096055,,,34.2084847,,,,7504.660627,,,,34.04193559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.2802917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.78368645,,,,,,,,,,,12.82382763,,,,,,,,
Austin,2011,Black,Male,,,,,,,,,,287.608977,,,68.94572484,,370.9069928,276.8467464,,15.99464802,,1169.305635,20.12549083,,116.0018348,,19.02942557,,11846.24854,,,,31.58976388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.30786938,,,,15.030459,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.90948812,,,,,,,,37.65543617,,,,,,,,
Austin,2011,Hispanic,Both,,,,,,7.353865493,55.17731243,,75.81636917,132.7441737,10.1322591,15.68860437,20.21811802,16.24989288,161.6767369,114.0278388,,4.392607349,,633.4655996,4.585681348,,49.60127567,20.48891678,10.35503512,0.356257811,4584.786725,,,,28.96732681,,,,7.358185112,18.17644689,,,,,,,,,,,34.62873493,1.887775144,,,,,,16570.0,,29.58054448,40.71502173,,,57.64453585,9.00269075,,,,,,,,,81.29923093,,,,4.93047941,,,,,,,,,,,,,,,,,,,,,,,,,6.055384322,,,2.402225327,455.6,,,,,,,7.376021926,3.159011684,,,,,,,
Austin,2011,Hispanic,Female,,,,,,,,,,114.6343744,,12.95861445,16.12059338,,134.7492247,84.12630367,,2.973284808,,541.4525058,,,33.02443681,,3.370402134,,3267.514995,,,,31.99123952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.13909168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.675901623,,,,,,,,
Austin,2011,Hispanic,Male,,,,,,,,,,161.6403498,,20.54311227,25.69316513,,203.3140051,160.7634714,,5.710748534,,761.5322893,6.874129255,,65.57948855,,17.32945149,,5877.314008,,,,24.32550821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.97747303,,,,7.969602676,,,,,,,,,,,,,,,,,,,,,,,,,8.494997958,,,4.126331629,,,,,,,,8.963606385,4.248625975,,,,,,,
