,,,,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
Milwaukee,2022,All,Female,,,,,,,,,,152.8694892,,11.61249706,30.64651577,,233.1067992,169.4310285,,12.34687669,,884.8859351,13.17223415,,109.8067527,,7.017806353,,9269.589686,,,,26.75284439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.46159891,,,,6.390085324,,,,,,,,,,,,,,,,,,,,37.5266698,,,,,8.399270479,,,,,,,,,,,52.27352068,41.99454876,,,,,,,
Milwaukee,2022,All,Male,,,,,,,,,,217.4764793,,15.81090911,49.41949965,,372.6078617,296.4845658,,58.51560994,,1367.253404,69.11196284,,297.0734224,,24.79704529,,17282.94808,,,,38.61338388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.1144465,,,,22.40204666,,,,,,,,,,,,,,,,,,,,66.6518947,,,,,15.32615894,,,2.200568417,,,,,,,,134.8331236,117.2081975,,,,,,,
Milwaukee,2022,Asian/PI,Both,,3.894018466,,,,7.371225577,70.18018018,7.371225577,19.23076923,,,,,,,,,,,,,4.558775643,86.93623753,,,,8542.791021,,,,,,,,6.808150655,33.84553446,,,7.889510078,3.095499451,,,,,,,42.21575819,1.368783703,,,,,,24203.0,,27.89471716,40.51824309,,,49.1497402,4.553651939,,,,,,,,,,,,,21.78605324,,,,,,,,,,,,,19.83052991,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,70.61421116,,,2.625451626
Milwaukee,2022,Asian/PI,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,5978.143255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee,2022,Asian/PI,Male,,,,,,,,,,,,,,,,,,,,,,,173.4745592,,,,11007.92392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48896793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee,2022,Black,Both,,1.968143978,,,,17.25035803,72.52893442,15.52308896,39.70876505,238.425029,26.62007758,17.86802606,51.45290001,42.40458984,406.714976,293.3757563,,83.27948236,,1528.090681,91.01713019,14.31991896,287.337355,19.83798975,25.90338211,1.01784123,20247.8727,,,,54.54803061,,,,14.61379866,13.48282758,,,7.581115708,2.496679227,,,,,,,27.14195863,2.684332489,,,,,,20362.0,,31.76097162,40.77698135,,,56.38082694,8.703821006,,,,,,,,,66.46528986,,,,14.49473177,,,,,,,,,,,,,41.41352963,,,,,,,67.58395173,,,33.0,,13.02304114,,,3.125739142,,,,,,,,117.3919841,94.10107479,,,,69.54670131,,,9.578461094
Milwaukee,2022,Black,Female,,,,,,,,,,193.786647,,11.43370264,39.66612044,,,224.8002846,,26.56102517,,,26.64674963,,135.2877144,,11.93020291,,13681.5948,,,,43.75107717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.41164515,,,,,,,,,,,,,,,,,,,,,,,,54.54793417,,,,,11.21649972,,,,,,,,,,,59.1755813,46.08565085,,,,,,,
Milwaukee,2022,Black,Male,,,,,,,,,,311.8855079,,28.54286067,69.92384028,,514.1799094,394.9312929,,154.8220539,,,172.1086227,,485.7362619,,44.74508933,,28793.18599,,,,70.20486112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.36129763,,,,29.0381167,,,,,,,,,,,,,,,,,,,,93.94424958,,,,,15.15287701,,,,,,,,,,,195.5165865,158.2394599,,,,,,,
Milwaukee,2022,Hispanic,Both,,2.904809797,,,,9.086050241,69.15395284,10.33467202,26.29241428,121.0920482,18.66066703,9.262980155,18.3089924,,143.8860723,106.4222451,,11.64981733,,697.3902575,12.19878041,6.389095943,117.7306547,,12.0549482,,7389.112513,,,,25.84419932,,,,8.845389335,11.87800963,,,20.76225045,7.360829389,,,,,,,39.76865715,1.514543039,,,,,,19326.0,,23.90765038,28.8973844,,,66.10536163,5.197516721,,,,,,,,,77.57579463,,,,6.552080749,,,,,,,,,,,,,32.15606835,,,,,,,61.66442952,,,35.0,,,,,,,,,,,,,57.54849104,49.71412608,,,,69.64838589,,,3.167090655
Milwaukee,2022,Hispanic,Female,,,,,,,,,,101.2303706,,,,,112.5738445,83.35125751,,,,518.2575391,,,51.85352398,,,,4367.206691,,,,18.75781599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.65499426,,,,,,,,,,,,,,,,,,,,,,,,42.32312314,,,,,,,,,,,,,,,,24.65783015,17.45455679,,,,,,,
Milwaukee,2022,Hispanic,Male,,,,,,,,,,149.838007,,,29.78959138,,176.9107596,132.462718,,19.85497198,,909.9620343,20.40948411,,184.0023344,,22.11966734,,10185.69041,,,,35.62596879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.27215168,,,,11.07310948,,,,,,,,,,,,,,,,,,,,158.6443978,,,,,,,,,,,,,,,,86.72631067,78.95216925,,,,,,,
Milwaukee,2022,Natives,Both,,5.169628433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.09209745,24.39347155,,,14.88413547,3.968253968,,,,,,,37.74145617,1.649606299,,,,,,28140.0,,24.08187839,40.24390244,,,50.24128686,3.167185877,,,,,,,,,,,,,,,,,,,,,,,,,,26.67161961,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.6903608,,,1.669359181
Milwaukee,2022,White,Both,,6.126467319,,,,7.697141062,84.79513444,9.210939956,4.637516563,161.431042,19.39317741,11.75450677,36.1091233,22.17323835,263.4141024,211.1991361,,5.220484213,,972.188431,10.74431232,4.55660708,167.7952711,,7.44058866,,9681.23717,,,,22.5993627,,,,14.17150929,42.00116826,,,5.017069595,1.189453796,,,,,,,54.82839346,0.823872517,,,,,,43455.0,,13.49893928,14.00460005,,,33.08646324,3.519942765,,,,,,,,,75.47251352,,,,16.82297936,,,,,,,,,,,,,11.50349066,,,,,,,36.20122836,,,56.0,,11.22585342,,,,,,,,,,,96.17826488,85.1887792,,,,70.21366797,,,3.902172479
Milwaukee,2022,White,Female,,,,,,,,,,142.5741202,,9.989366413,30.00959128,,202.8361627,155.1532798,,,,804.0649189,,,113.9728162,,,,7198.135593,,,,17.55358721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.96181311,,,,12.32736471,,,,,,,,,,,,,,,,,,,,31.56950692,,,,,6.919956562,,,,,,,,,,,63.74094133,52.98864483,,,,,,,
Milwaukee,2022,White,Male,,,,,,,,,,192.8391632,,13.59963494,45.40706953,,346.3566307,286.9957359,,7.364526227,,1183.461058,16.88273109,,223.0781911,,11.56626463,,12122.86572,,,,28.46636613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.48877022,,,,21.38464908,,,,,,,,,,,,,,,,,,,,53.89687113,,,,,16.81207286,,,,,,,,,,,127.8085255,116.5280547,,,,,,,
Minneapolis,2010,All,Both,4.067647705,6.438733924,0.821917808,26.30136986,,7.63011622,,,29.38038259,161.449034,20.66580632,14.16751252,40.31624565,25.37076011,154.5131016,101.3543545,23.4,5.954782037,1053.657727,692.1941184,6.110992999,,67.73025471,18.88268458,4.781309147,1.041153411,6153.112532,3.816756104,25.7,6.9,17.33175261,,,,10.1731283,45.45729091,46.3647199,39.13489441,,,11.9,37.06896552,18.53333333,5.307692308,,,50.04001372,0.998400731,8.279984106,,-0.067439664,0.4978,49.15670335,30734.0,40.88489211,22.54030655,30.83195883,,14.87006071,31.17804974,9.45868798,14.61912665,,,,0.394071022,1.661367606,24.50939503,55.56082916,,10.1,,,8.732210867,,,67.7,19.6,,,,,,20.10866883,7133.628759,8.393264818,11.67437858,37.83462287,50.3866555,54.89697759,50.38345726,44.28827259,,,,,55.0,5.8,9.546205738,,,4.014286387,359.6,454.2,93.0,8.6,0.0,21.3,18.5,16.72915497,10.37690379,,,,61.59992191,18.49295698,,13.87510067
Minneapolis,2010,All,Female,,,,,,,,,,141.6030385,,11.81117158,30.6694196,,123.5947678,74.51373224,,,,585.2960733,,,42.33637888,,2.733024642,,4523.267189,,,,14.51201027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.325058002,,,,,,,,,,,,,,,,,,,,,,,,,8.190061661,,,,141.3,,,,,,,14.28493296,8.175862861,,,,,,,
Minneapolis,2010,All,Male,,,,,,,,,,191.7813073,,17.41994265,51.98945925,,188.651535,133.6849067,,10.44451927,,822.242772,10.68141061,,96.10497167,,6.743069121,,7726.568187,,,,20.54815797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.27581534,,,,,,,,,,,,,,,,,,,,,,,,,11.59346601,,,6.408273814,588.8,,,,,,,19.07718608,12.35512563,,,,,,,
Minneapolis,2010,Asian/PI,Both,,,,,,7.427341227,,,44.1025641,180.1442204,,,,,171.7410123,61.55428045,,,,662.128577,,,,,,,5241.907448,,,,,,,,8.867531484,45.42605971,,,,,,,,,,,34.4403444,1.903571429,,,,,,23734.0,,30.72960523,38.68409773,,,30.39949404,12.28735207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1,,,,,,,,,,,,,,,
Minneapolis,2010,Asian/PI,Female,,,,,,,,,,112.3993602,,,,,,,,,,533.9974073,,,,,,,3032.15737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,2010,Asian/PI,Male,,,,,,,,,,228.2237306,,,,,224.3696474,,,,,775.9158322,,,,,,,7405.726588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,2010,Black,Both,,,,,,11.29404968,,,75.77756833,179.0020237,22.17883988,13.97831717,37.25136211,,180.1529718,112.0349982,,25.15364262,,722.3035217,20.70899038,,84.82916961,,,4.250236951,9462.666405,,,,21.76035295,,,,16.12005416,13.86314655,,,,,,,,,,,19.91775502,4.020646148,,,,,,13481.0,,45.39971907,55.24895873,,,50.49749128,22.90696912,,,,,,,,,,,,,7.815241457,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.802353417,1134.2,,,,,,,29.3759084,13.22067644,,,,,,,
Minneapolis,2010,Black,Female,,,,,,,,,,182.0063059,,,41.31883698,,,,,,,698.6668071,,,62.97957681,,,,6998.399073,,,,24.49066022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8199032,,,,,,,,
Minneapolis,2010,Black,Male,,,,,,,,,,178.4992238,,,32.379365,,,131.2812454,,45.59138555,,765.5110529,38.17524552,,109.7788318,,,,12211.04063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.61722919,,,,,,,,
Minneapolis,2010,Hispanic,Both,,,,,,5.841924399,,,68.08169804,,,,,,,,,,,,,,,,,,3610.221311,,,,,,,,7.087794996,15.3778331,,,,,,,,,,,25.50349155,2.921031746,,,,,,13348.0,,32.98194371,41.93412162,,,70.57355161,9.246088193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.0,,,,,,,,,,,,,,,
Minneapolis,2010,Hispanic,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,3171.316134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,2010,Hispanic,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,4109.330596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,2010,Natives,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.84980894,12.80953837,,,,,,,,,,,18.63679695,4.3657289,,,,,,12816.0,,48.85251434,59.29054054,,,44.68201754,25.27652601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.6,,,,,,,,,,,,,,,
Minneapolis,2010,White,Both,,,,,,5.954751131,,,5.999700015,158.8230216,19.79071446,14.60754853,40.246781,25.24432082,149.9456491,100.1517947,,,,685.2123828,2.832487884,,64.5925821,,3.90646288,0.433480847,5414.082979,,,,16.12957994,,,,8.955761208,56.25981474,,,,,,,,,,,60.71249159,0.647107496,,,,,,40317.0,,12.87016893,6.238878212,,,23.50030719,6.329857901,,,,,,,,,,,,,9.569791122,,,,,,,,,,,,,,,,,,,,,,,,,9.725278551,,,2.864750255,246.8,,,,,,,14.43997281,10.10189513,,,,,,,
Minneapolis,2010,White,Female,,,,,,,,,,136.8447022,,11.83446413,31.11185108,,,,,,,569.0045209,,,35.47261809,,,,3774.184573,,,,10.31416147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.253527398,,,,,,,,,,,,,,,,,,,,,,,,,9.265659026,,,,,,,,,,,11.26090446,7.05076375,,,,,,,
Minneapolis,2010,White,Male,,,,,,,,,,189.2660075,,18.35927727,51.08768126,,,,,,,823.0700241,4.444733718,,95.89845931,,6.643976919,,6902.683373,,,,22.89545525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.70003522,,,,,,,,,,,,,,,,,,,,,,,,,11.7891138,,,5.537672115,,,,,,,,17.20928887,12.70696161,,,,,,,
Minneapolis,2011,All,Both,4.067647705,6.438733924,0.0,29.31506849,,7.740042875,,,28.44818989,162.8074157,17.54421562,13.68074635,41.77360162,21.05186124,158.6806087,104.6465726,23.4,5.680190074,965.4217171,705.1950162,6.002149719,,66.45218182,18.88268458,5.051508459,1.041153411,5999.175765,3.816756104,25.7,6.9,20.42282101,,,,10.1731283,45.45729091,46.3647199,39.13489441,,,11.9,37.06896552,18.53333333,5.307692308,,,50.04001372,0.998400731,8.279984106,,-0.067439664,0.4978,49.15670335,30734.0,40.88489211,22.54030655,30.83195883,,14.87006071,31.17804974,9.45868798,14.61912665,,,,0.394071022,1.661367606,24.50939503,55.56082916,79.73391873,10.1,,,9.459784488,,,67.7,19.6,,,,,,20.10866883,7133.628759,8.393264818,11.67437858,37.83462287,50.3866555,54.89697759,50.38345726,44.28827259,,,,,55.0,5.0,10.77881322,,,3.245404612,373.5,489.0,100.2,7.7,0.0,21.3,18.5,17.10047512,11.05362611,,,,61.59992191,18.49295698,,13.87510067
Minneapolis,2011,All,Female,,,,,,,,,,141.9517747,,10.75913531,33.29519293,,128.6940314,79.69319327,,1.735860266,,596.6006188,,,42.15535139,,2.798573379,,4457.455214,,,,16.35204508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.00434383,,,,4.271607598,,,,,,,,,,,,,,,,,,,,,,,,,8.328422872,,,,150.7,,,,,,,13.71342683,9.13774749,,,,,,,
Minneapolis,2011,All,Male,,,,,,,,,,191.7487755,,17.46891924,51.96205629,,191.652133,133.9617179,,9.464860273,,833.9525981,10.88608618,,92.31411585,,7.203796675,,7495.982295,,,,25.14783053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.3135132,,,,14.75230296,,,,,,,,,,,,,,,,,,,,,,,,,14.77038042,,,5.101610294,607.0,,,,,,,20.39566425,12.81095452,,,,,,,
Minneapolis,2011,Asian/PI,Both,,,,,,7.270135424,,,36.36363636,147.199747,,,34.02820776,,154.5738484,73.74508087,,,,581.0582197,,,27.11710433,,,,4862.099307,,,,,,,,8.867531484,45.42605971,,,,,,,,,,,34.4403444,1.903571429,,,,,,23734.0,,30.72960523,38.68409773,,,30.39949404,12.28735207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.8,,,,,,,,,,,,,,,
Minneapolis,2011,Asian/PI,Female,,,,,,,,,,109.0566756,,,,,141.4631071,,,,,553.1277652,,,,,,,2894.402673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,2011,Asian/PI,Male,,,,,,,,,,182.8957349,,,,,185.3689452,79.69172864,,,,664.526078,,,,,,,7252.994049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,2011,Black,Both,,,,,,11.02603369,,,70.35909921,203.1938964,20.34635703,15.00776434,43.07328104,37.33883657,186.2831558,118.2389403,,24.10797527,,787.8608253,18.4476312,,87.84949935,,7.361439679,4.250236951,9492.267429,,,,38.56185075,,,,16.12005416,13.86314655,,,,,,,,,,,19.91775502,4.020646148,,,,,,13481.0,,45.39971907,55.24895873,,,50.49749128,22.90696912,,,,,,,,,76.68932201,,,,9.121291206,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.365919111,1198.1,,,,,,,29.1563898,15.67329035,,,,,,,
Minneapolis,2011,Black,Female,,,,,,,,,,190.701705,,11.61719919,40.63688477,,,,,,,722.4223894,,,63.28662798,,,,7048.586766,,,,33.10108592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.57510215,13.50586675,,,,,,,
Minneapolis,2011,Black,Male,,,,,,,,,,222.7155966,,20.12454346,46.06498368,,205.400386,132.5161578,,42.54424541,,868.0706982,34.95589746,,114.4193202,,11.19593628,,12194.42113,,,,45.24865552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.63243909,,,,14.96087352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.15424212,17.72788548,,,,,,,
Minneapolis,2011,Hispanic,Both,,,,,,6.303501946,,,65.79934951,,,,,,,,,,,,,,,,,,3450.496819,,,,,,,,7.087794996,15.3778331,,,,,,,,,,,25.50349155,2.921031746,,,,,,13348.0,,32.98194371,41.93412162,,,70.57355161,9.246088193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.2,,,,,,,,,,,,,,,
Minneapolis,2011,Hispanic,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,3198.115198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,2011,Hispanic,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,3587.292155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,2011,Natives,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.84980894,12.80953837,,,,,,,,,,,18.63679695,4.3657289,,,,,,12816.0,,48.85251434,59.29054054,,,44.68201754,25.27652601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.2,,,,,,,,,,,,,,,
Minneapolis,2011,White,Both,,,,,,6.099048548,,,6.343772027,157.2285134,17.09687474,13.47660836,40.90818071,19.84716674,155.1926996,103.3937311,,1.399361708,,694.3876142,3.199867501,,62.32243986,,3.703675628,0.433480847,5229.783389,,,,17.12900318,,,,8.955761208,56.25981474,,,,,,,,,,,60.71249159,0.647107496,,,,,,40317.0,,12.87016893,6.238878212,,,23.50030719,6.329857901,,,,,,,,,80.89475733,,,,10.25334008,,,,,,,,,,,,,,,,,,,,,,,,,11.33822334,,,2.427077663,250.1,,,,,,,14.88397951,10.23879624,,,,,,,
Minneapolis,2011,White,Female,,,,,,,,,,135.9401964,,11.27130162,33.03226122,,,,,,,577.9594417,,,35.83651777,,,,3646.125329,,,,11.97963665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.60142424,,,,4.303866129,,,,,,,,,,,,,,,,,,,,,,,,,9.208310044,,,,,,,,,,,10.92690787,7.967034124,,,,,,,
Minneapolis,2011,White,Male,,,,,,,,,,186.2116319,,16.43230919,50.55393712,,,,,2.328809529,,837.1118673,5.562557353,,90.78202573,,6.084885159,,6686.148095,,,,23.05727769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.6903911,,,,16.02745999,,,,,,,,,,,,,,,,,,,,,,,,,15.87116833,,,4.69667808,,,,,,,,18.42763481,12.202186,,,,,,,
Minneapolis,2012,All,Both,4.067647705,6.438733924,0.273224044,22.13114754,,7.768632315,66.92650334,,26.67905153,155.8867057,16.12789549,12.86935539,37.67514054,17.71214571,170.9833893,115.6428907,23.4,5.767547394,992.2099221,717.4998588,7.014289792,,67.63551373,18.88268458,5.031442217,1.041153411,5868.460121,3.816756104,25.7,6.9,21.77108303,,,,10.1731283,45.45729091,46.3647199,39.13489441,,,11.9,37.06896552,18.53333333,5.307692308,,,50.04001372,0.998400731,8.279984106,,-0.067439664,0.4978,49.15670335,30734.0,40.88489211,22.54030655,30.83195883,,14.87006071,31.17804974,9.45868798,14.61912665,,,,0.394071022,1.661367606,24.50939503,55.56082916,80.03824767,10.1,,,10.69347167,,,67.7,19.6,,,,,,20.10866883,7133.628759,8.393264818,11.67437858,37.83462287,50.3866555,54.89697759,50.38345726,44.28827259,,,,,55.0,6.0,11.35414778,,,2.965171814,388.0,492.0,130.4,6.4,6.1,21.3,18.5,18.10895041,11.71685509,,,,61.59992191,18.49295698,,13.87510067
Minneapolis,2012,All,Female,,,,,,,,,,133.9360266,,9.603161718,30.54333837,,136.2689578,86.22817932,,1.60287886,,604.4901443,1.477668549,,42.5053109,,3.386186193,,4210.354696,,,,18.04017895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.9723581,,,,4.098649511,,,,,,,,,,,,,,,,,,,,,,,,,7.763830485,,,,155.1,,,,,,,11.2541134,8.683477775,,,,,,,
Minneapolis,2012,All,Male,,,,,,,,,,186.3752319,,17.14367213,46.7223521,,212.1680911,151.53409,,9.897432031,,852.9357192,12.57966872,,93.25624399,,6.453269092,,7484.193396,,,,26.59333434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.97273669,,,,17.29425082,,,,,,,,,,,,,,,,,,,,,,,,,17.3376919,,,4.387381944,631.4,,,,,,,24.6645474,14.50034699,,,,,,,
Minneapolis,2012,Asian/PI,Both,,,,,,6.526315789,60.43478261,,31.74172545,107.3544079,,,,,142.6039863,63.69034787,,,,558.4297608,,,33.14379045,,,,4320.140703,,,,,,,,8.867531484,45.42605971,,,,,,,,,,,34.4403444,1.903571429,,,,,,23734.0,,30.72960523,38.68409773,,,30.39949404,12.28735207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,68.1,,,,,,,,,,,,,,,
Minneapolis,2012,Asian/PI,Female,,,,,,,,,,88.74944115,,,,,130.6006464,,,,,497.7788291,,,,,,,2658.839694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,2012,Asian/PI,Male,,,,,,,,,,142.2035517,,,,,163.8352517,,,,,680.4694644,,,47.51450359,,,,6241.356413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,2012,Black,Both,,,,,,10.82454819,57.22810395,,71.06531049,174.2277309,18.75506427,12.00791842,30.96209056,27.98202361,186.0773472,120.7869798,,24.40378862,,767.5203171,20.66931778,,90.31265785,,7.070429886,4.250236951,9815.768735,,,,40.38826319,,,,16.12005416,13.86314655,,,,,,,,,,,19.91775502,4.020646148,,,,,,13481.0,,45.39971907,55.24895873,,,50.49749128,22.90696912,,,,,,,,,76.4705298,,,,10.87155546,,,,,,,,,,,,,,,,,,,,,,,33.0,,10.39024306,,,7.963534002,1263.1,,,,,,,27.34490356,16.8836036,,,,,,,
Minneapolis,2012,Black,Female,,,,,,,,,,158.6622159,,,26.25350134,,,,,,,686.0357653,,,48.91414974,,,,6876.174368,,,,30.33373992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.22693469,8.686622999,,,,,,,
Minneapolis,2012,Black,Male,,,,,,,,,,200.5411844,,,38.01452642,,213.3029681,139.170676,,44.32436963,,887.695513,39.22800691,,133.8317886,,10.32869939,,12967.24229,,,,53.01523651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.44655273,,,,20.04032033,,,,,,,,,,,,,,,,,,,,,,,,,17.222425,,,,,,,,,,,42.47597887,25.50367408,,,,,,,
Minneapolis,2012,Hispanic,Both,,,,,,7.0197562,64.74634566,,53.1491454,,,,,,,,,,,,,,,,,,3550.181574,,,,,,,,7.087794996,15.3778331,,,,,,,,,,,25.50349155,2.921031746,,,,,,13348.0,,32.98194371,41.93412162,,,70.57355161,9.246088193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,593.1,,,,,,,,,,,,,,,
Minneapolis,2012,Hispanic,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,3384.238694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,2012,Hispanic,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,3618.030749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,2012,Natives,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.84980894,12.80953837,,,,,,,,,,,18.63679695,4.3657289,,,,,,12816.0,,48.85251434,59.29054054,,,44.68201754,25.27652601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851.5,,,,,,,,,,,,,,,
Minneapolis,2012,White,Both,,,,,,6.114541712,76.34532007,,5.977927652,155.2036553,16.97038866,13.2813835,39.48494557,15.69331804,169.6462788,115.8415853,,1.186442961,,713.0083298,4.262806114,,62.60073666,,3.869838251,0.433480847,5003.125299,,,,17.58307901,,,,8.955761208,56.25981474,,,,,,,,,,,60.71249159,0.647107496,,,,,,40317.0,,12.87016893,6.238878212,,,23.50030719,6.329857901,,,,,,,,,80.88519527,,,,11.68605717,,,,,,,,,,,,,,,,,,,,,,,57.0,,11.6763572,,,1.957566957,255.8,,,,,,,16.35015611,10.15826923,,,,,,,
