,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Lung Cancer Deaths,Deaths | Motor Vehicle Deaths,Heat and Disasters | Community Social Vulnerability to Climate Disasters,Income | Per-capita Household Income,Mental Health | Adult Mental Distress,Respiratory Infection | New Tuberculosis Cases
1051,23,3,2,0,0,0,0,1,2010,27.243110780734,13.711297079504778,66.36209814685893,11181.804205380258,16.61999193667085,3.219995136404641
1052,23,5,0,0,0,0,0,1,2010,62.6835531091301,9.245004481748873,66.36206118186838,16664.0,16.619983874683122,3.2199902736183903
1053,23,1,0,0,0,0,0,1,2010,64.36531693,6.607546702,66.36206118186838,23993.0,16.619983874683122,3.2199902736183903
1054,23,1,1,0,0,0,0,1,2010,48.67633149,5.041985113464286,66.36209814685893,23205.437072871377,16.61999193667085,3.219995136404641
1055,23,1,2,0,0,0,0,1,2010,70.13103161,10.03179117,66.36209814685893,23205.437072871377,16.61999193667085,3.219995136404641
1056,23,0,0,0,0,0,0,1,2011,70.77664349,7.802931478,62.8742515,16812.0,17.3,3.0
1057,23,0,1,0,0,0,0,1,2011,55.20355579,4.452057588,68.91256098320983,16509.017213135878,16.59998464255535,3.459995136809195
1058,23,0,2,0,0,0,0,1,2011,92.38254569,11.39537539,68.91256098320983,16509.017213135878,16.59998464255535,3.459995136809195
1059,23,4,0,0,0,0,0,1,2011,39.2888432215405,8.50144072942357,68.91256098320983,20388.0,16.59998464255535,3.459995136809195
1060,23,4,1,0,0,0,0,1,2011,23.611278692598354,5.834943953845808,68.91264690745653,17656.33008267367,16.599992320638904,3.45999756820232
1061,23,4,2,0,0,0,0,1,2011,52.03357408267772,11.305666336155506,68.91264690745653,17656.33008267367,16.599992320638904,3.45999756820232
1062,23,2,0,0,0,0,0,1,2011,76.8542876,8.688083682,68.91256098320983,13119.0,16.59998464255535,3.459995136809195
1063,23,2,1,0,0,0,0,1,2011,49.43334321,4.774613354,68.91264690745653,13987.399933451074,16.599992320638904,3.45999756820232
1064,23,2,2,0,0,0,0,1,2011,100.4282264,13.35820165,68.91264690745653,13987.399933451074,16.599992320638904,3.45999756820232
1065,23,3,0,0,0,0,0,1,2011,36.61057238,9.708486997,68.91256098320983,11654.0,16.59998464255535,3.459995136809195
1066,23,3,1,0,0,0,0,1,2011,15.629683815093985,6.325872276440194,68.91264690745653,11436.394430366741,16.599992320638904,3.45999756820232
1067,23,3,2,0,0,0,0,1,2011,26.44554052347826,10.095424749142857,68.91264690745653,11436.394430366741,16.599992320638904,3.45999756820232
1068,23,5,0,0,0,0,0,1,2011,61.16929105948061,9.79964111666477,68.91256098320983,16664.0,16.59998464255535,3.459995136809195
1069,23,1,0,0,0,0,0,1,2011,72.9086169,6.629789352,68.91256098320983,23993.0,16.59998464255535,3.459995136809195
1070,23,1,1,0,0,0,0,1,2011,48.513104225999996,5.015019536,68.91264690745653,24099.80273362515,16.599992320638904,3.45999756820232
1071,23,1,2,0,0,0,0,1,2011,68.06287523375,10.42757278,68.91264690745653,24099.80273362515,16.599992320638904,3.45999756820232
1072,23,0,0,0,0,0,0,1,2012,70.54659926,7.221162576,62.8742515,16812.0,17.3,2.3
1073,23,0,1,0,0,0,0,1,2012,55.35034343,4.543754705,66.3620611818684,16433.220123371637,16.61998387468312,3.2599912974480336
1074,23,0,2,0,0,0,0,1,2012,92.59539454,10.15918096,66.3620611818684,16433.220123371637,16.61998387468312,3.2599912974480336
1075,23,4,0,0,0,0,0,1,2012,46.774886079269365,9.18961360350023,66.3620611818684,20388.0,16.61998387468312,3.2599912974480336
1076,23,4,1,0,0,0,0,1,2012,23.85197828253114,5.887513876855243,66.36209814685893,17681.929099797213,16.61999193667085,3.259995648362047
1077,23,4,2,0,0,0,0,1,2012,49.82707666852959,12.915523385031499,66.36209814685893,17681.929099797213,16.61999193667085,3.259995648362047
1078,23,2,0,0,0,0,0,1,2012,77.53786061,8.059628488,66.3620611818684,13119.0,16.61998387468312,3.2599912974480336
1079,23,2,1,0,0,0,0,1,2012,46.78791264,4.524954989,66.36209814685893,14568.377626762722,16.61999193667085,3.259995648362047
1080,23,2,2,0,0,0,0,1,2012,104.6540983,12.3853279,66.36209814685893,14568.377626762722,16.61999193667085,3.259995648362047
1081,23,3,0,0,0,0,0,1,2012,31.9354721,6.926935784,66.3620611818684,11654.0,16.61998387468312,3.2599912974480336
1082,23,3,1,0,0,0,0,1,2012,15.957058330083507,6.023823072521581,66.36209814685893,11181.804205380258,16.61999193667085,3.259995648362047
1083,23,3,2,0,0,0,0,1,2012,26.397977545999996,4.912312063,66.36209814685893,11181.804205380258,16.61999193667085,3.259995648362047
1084,23,5,0,0,0,0,0,1,2012,60.76688720707407,8.907399012507872,66.3620611818684,16664.0,16.61998387468312,3.2599912974480336
1085,23,1,0,0,0,0,0,1,2012,71.46858729,6.698349276,66.3620611818684,23993.0,16.61998387468312,3.2599912974480336
1086,23,1,1,0,0,0,0,1,2012,47.78520008714285,4.771826355,66.36209814685893,24808.375527911954,16.61999193667085,3.259995648362047
1087,23,1,2,0,0,0,0,1,2012,69.363778645,9.27764116,66.36209814685893,24808.375527911954,16.61999193667085,3.259995648362047
1088,23,0,0,0,0,0,0,1,2013,71.09697355,5.52681794,66.28571429,18844.0,17.3,2.3
1089,23,0,1,0,0,0,0,1,2013,60.24685015,3.161291966,65.69727892128783,17715.448091837916,16.639983106810888,2.3600002559574107
1090,23,0,2,0,0,0,0,1,2013,87.64225108,8.2062535,65.69727892128783,17715.448091837916,16.639983106810888,2.3600002559574107
1091,23,4,0,0,0,0,0,1,2013,47.607186338792054,8.8383400649333,65.69727892128783,20516.0,16.639983106810888,2.3600002559574107
1092,23,4,1,0,0,0,0,1,2013,26.31488845182514,6.846928715101031,65.69726462383336,19177.56738078757,16.639991552702796,2.360000127989351
1093,23,4,2,0,0,0,0,1,2013,48.898545210702494,12.926130857511863,65.69726462383336,19177.56738078757,16.639991552702796,2.360000127989351
1094,23,2,0,0,0,0,0,1,2013,75.31177194,5.639294765,65.69727892128783,14301.0,16.639983106810888,2.3600002559574107
1095,23,2,1,0,0,0,0,1,2013,45.04594329,2.911661808,65.69726462383336,15308.196562491972,16.639991552702796,2.360000127989351
1096,23,2,2,0,0,0,0,1,2013,96.92474542,9.086036287,65.69726462383336,15308.196562491972,16.639991552702796,2.360000127989351
1097,23,3,0,0,0,0,0,1,2013,24.90534835,8.3287483295,65.69727892128783,15027.0,16.639983106810888,2.3600002559574107
1098,23,3,1,0,0,0,0,1,2013,16.24551802168395,6.226970609544797,65.69726462383336,13545.401238833867,16.639991552702796,2.360000127989351
1099,23,3,2,0,0,0,0,1,2013,26.284412645,11.51138201,65.69726462383336,13545.401238833867,16.639991552702796,2.360000127989351
1100,23,5,0,0,0,0,0,1,2013,62.5796535842379,9.074704685549197,65.69727892128783,17599.0,16.639983106810888,2.3600002559574107
1101,23,1,0,0,0,0,0,1,2013,76.27617587,6.360129631,65.69727892128783,27536.0,16.639983106810888,2.3600002559574107
1102,23,1,1,0,0,0,0,1,2013,47.36703359,5.851190525,65.69726462383336,27264.63839617119,16.639991552702796,2.360000127989351
1103,23,1,2,0,0,0,0,1,2013,63.392912035,9.092835619,65.69726462383336,27264.63839617119,16.639991552702796,2.360000127989351
1104,23,0,0,0,0,0,0,1,2014,67.00781046,6.573829774,66.28571429,18844.0,17.3,2.4
1105,23,0,1,0,0,0,0,1,2014,55.93641458,3.561312472,67.17951456872306,17954.038931122177,16.519987714044284,2.199994880851784
1106,23,0,2,0,0,0,0,1,2014,84.40560914,9.703708448,67.17951456872306,17954.038931122177,16.519987714044284,2.199994880851784
1107,23,4,0,0,0,0,0,1,2014,49.18227051477378,8.280017731023108,67.17951456872306,20516.0,16.519987714044284,2.199994880851784
1108,23,4,1,0,0,0,0,1,2014,24.982770503881063,6.847769441647016,67.17952872418387,19203.166397911114,16.519993856511125,2.199997440212969
1109,23,4,2,0,0,0,0,1,2014,45.19649055247346,12.47861751399759,67.17952872418387,19203.166397911114,16.519993856511125,2.199997440212969
1110,23,2,0,0,0,0,0,1,2014,72.73090495,7.410408629,67.17951456872306,14301.0,16.519987714044284,2.199994880851784
1111,23,2,1,0,0,0,0,1,2014,43.3028752,4.468619119,67.17952872418387,15540.787632137912,16.519993856511125,2.199997440212969
1112,23,2,2,0,0,0,0,1,2014,96.56321683,10.9438206,67.17952872418387,15540.787632137912,16.519993856511125,2.199997440212969
1113,23,3,0,0,0,0,0,1,2014,27.69063027,8.260791204,67.17951456872306,15027.0,16.519987714044284,2.199994880851784
1114,23,3,1,0,0,0,0,1,2014,16.24451438,6.3764671063336635,67.17952872418387,14157.377741943557,16.519993856511125,2.199997440212969
1115,23,3,2,0,0,0,0,1,2014,25.98541847,13.84349383,67.17952872418387,14157.377741943557,16.519993856511125,2.199997440212969
1116,23,5,0,0,0,0,0,1,2014,57.94382812684434,8.944581083106227,67.17951456872306,17599.0,16.519987714044284,2.199994880851784
1117,23,1,0,0,0,0,0,1,2014,66.65363033,6.921079646,67.17951456872306,27536.0,16.519987714044284,2.199994880851784
1118,23,1,1,0,0,0,0,1,2014,43.301568785,3.460957895,67.17952872418387,27235.639509585926,16.519993856511125,2.199997440212969
1119,23,1,2,0,0,0,0,1,2014,57.46286457,10.4534619,67.17952872418387,27235.639509585926,16.519993856511125,2.199997440212969
1120,23,0,0,0,0,0,0,1,2015,64.23156621,7.669629924,70.28571429,18844.0,16.7,2.5
1121,23,0,1,0,0,0,0,1,2015,52.56573217,3.912505579,70.40093639465509,17954.038931122177,16.51998131510901,2.5400048631908048
1122,23,0,2,0,0,0,0,1,2015,82.64312825,11.66512098,70.40093639465509,17954.038931122177,16.51998131510901,2.5400048631908048
1123,23,4,0,0,0,0,0,1,2015,50.802467491073365,8.200241752967717,70.40093639465509,20516.0,16.51998131510901,2.5400048631908048
1124,23,4,1,0,0,0,0,1,2015,24.173254384623874,6.807130336560122,70.4009679757002,18179.605697611965,16.519990656777335,2.5400024317976793
1125,23,4,2,0,0,0,0,1,2015,44.330198505499155,12.617304405790284,70.4009679757002,18179.605697611965,16.519990656777335,2.5400024317976793
1126,23,2,0,0,0,0,0,1,2015,65.31595845,10.20808487,70.40093639465509,14301.0,16.51998131510901,2.5400048631908048
1127,23,2,1,0,0,0,0,1,2015,45.958975835000004,5.972379949,70.4009679757002,15540.787632137912,16.519990656777335,2.5400024317976793
1128,23,2,2,0,0,0,0,1,2015,83.93789905,15.19479743,70.4009679757002,15540.787632137912,16.519990656777335,2.5400024317976793
1129,23,3,0,0,0,0,0,1,2015,31.00997992,8.672849781,70.40093639465509,15027.0,16.51998131510901,2.5400048631908048
1130,23,3,1,0,0,0,0,1,2015,15.55697061,6.682484189037124,70.4009679757002,13545.401238833867,16.519990656777335,2.5400024317976793
1131,23,3,2,0,0,0,0,1,2015,28.31704418,12.3140723,70.4009679757002,13545.401238833867,16.519990656777335,2.5400024317976793
1132,23,5,0,0,0,0,0,1,2015,56.22405166974231,9.621000127623429,70.40093639465509,17599.0,16.51998131510901,2.5400048631908048
1133,23,1,0,0,0,0,0,1,2015,69.09526353,6.295755798,70.40093639465509,27536.0,16.51998131510901,2.5400048631908048
1134,23,1,1,0,0,0,0,1,2015,41.25239023,4.069464869,70.4009679757002,27973.211190457998,16.519990656777335,2.5400024317976793
1135,23,1,2,0,0,0,0,1,2015,52.71860228,9.782796507,70.4009679757002,27973.211190457998,16.519990656777335,2.5400024317976793
1136,23,0,0,0,0,0,0,1,2016,61.70199163,10.35839733,70.28571429,18844.0,16.5,1.2
1137,23,0,1,0,0,0,0,1,2016,47.5532067,4.663501233,71.21493104326076,18436.22041772266,16.759995136809195,2.1999923212776764
