,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | All Cancer Deaths,Deaths | Injury Deaths,"Health Insurance | Uninsured, All Ages",Income Inequality | Income Inequality,Lead Poisoning | Housing Lead Risk,"Racial Segregation Indices | Racial Segregation, White and Non-White",Transportation | Longer Driving Commute Time
5738,17,3,1,3,1,0,0,0,2017,85.44921096,38.88487365,17.673409284,0.48944,30.4149351462,38.363494524,37.971407623999994
5739,17,3,2,3,1,0,0,0,2017,123.7074275,74.43326583,17.673409284,0.48944,30.4149351462,38.363494524,37.971407623999994
5740,17,5,0,3,1,0,0,0,2017,144.97799930000002,61.14338250000001,12.86045043,0.48944,30.414935146199998,38.363494524,38.046729794
5741,17,1,0,3,1,0,0,0,2017,175.9191922,81.93249465,7.126993877,0.48944,30.414935146199998,38.363494524,38.046729794
5742,17,1,1,3,1,0,0,0,2017,154.0859925,49.51750241,5.6003797242,0.48944,30.4149351462,38.363494524,37.971407623999994
5743,17,1,2,3,1,0,0,0,2017,209.3807455,118.0469467,5.6003797242,0.48944,30.4149351462,38.363494524,37.971407623999994
5744,17,0,0,3,1,0,0,0,2018,166.3085218,77.4577021,5.665861074,0.4744,34.92414077,23.08058304,31.25086732
5745,17,0,1,3,1,0,0,0,2018,148.9612615,48.76564844,6.827370069599999,0.48578,21.9885678696,40.128664738,38.343522352
5746,17,0,2,3,1,0,0,0,2018,193.6743687,110.2207296,6.827370069599999,0.48578,21.9885678696,40.128664738,38.343522352
5747,17,4,0,3,1,0,0,0,2018,148.6728585,42.29937989,4.759282712,0.48578,21.9885678696,40.128664738,38.343522352
5748,17,4,1,3,1,0,0,0,2018,136.482827,32.13942309,4.774545896,0.48577999999999993,21.988567869599994,40.128664738,38.36657546
5749,17,4,2,3,1,0,0,0,2018,172.6537609,57.8667462,4.774545896,0.48577999999999993,21.988567869599994,40.128664738,38.36657546
5750,17,2,0,3,1,0,0,0,2018,218.4816174,116.0364973,5.566440323,0.48578,21.9885678696,40.128664738,38.343522352
5751,17,2,1,3,1,0,0,0,2018,162.9459821,63.44008345,6.764457952399999,0.48577999999999993,21.988567869599994,40.128664738,38.36657546
5752,17,2,2,3,1,0,0,0,2018,316.8000155,179.274609,6.764457952399999,0.48577999999999993,21.988567869599994,40.128664738,38.36657546
5753,17,3,0,3,1,0,0,0,2018,112.7190594,61.36368981,12.47957393,0.48578,21.9885678696,40.128664738,38.343522352
5754,17,3,1,3,1,0,0,0,2018,81.04053557,37.16726616,12.982884904600002,0.48577999999999993,21.988567869599994,40.128664738,38.36657546
5755,17,3,2,3,1,0,0,0,2018,197.0954699,101.5194068,12.982884904600002,0.48577999999999993,21.988567869599994,40.128664738,38.36657546
5756,17,5,0,3,1,0,0,0,2018,140.45942618,61.536020910000005,11.95896121,0.48578,21.9885678696,40.128664738,38.343522352
5757,17,1,0,3,1,0,0,0,2018,168.6252926,82.73364036,4.802618655,0.48578,21.9885678696,40.128664738,38.343522352
