,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Active Transportation | Riding Bike to Work,Active Transportation | Walking to Work,Births | Low Birthweight,Births | Preterm Births,Cancer | All Cancer Deaths,Cancer | Breast Cancer Deaths,Cancer | Lung Cancer Deaths,Cardiovascular Disease | Cardiovascular Disease Deaths,Crime Incidents | Homicides,Crime Incidents | Violent Crime,Deaths | Deaths from All Causes,Deaths | Injury Deaths,Deaths | Maternal Deaths,Deaths | Premature Death,Deaths | Racial Disparity in Police Killings,Diabetes and Obesity | Diabetes Deaths,Disability | People with Disabilities,Food Access | Limited Supermarket Access,"Health Insurance | Uninsured, All Ages","Health Insurance | Uninsured, Child","Housing | Homeless, Children",Housing | Renters vs. Owners,Income Inequality | Income Inequality,Income-related | Unemployment,Language and Nativity | Foreign Born Population,Language and Nativity | Primarily Speak Chinese,Language and Nativity | Primarily Speak Spanish,Lead Poisoning | Child Lead Levels 5+ mcg/dL,Lead Poisoning | Housing Lead Risk,Life Expectancy at Birth | Life Expectancy,Mental Health | Adult Mental Distress,Population | Children,Population | Single-Parent Families,Race/Ethnicity | Minority Population,"Racial Segregation Indices | Racial Segregation, White and Black","Racial Segregation Indices | Racial Segregation, White and Non-White",Respiratory Infection | COVID-19 Deaths,Respiratory Infection | New Tuberculosis Cases,Sexually Transmitted Disease | New Gonorrhea Cases,"Sexually Transmitted Disease | Syphilis, Newborns",Substance Use | Adult Smoking,Substance Use | Drug Overdose Deaths,Substance Use | Opioid Overdose Deaths,Transportation | Lack of Car
6241,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,,,,,0.27779119993261464,,0.21729812640812368,0.16681341892612703,0.0059710303045333235,,0.17209603726516184,0.04668887161014126,,0.07129652764766481,,0.09105170479738169,,,,,,,,,,,,,,,,,,,,,,,,,,0.04362609501346077,0.032095442034418796,
2507,0.6,1.0,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,,,,,0.39380111759008246,,0.278796902283411,0.3394905560177093,0.08762315365299458,,0.3590393624848475,0.13126850025057546,,0.2180031709154867,,0.39972210101511946,,,,,,,,,,,,,,,,,,,,,,,,,,0.01953371355173158,0.008565101315609641,
5212,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0.5772657102181636,,,,,0.12370699768295353,,0.693103574579621,,,,,,,,,,,,,,,,,,,,
837,0.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,,0.28842908840725157,,0.284723717452146,0.21519513277138366,,,0.2036039503475215,0.024594356300247547,,0.09979411735670686,,0.28954702088521017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7075,0.8,0.0,0.6666666666666666,1.0,0.0,1.0,1.0,0.0,,,0.21670838809226914,,0.17242673887425647,,,0.1733570029448753,,,0.15334722073288395,0.054759885075164716,,0.10490741682504523,,,0.028343866697321564,,,,,0.22361468179018532,,0.09301777121540597,,,,,,,,,,,,,,,,,,,,
6865,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0.4185901952910842,,0.36139095924583364,0.352742853115343,0.016132997077387894,,0.38341124715533725,0.11221396181621228,,0.19204712000589869,,0.2819591163485085,,,,,,,,,,,,,,,,,,,,,,,,,,0.09668556209468351,0.08004783550226406,
2919,0.4,0.5,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.5073415758739013,,0.36681296973057437,0.3245516894981736,0.08218915382272193,,0.3755357495386194,0.08123856005226485,,0.25845198905911004,,0.45207919480669834,,,,,,,,,,,,,,,,,,,,,,,,,,0.037859840619773516,,
4164,0.8,0.5,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,0.07374628520656468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,0.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,0.404684259451142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,0.35918824499810414,,,,,0.10296478092691114,,0.26282604038693735,,,,,,,,,,,,,,,,,,,,
