,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | All Cancer Deaths,Deaths | Injury Deaths,"Health Insurance | Uninsured, All Ages",Income Inequality | Income Inequality,Lead Poisoning | Housing Lead Risk,"Racial Segregation Indices | Racial Segregation, White and Non-White",Transportation | Longer Driving Commute Time
16,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,153.5496807,65.60496562,15.136657060260063,0.4876,6.288232493,44.16342767,30.722395063049124
17,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,135.3534076,42.29106567,15.237866969926348,0.47449940449761013,13.837874974546585,44.17944059643535,30.703198238327417
18,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,181.3610221,90.78605863,15.237866969926348,0.47449940449761013,13.837874974546585,44.17944059643535,30.703198238327417
19,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2011,109.6965121,26.13600564,13.50748547979272,0.47449940449761013,13.837874974546585,44.17944059643535,30.703198238327417
20,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2011,93.73147479,19.18078167,13.56246626540191,0.4740387359208409,13.872971121757546,44.09130390047655,30.69543790603052
21,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2011,137.2376536,42.90453666,13.56246626540191,0.4740387359208409,13.872971121757546,44.09130390047655,30.69543790603052
22,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,222.5820501,72.70191448,14.613468192022868,0.47449940449761013,13.837874974546585,44.17944059643535,30.703198238327417
23,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,189.2204277,34.2084847,14.615624512953165,0.4740387359208409,13.872971121757546,44.09130390047655,30.69543790603052
24,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,287.608977,116.0018348,14.615624512953165,0.4740387359208409,13.872971121757546,44.09130390047655,30.69543790603052
25,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,132.7441737,49.60127567,29.90019694124106,0.47449940449761013,13.837874974546585,44.17944059643535,30.703198238327417
26,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,114.6343744,33.02443681,29.87040519265977,0.4740387359208409,13.872971121757546,44.09130390047655,30.69543790603052
27,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,161.6403498,65.57948855,29.87040519265977,0.4740387359208409,13.872971121757546,44.09130390047655,30.69543790603052
28,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2011,168.66395154285715,52.01845820571429,19.868472843772253,0.47449940449761013,13.837874974546585,44.17944059643535,30.703198238327417
29,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,154.7615585,75.88254205,8.38281413165504,0.47449940449761013,13.837874974546585,44.17944059643535,30.703198238327417
