,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Deaths | Maternal Deaths,Food Access | Limited Supermarket Access,"Housing | Homeless, Children",Births | Low Birthweight,"Health Insurance | Uninsured, All Ages",Deaths | Premature Death,Mental Health | Adult Mental Distress
3489,18,0,1,3,1,0,0,1,2020,13.186523370000002,21.40495096405363,8.5834151144456,7.43084257602153,9.671120224437127,4723.131771,15.41946272491455
3490,18,0,2,3,1,0,0,1,2020,13.186523370000002,21.40495096405363,8.5834151144456,7.43084257602153,9.671120224437127,8353.593718,15.41946272491455
3491,18,4,0,3,1,0,0,1,2020,13.186523370000002,21.40495096405363,8.5834151144456,10.15252622,5.199526692,6114.130476,15.41946272491455
3492,18,4,1,3,1,0,0,1,2020,14.21885986220394,22.139143775587435,8.61072832096308,9.327441034415857,5.798364485350386,4566.166754,15.423501460253437
3493,18,4,2,3,1,0,0,1,2020,14.21885986220394,22.139143775587435,8.61072832096308,9.327441034415857,5.798364485350386,7859.77543,15.423501460253437
3494,18,2,0,3,1,0,0,1,2020,19.00409713263749,21.40495096405363,8.5834151144456,11.74743025,8.359719038,12865.49212,15.41946272491455
3495,18,2,1,3,1,0,0,1,2020,19.07416741657548,22.139143775587435,8.61072832096308,11.941643802600026,8.633970694168822,9398.408646,15.423501460253437
3496,18,2,2,3,1,0,0,1,2020,19.07416741657548,22.139143775587435,8.61072832096308,11.941643802600026,8.633970694168822,17445.36606,15.423501460253437
3497,18,3,0,3,1,0,0,1,2020,12.303835154617545,21.40495096405363,8.5834151144456,6.335978836,13.54980445,5530.77898,15.41946272491455
3498,18,3,1,3,1,0,0,1,2020,12.29928079244608,22.139143775587435,8.61072832096308,6.447559658527035,13.965313877736694,3601.115763,15.423501460253437
3499,18,3,2,3,1,0,0,1,2020,12.29928079244608,22.139143775587435,8.61072832096308,6.447559658527035,13.965313877736694,7662.366069,15.423501460253437
3500,18,5,0,3,1,0,0,1,2020,13.186523370000002,21.40495096405363,8.5834151144456,7.43084257602153,12.95881441,6401.210057466546,15.41946272491455
3501,18,1,0,3,1,0,0,1,2020,16.6429480469282,21.40495096405363,8.5834151144456,5.551415797,4.185126519,6005.717883,15.41946272491455
3502,18,1,1,3,1,0,0,1,2020,16.675169703755188,22.139143775587435,8.61072832096308,5.629619515105337,4.836334488644265,4743.294605,15.423501460253437
3503,18,1,2,3,1,0,0,1,2020,16.675169703755188,22.139143775587435,8.61072832096308,5.629619515105337,4.836334488644265,7036.540518,15.423501460253437
3504,18,0,0,3,1,0,0,1,2021,13.18652337,19.33773672,13.10116086,7.493540052,9.050666829,7014.571816,16.7
3505,18,0,1,3,1,0,0,1,2021,12.835463782002037,23.464619771625802,12.673990903976543,7.559910960135906,10.051197600195009,5109.696385,15.697319988429557
3506,18,0,2,3,1,0,0,1,2021,12.835463782002037,23.464619771625802,12.673990903976543,7.559910960135906,10.051197600195009,8992.035722,15.697319988429557
3507,18,4,0,3,1,0,0,1,2021,13.33972249873234,23.464619771625802,12.673990903976543,9.424350484,5.199526692,6251.156184,15.697319988429557
3508,18,4,1,3,1,0,0,1,2021,13.27949640048071,23.523220022508703,12.770893683722294,9.2343310645461,5.226432247245336,4613.47265,15.222588145253418
3509,18,4,2,3,1,0,0,1,2021,13.27949640048071,23.523220022508703,12.770893683722294,9.2343310645461,5.226432247245336,8156.29744,15.222588145253418
3510,18,2,0,3,1,0,0,1,2021,26.67156364552671,23.464619771625802,12.673990903976543,11.87335092,8.359719038,13826.00708,15.697319988429557
3511,18,2,1,3,1,0,0,1,2021,27.086061566791905,23.523220022508703,12.770893683722294,11.596430435042558,9.072946839106171,9888.621603,15.222588145253418
3512,18,2,2,3,1,0,0,1,2021,27.086061566791905,23.523220022508703,12.770893683722294,11.596430435042558,9.072946839106171,18486.16268,15.222588145253418
3513,18,3,0,3,1,0,0,1,2021,14.649249315382454,23.464619771625802,12.673990903976543,6.624307152,13.54980445,6048.262779,15.697319988429557
3514,18,3,1,3,1,0,0,1,2021,12.29928079244608,23.523220022508703,12.770893683722294,6.661409410009858,13.239401539221221,4097.059601,15.222588145253418
3515,18,3,2,3,1,0,0,1,2021,12.29928079244608,23.523220022508703,12.770893683722294,6.661409410009858,13.239401539221221,8118.698383,15.222588145253418
3516,18,5,0,3,1,0,0,1,2021,13.33972249873234,23.464619771625802,12.673990903976543,7.43297632884867,12.95881441,6600.6194556038,15.697319988429557
3517,18,1,0,3,1,0,0,1,2021,18.553264492442562,23.464619771625802,12.673990903976543,5.332814325,4.185126519,6679.428894,15.697319988429557
3518,18,1,1,3,1,0,0,1,2021,18.668800879764266,23.523220022508703,12.770893683722294,5.705575696064952,4.142055414011114,5270.212504,15.222588145253418
