,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Deaths | Racial Disparity in Police Killings,Language and Nativity | Primarily Speak Chinese,Crime Incidents | Homicides,Food Access | Limited Supermarket Access,Active Transportation | Walking to Work,Mental Health | Adult Mental Distress,Substance Use | Opioid Overdose Deaths
436,8,4,1,1,1,0,1,1,2011,-0.5552903801738536,3.7844124386257207,1.452906977812465,15.37740949623609,18.66772419022612,13.488035130989962,4.5341300795740915
437,8,4,2,1,1,0,1,1,2011,-0.5552903801738536,3.7844124386257207,3.4885599208399634,15.37740949623609,18.66772419022612,13.488035130989962,6.741130396903945
438,8,2,0,1,1,0,1,1,2011,-0.5588234780581816,3.787228900070977,21.93784444,15.414236967641681,6.138913272195861,13.490013174456028,4.841644624
439,8,2,1,1,1,0,1,1,2011,-0.5552903801738536,3.7844124386257207,4.352729586,15.37740949623609,6.084306620786095,13.488035130989962,5.41526816930705
440,8,2,2,1,1,0,1,1,2011,-0.5552903801738536,3.7844124386257207,42.47545164,15.37740949623609,6.084306620786095,13.488035130989962,9.173813617
441,8,3,0,1,1,0,1,1,2011,-0.5588234780581816,3.787228900070977,9.663997825,15.414236967641681,10.70075981523072,13.490013174456028,6.648965679
442,8,3,1,1,1,0,1,1,2011,-0.5552903801738536,3.7844124386257207,1.6216300146080431,15.37740949623609,10.856082474376253,13.488035130989962,3.084539146799771
443,8,3,2,1,1,0,1,1,2011,-0.5552903801738536,3.7844124386257207,17.65413496,15.37740949623609,10.856082474376253,13.488035130989962,9.913825492
444,8,5,0,1,1,0,1,1,2011,-0.5588234780581816,3.787228900070977,5.776892267328548,15.414236967641681,10.436564042939832,13.490013174456028,12.08875665488225
445,8,1,0,1,1,0,1,1,2011,-0.5588234780581816,3.787228900070977,1.396445826,15.414236967641681,16.711004734131215,13.490013174456028,15.48826789
446,8,1,1,1,1,0,1,1,2011,-0.5552903801738536,3.7844124386257207,1.096611033647178,15.37740949623609,16.42404263639707,13.488035130989962,8.486770809
447,8,1,2,1,1,0,1,1,2011,-0.5552903801738536,3.7844124386257207,2.731536789326336,15.37740949623609,16.42404263639707,13.488035130989962,21.8945139
448,8,0,0,1,1,0,1,1,2012,-0.755277311,4.2146367850912,5.501689827,17.46198604,15.05991885,13.6,11.76064245
449,8,0,1,1,1,0,1,1,2012,-0.5603289532976449,4.253009093469538,1.927454347,15.429929384933343,14.218852878842954,13.491437109855307,5.578119826
450,8,0,2,1,1,0,1,1,2012,-0.5603289532976449,4.253009093469538,9.381443041,15.429929384933343,14.218852878842954,13.491437109855307,18.22196695
451,8,4,0,1,1,0,1,1,2012,-0.5603289532976449,4.253009093469538,1.7083312034024545,15.429929384933343,20.267239762818935,13.491437109855307,0.955275725391329
452,8,4,1,1,1,0,1,1,2012,-0.5561198271753214,4.254242241548496,0.861097733089823,15.38605529002078,19.004658047486,13.488819739774206,4.40380821787495
453,8,4,2,1,1,0,1,1,2012,-0.5561198271753214,4.254242241548496,2.478425437257664,15.38605529002078,19.004658047486,13.488819739774206,5.268282875362577
454,8,2,0,1,1,0,1,1,2012,-0.5603289532976449,4.253009093469538,16.9660234,15.429929384933343,6.23036991649773,13.491437109855307,6.397711495
455,8,2,1,1,1,0,1,1,2012,-0.5561198271753214,4.254242241548496,3.966771961,15.38605529002078,6.111384446989926,13.488819739774206,4.31079286
456,8,2,2,1,1,0,1,1,2012,-0.5561198271753214,4.254242241548496,32.08975794,15.38605529002078,6.111384446989926,13.488819739774206,9.055702498
457,8,3,0,1,1,0,1,1,2012,-0.5603289532976449,4.253009093469538,7.719447326,15.429929384933343,10.131034193275594,13.491437109855307,9.494373784
458,8,3,1,1,1,0,1,1,2012,-0.5561198271753214,4.254242241548496,1.2737047660390381,15.38605529002078,10.286725116170004,13.488819739774206,3.77836940486762
459,8,3,2,1,1,0,1,1,2012,-0.5561198271753214,4.254242241548496,13.20537853,15.38605529002078,10.286725116170004,13.488819739774206,16.49897966
460,8,5,0,1,1,0,1,1,2012,-0.5603289532976449,4.253009093469538,5.662311397125185,15.429929384933343,9.749611593107979,13.491437109855307,12.208231492832224
