,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Air Pollution | Poor Air Quality,Dietary Quality | Teen Breakfast,Lead Poisoning | Child Lead Levels 10+ mcg/dL,Physical Activity | Teen Physical Education,School Violence | Fighting in School
6073,4,3,0,3,1,1,0,0,2012,78.42696723088567,15.754395156217926,0.2744735847321907,46.88982372575618,26.140326757765713
6074,4,3,1,3,1,1,0,0,2012,78.3998877867579,13.335491074289372,0.29953383630517905,43.540261834437224,22.871330497020423
6075,4,3,2,3,1,1,0,0,2012,78.3998877867579,14.129955615128239,0.29953383630517905,41.63851475985738,28.24644968911697
6076,4,5,0,3,1,1,0,0,2012,78.42696723088567,13.784464166269508,0.2744735847321907,41.79850009116461,25.470157742782806
6077,4,1,0,3,1,1,0,0,2012,78.42696723088567,9.904571951299001,0.2744735847321907,44.95038662610087,20.35480923318715
6078,4,1,1,3,1,1,0,0,2012,78.3998877867579,11.59621649937721,0.29953383630517905,41.54420914749823,19.645715181271456
6079,4,1,2,3,1,1,0,0,2012,78.3998877867579,12.168517404383472,0.29953383630517905,39.6424620729184,25.020834373368004
6080,4,0,0,3,1,1,0,0,2013,84.65753425,13.9,0.176758521,44.7,21.3
6081,4,0,1,3,1,1,0,0,2013,79.66208764883457,13.0,0.27802613038788676,47.7,15.4
6082,4,0,2,3,1,1,0,0,2013,79.66208764883457,14.9,0.27802613038788676,41.8,26.6
6083,4,4,0,3,1,1,0,0,2013,79.66208764883457,11.9,0.27802613038788676,39.4,16.7
6084,4,4,1,3,1,1,0,0,2013,79.65950162669756,12.331640833112251,0.2781850662105636,43.17693859132812,16.197465992553646
6085,4,4,2,3,1,1,0,0,2013,79.65950162669756,13.390828856853958,0.2781850662105636,42.434000473334436,22.52123773274184
6086,4,2,0,3,1,1,0,0,2013,79.66208764883457,15.935703267163378,0.27802613038788676,45.29278784874525,31.93584182149586
6087,4,2,1,3,1,1,0,0,2013,79.65950162669756,13.766230736106573,0.2781850662105636,42.923330436286044,21.623715832138146
6088,4,2,2,3,1,1,0,0,2013,79.65950162669756,14.847979597151458,0.2781850662105636,39.88143267879712,28.739944061278642
6089,4,3,0,3,1,1,0,0,2013,79.66208764883457,17.0,0.27802613038788676,47.8,24.4
6090,4,3,1,3,1,1,0,0,2013,79.65950162669756,13.706990866279963,0.2781850662105636,44.13580732058359,21.56593957089593
6091,4,3,2,3,1,1,0,0,2013,79.65950162669756,14.226684281667259,0.2781850662105636,42.235040479100654,27.889711311084127
6092,4,5,0,3,1,1,0,0,2013,79.66208764883457,13.586852278145718,0.27802613038788676,42.41895032349467,24.170301487176697
6093,4,1,0,3,1,1,0,0,2013,79.66208764883457,9.4,0.27802613038788676,45.9,17.8
6094,4,1,1,3,1,1,0,0,2013,79.65950162669756,11.836632895424259,0.2781850662105636,42.54674983104915,18.844929242676507
6095,4,1,2,3,1,1,0,0,2013,79.65950162669756,12.632990212531764,0.2781850662105636,40.64598298956621,25.168700982864703
6096,4,0,0,3,1,1,0,0,2014,75.61643836,13.9,0.192691978,44.7,21.3
6097,4,0,1,3,1,1,0,0,2014,79.88601542276517,12.75995080718777,0.2583224702936645,46.490043516748685,14.97867020905896
6098,4,0,2,3,1,1,0,0,2014,79.88601542276517,14.310041579638908,0.2583224702936645,42.4216793471326,26.094840450370345
6099,4,4,0,3,1,1,0,0,2014,79.88601542276517,12.145064126344511,0.2583224702936645,44.594627536456414,13.197031312127308
6100,4,4,1,3,1,1,0,0,2014,79.88877719195223,12.339468732196334,0.258544257964217,43.884039112313246,15.187261774409208
6101,4,4,2,3,1,1,0,0,2014,79.88877719195223,13.275132400417878,0.258544257964217,42.589690746402695,20.57265545304599
6102,4,2,0,3,1,1,0,0,2014,79.88601542276517,15.94875150819894,0.2583224702936645,43.19699417185953,30.17928730303882
6103,4,2,1,3,1,1,0,0,2014,79.88877719195223,13.816014839602808,0.258544257964217,42.9419431470409,22.443585026235642
6104,4,2,2,3,1,1,0,0,2014,79.88877719195223,15.323915170457992,0.258544257964217,40.38154037148682,28.61600983492248
6105,4,3,0,3,1,1,0,0,2014,79.88601542276517,15.130036894609171,0.2583224702936645,45.13160155021715,23.539436724287963
6106,4,3,1,3,1,1,0,0,2014,79.88877719195223,13.708704321203088,0.258544257964217,44.973161467805994,21.207180667996575
6107,4,3,2,3,1,1,0,0,2014,79.88877719195223,14.644367989424628,0.258544257964217,42.41820753240303,27.33042910770716
6108,4,5,0,3,1,1,0,0,2014,79.88601542276517,13.641082615069246,0.2583224702936645,42.67244211783668,22.84969877222275
6109,4,1,0,3,1,1,0,0,2014,79.88601542276517,12.195705011005636,0.2583224702936645,43.967569610522325,19.980524093865284
6110,4,1,1,3,1,1,0,0,2014,79.88877719195223,12.256187350715942,0.258544257964217,43.55611228005986,17.913530195426016
6111,4,1,2,3,1,1,0,0,2014,79.88877719195223,14.79053633459741,0.258544257964217,41.0011583446569,24.583337717413514
6112,4,0,0,3,1,1,0,0,2015,75.06849315,12.8,0.198077202,41.2,19.8
6113,4,0,1,3,1,1,0,0,2015,79.1873095893365,11.5,0.23574250872357203,42.9,11.9
6114,4,0,2,3,1,1,0,0,2015,79.1873095893365,14.1,0.23574250872357203,39.6,27.4
6115,4,4,0,3,1,1,0,0,2015,79.1873095893365,13.3,0.23574250872357203,38.1,13.0
6116,4,4,1,3,1,1,0,0,2015,79.19013379253778,13.063779232470274,0.23579507606700226,44.35501515712747,13.246020560381153
6117,4,4,2,3,1,1,0,0,2015,79.19013379253778,14.421940262881536,0.23579507606700226,42.35430482561115,17.898556476593406
6118,4,2,0,3,1,1,0,0,2015,79.1873095893365,14.4,0.23574250872357203,37.8,28.7
6119,4,2,1,3,1,1,0,0,2015,79.19013379253778,14.880190557052778,0.23579507606700226,42.2863465884222,19.968856465085135
