,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Colorectal Cancer Deaths,Heat and Disasters | Number of Heat Waves,Mental Health | School Bullying,Population | Seniors,Sexually Transmitted Disease | HIV/AIDS Prevalence
6460,19,5,0,3,1,0,0,0,2010,16.194988968402534,5.78021003638449,16.728121516292827,11.077542625060081,363.2
6461,19,1,0,3,1,0,0,0,2010,15.46688416,5.78021003638449,15.979595940556122,11.077542625060081,200.7
6462,19,1,1,3,1,0,0,0,2010,12.303593081999999,5.780214907889736,14.18374639899272,11.077543938838502,245.0285714285714
6463,19,1,2,3,1,0,0,0,2010,14.7989891,5.780214907889736,12.781230950210235,11.077543938838502,453.0142857142857
6464,19,0,0,3,1,0,0,0,2011,13.22746836,5.923076923,16.46666666666667,10.25441675,202.0
6465,19,0,1,3,1,0,0,0,2011,12.5520159,5.637360728829364,14.0,11.226491455198504,53.3
6466,19,0,2,3,1,0,0,0,2011,13.97449805,5.637360728829364,14.1,11.226491455198504,350.8
6467,19,4,0,3,1,0,0,0,2011,10.48270511,5.637360728829364,11.6,11.226491455198504,49.9
6468,19,4,1,3,1,0,0,0,2011,8.938907871,5.648350392656412,13.471610489961229,10.918891667308046,101.71428571428571
6469,19,4,2,3,1,0,0,0,2011,12.59664256,5.648350392656412,11.945173817711861,10.918891667308046,320.6714285714285
6470,19,2,0,3,1,0,0,0,2011,22.436076829999998,5.637360728829364,14.8,11.226491455198504,1075.8000000000002
6471,19,2,1,3,1,0,0,0,2011,18.919914606,5.648350392656412,14.362550623746388,10.918891667308046,608.8428571428573
6472,19,2,2,3,1,0,0,0,2011,28.07311531,5.648350392656412,12.808447561325,10.918891667308046,827.8000000000001
6473,19,3,0,3,1,0,0,0,2011,14.23825088,5.637360728829364,15.3,11.226491455198504,309.4
6474,19,3,1,3,1,0,0,0,2011,8.305441672,5.648350392656412,15.201391384292386,10.918891667308046,301.9857142857142
6475,19,3,2,3,1,0,0,0,2011,13.11041205,5.648350392656412,13.633455126784982,10.918891667308046,520.9428571428572
6476,19,5,0,3,1,0,0,0,2011,15.381622201816484,5.637360728829364,15.94287150797145,11.226491455198504,351.06666666666666
6477,19,1,0,3,1,0,0,0,2011,14.5006383,5.637360728829364,14.4,11.226491455198504,211.6
6478,19,1,1,3,1,0,0,0,2011,14.03716745,5.648350392656412,15.801542595350577,10.918891667308046,254.65714285714282
6479,19,1,2,3,1,0,0,0,2011,14.93123546,5.648350392656412,14.247439532929189,10.918891667308046,473.61428571428576
6480,19,0,0,3,1,0,0,0,2012,12.04554529,5.923076923,16.466666666666665,10.25441675,202.8
6481,19,0,1,3,1,0,0,0,2012,10.48641984,5.637360728829364,14.374995607784621,11.226491455198504,54.4
6482,19,0,2,3,1,0,0,0,2012,13.90915213,5.637360728829364,12.932515079939463,11.226491455198504,351.0
6483,19,4,0,3,1,0,0,0,2012,10.33486663,5.637360728829364,12.769992386826678,11.226491455198504,52.1
6484,19,4,1,3,1,0,0,0,2012,9.20310607,5.637361683041731,15.107933572912428,11.226496853534295,106.12857142857142
6485,19,4,2,3,1,0,0,0,2012,11.74902924,5.637361683041731,13.287761002558165,11.226496853534295,328.6714285714285
6486,19,2,0,3,1,0,0,0,2012,24.193481165999998,5.637360728829364,12.562440705092401,11.226491455198504,1085.58
6487,19,2,1,3,1,0,0,0,2012,17.284660597499997,5.637361683041731,14.354146178102665,11.226496853534295,616.9428571428571
6488,19,2,2,3,1,0,0,0,2012,28.498250544,5.637361683041731,13.025876781797608,11.226496853534295,839.4857142857144
6489,19,3,0,3,1,0,0,0,2012,12.48533813,5.637360728829364,14.579893415573505,11.226491455198504,316.7
6490,19,3,1,3,1,0,0,0,2012,12.05341281,5.637361683041731,15.200905201746075,11.226496853534295,311.11428571428576
6491,19,3,2,3,1,0,0,0,2012,12.99054989,5.637361683041731,14.091259438351777,11.226496853534295,533.6571428571428
6492,19,5,0,3,1,0,0,0,2012,14.85472874576832,5.637360728829364,15.685735702793798,11.226491455198504,346.79999999999995
6493,19,1,0,3,1,0,0,0,2012,12.90495702,5.637360728829364,15.91242020808731,11.226491455198504,211.5
6494,19,1,1,3,1,0,0,0,2012,10.80233785,5.637361683041731,15.840683044527339,11.226496853534295,256.70000000000005
6495,19,1,2,3,1,0,0,0,2012,15.55983753,5.637361683041731,15.222940455182247,11.226496853534295,479.2428571428572
