,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Teen Births,Deaths | Infant Deaths,Food Access | Limited Supermarket Access,Income Inequality | Household Income Inequality,Lead Poisoning | Child Lead Levels 5+ mcg/dL,"Racial Segregation Indices | Racial Segregation, White and Hispanic",Transportation | Lack of Car
462,8,1,1,1,1,0,1,1,2012,2.8968953274592,3.462174095632713,15.38605529002078,0.010576197446427885,2.327051858401796,56.146403071886375,38.09388640489073
463,8,1,2,1,1,0,1,1,2012,2.8968953274592,3.462174095632713,15.38605529002078,0.010576197446427885,2.327051858401796,56.146403071886375,38.09388640489073
464,8,0,0,1,1,0,1,1,2013,12.65756164,5.239238462142239,17.46198604,0.06495105,2.075990413,53.94568883,34.29257415
465,8,0,1,1,1,0,1,1,2013,12.610713833908916,5.312627087508673,17.307404105075445,0.023602255764810003,2.234893638818265,54.51943782762711,35.133854777172736
466,8,0,2,1,1,0,1,1,2013,12.610713833908916,5.312627087508673,17.307404105075445,0.023602255764810003,2.234893638818265,54.51943782762711,35.133854777172736
467,8,4,0,1,1,0,1,1,2013,1.394999463,2.846307794499745,17.307404105075445,0.023602255764810003,2.234893638818265,54.51943782762711,35.133854777172736
468,8,4,1,1,1,0,1,1,2013,2.76099830763811,2.863486845681638,17.306634754865957,0.023585754889498517,2.234921682412304,54.51966679103087,35.134190503207506
469,8,4,2,1,1,0,1,1,2013,2.76099830763811,2.863486845681638,17.306634754865957,0.023585754889498517,2.234921682412304,54.51966679103087,35.134190503207506
470,8,2,0,1,1,0,1,1,2013,27.55803733,7.453864845313113,17.307404105075445,0.023602255764810003,2.234893638818265,54.51943782762711,35.133854777172736
471,8,2,1,1,1,0,1,1,2013,26.938049719301716,7.586124898780347,17.306634754865957,0.023585754889498517,2.234921682412304,54.51966679103087,35.134190503207506
472,8,2,2,1,1,0,1,1,2013,26.938049719301716,7.586124898780347,17.306634754865957,0.023585754889498517,2.234921682412304,54.51966679103087,35.134190503207506
