,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Active Transportation | Riding Bike to Work,Crime Incidents | Homicides,Diabetes and Obesity | Diabetes Deaths,"Housing | Homeless, Total",Language and Nativity | Foreign Born Population,Population | Population Density,"Sexually Transmitted Disease | Syphilis, Newborns"
4622,0,1,1,1,1,1,1,1,2012,1.1137657388826674,1.102773784,10.9803621,666.376079940962,33.49408439350057,25505.18539563284,10.698569583254612
4623,0,1,2,1,1,1,1,1,2012,1.1137657388826674,2.151605372,17.37318475,666.376079940962,33.49408439350057,25505.18539563284,10.698569583254612
4624,0,0,0,1,1,1,1,1,2013,1.1835363,4.136727,20.69024771,676.6125903327783,37.15036509,28499.18432,6.630640188
4625,0,0,1,1,1,1,1,1,2013,1.0073501369992666,1.301581786,17.72572563,639.7836889458094,37.034548159174385,27895.250595803678,9.594005558884591
4626,0,0,2,1,1,1,1,1,2013,1.0073501369992666,7.142591669,24.58459083,639.7836889458094,37.034548159174385,27895.250595803678,9.594005558884591
4627,0,4,0,1,1,1,1,1,2013,1.0073501369992666,1.195691461,14.38508516,639.7836889458094,37.034548159174385,27895.250595803678,9.594005558884591
4628,0,4,1,1,1,1,1,1,2013,1.007279827188278,0.883178728,10.65071437,637.9565644328917,37.034501940638386,27895.00958671832,9.591467063856737
4629,0,4,2,1,1,1,1,1,2013,1.007279827188278,1.540686295,19.15194392,637.9565644328917,37.034501940638386,27895.00958671832,9.591467063856737
4630,0,2,0,1,1,1,1,1,2013,1.0073501369992666,10.63112871,37.23388382,639.7836889458094,37.034548159174385,27895.250595803678,9.594005558884591
4631,0,2,1,1,1,1,1,1,2013,1.007279827188278,2.565679252,33.24722727,637.9565644328917,37.034501940638386,27895.00958671832,9.591467063856737
4632,0,2,2,1,1,1,1,1,2013,1.007279827188278,20.04035486,43.00485122,637.9565644328917,37.034501940638386,27895.00958671832,9.591467063856737
4633,0,3,0,1,1,1,1,1,2013,1.0073501369992666,3.391359828,22.19520931,639.7836889458094,37.034548159174385,27895.250595803678,9.594005558884591
4634,0,3,1,1,1,1,1,1,2013,1.007279827188278,1.034885273,19.29092275,637.9565644328917,37.034501940638386,27895.00958671832,9.591467063856737
4635,0,3,2,1,1,1,1,1,2013,1.007279827188278,5.814679093,25.98841614,637.9565644328917,37.034501940638386,27895.00958671832,9.591467063856737
4636,0,5,0,1,1,1,1,1,2013,1.0073501369992666,4.565278559351821,20.376353994446273,639.7836889458094,37.034548159174385,27895.250595803678,9.594005558884591
4637,0,1,0,1,1,1,1,1,2013,1.0073501369992666,1.357093896,13.87599182,639.7836889458094,37.034548159174385,27895.250595803678,9.594005558884591
4638,0,1,1,1,1,1,1,1,2013,1.007279827188278,0.732154854,10.62527378,637.9565644328917,37.034501940638386,27895.00958671832,9.591467063856737
4639,0,1,2,1,1,1,1,1,2013,1.007279827188278,1.996479278,17.96829256,637.9565644328917,37.034501940638386,27895.00958671832,9.591467063856737
4640,0,0,0,1,1,1,1,1,2014,1.1835363,3.916586076,20.49721131,789.1139280596803,37.15036509,28499.18432,20.21771284
4641,0,0,1,1,1,1,1,1,2014,1.06640907570944,1.15166554,17.48247351,738.3150760159206,37.07337087318741,28097.693762706454,9.574235316190311
4642,0,0,2,1,1,1,1,1,2014,1.06640907570944,6.846601284,24.47317607,738.3150760159206,37.07337087318741,28097.693762706454,9.574235316190311
4643,0,4,0,1,1,1,1,1,2014,1.06640907570944,1.043637228,14.42178312,738.3150760159206,37.07337087318741,28097.693762706454,9.574235316190311
