,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cardiovascular Disease | Heart Disease Deaths,Deaths | Racial Disparity in Police Killings,"Housing | Homeless, Children",Income-related | Unemployment,Population | Children,Sexually Transmitted Disease | Syphilis Prevalence
2221,32,1,0,2,0,0,0,0,2018,215.4147451,7.769906856999999,26.08112767867827,5.506181839,26.207295198163077,11.194763007597254
2222,32,1,1,2,0,0,0,0,2018,161.8649137,7.769906857000001,26.081595773472312,5.927973550139161,26.207602804446154,11.190338160378674
2223,32,1,2,2,0,0,0,0,2018,267.8374998,7.769906857000001,26.081595773472312,5.927973550139161,26.207602804446154,11.190338160378674
2224,32,0,0,2,0,0,0,0,2019,164.8184015,7.769906857,23.11495674,6.786418332,25.43647858,10.4
2225,32,0,1,2,0,0,0,0,2019,122.7772458,7.769906856999999,25.223519231542515,6.814931559691311,25.94891161892203,11.623867337802547
2226,32,0,2,2,0,0,0,0,2019,220.7166479,7.769906856999999,25.223519231542515,6.814931559691311,25.94891161892203,11.623867337802547
2227,32,4,0,2,0,0,0,0,2019,103.7975418372479,7.769906856999999,25.223519231542515,3.420479303,25.94891161892203,11.623867337802547
2228,32,4,1,2,0,0,0,0,2019,110.85936618396047,7.769906857000001,25.23160989831297,2.98966561751448,25.94982615166347,11.626171478103059
2229,32,4,2,2,0,0,0,0,2019,147.45524791280369,7.769906857000001,25.23160989831297,2.98966561751448,25.94982615166347,11.626171478103059
2230,32,2,0,2,0,0,0,0,2019,241.6009215,7.769906856999999,25.223519231542515,13.54815417,25.94891161892203,11.623867337802547
2231,32,2,1,2,0,0,0,0,2019,173.2664845,7.769906857000001,25.23160989831297,12.538066538069756,25.94982615166347,11.626171478103059
2232,32,2,2,2,0,0,0,0,2019,407.9553793,7.769906857000001,25.23160989831297,12.538066538069756,25.94982615166347,11.626171478103059
2233,32,3,0,2,0,0,0,0,2019,149.0112238,7.769906856999999,25.223519231542515,6.797990471,25.94891161892203,11.623867337802547
2234,32,3,1,2,0,0,0,0,2019,111.7239849,7.769906857000001,25.23160989831297,6.8281693647313855,25.94982615166347,11.626171478103059
2235,32,3,2,2,0,0,0,0,2019,201.1636456,7.769906857000001,25.23160989831297,6.8281693647313855,25.94982615166347,11.626171478103059
2236,32,5,0,2,0,0,0,0,2019,161.48478674539356,7.769906856999999,25.223519231542515,5.277401894,25.94891161892203,11.623867337802547
2237,32,1,0,2,0,0,0,0,2019,223.7070624,7.769906856999999,25.223519231542515,5.506181839,25.94891161892203,11.623867337802547
2238,32,1,1,2,0,0,0,0,2019,173.9329711,7.769906857000001,25.23160989831297,5.786585768077506,25.94982615166347,11.626171478103059
2239,32,1,2,2,0,0,0,0,2019,273.869687,7.769906857000001,25.23160989831297,5.786585768077506,25.94982615166347,11.626171478103059
2240,32,0,0,2,0,0,0,0,2020,169.5964211,7.769906857,19.81020166,6.786418332,25.43647858,10.4
2241,32,0,1,2,0,0,0,0,2020,128.7611906,7.123549600295556,22.25184340295484,6.591719719593439,25.634049596802676,14.054848220234847
2242,32,0,2,2,0,0,0,0,2020,222.237201,7.123549600295556,22.25184340295484,6.591719719593439,25.634049596802676,14.054848220234847
2243,32,4,0,2,0,0,0,0,2020,107.51168598116791,7.123549600295556,22.25184340295484,3.420479303,25.634049596802676,14.054848220234847
2244,32,4,1,2,0,0,0,0,2020,118.5043312907138,7.10959411359327,22.22183473819079,3.222800992243009,25.63339422178944,14.121487331031684
2245,32,4,2,2,0,0,0,0,2020,141.40160086115958,7.10959411359327,22.22183473819079,3.222800992243009,25.63339422178944,14.121487331031684
2246,32,2,0,2,0,0,0,0,2020,217.6719612,7.123549600295556,22.25184340295484,13.54815417,25.634049596802676,14.054848220234847
2247,32,2,1,2,0,0,0,0,2020,162.2980186,7.10959411359327,22.22183473819079,12.286272506730116,25.63339422178944,14.121487331031684
2248,32,2,2,2,0,0,0,0,2020,355.68984572608696,7.10959411359327,22.22183473819079,12.286272506730116,25.63339422178944,14.121487331031684
2249,32,3,0,2,0,0,0,0,2020,156.2118972,7.123549600295556,22.25184340295484,6.797990471,25.634049596802676,14.054848220234847
2250,32,3,1,2,0,0,0,0,2020,121.5305057,7.10959411359327,22.22183473819079,6.496701725647888,25.63339422178944,14.121487331031684
2251,32,3,2,2,0,0,0,0,2020,203.0101683,7.10959411359327,22.22183473819079,6.496701725647888,25.63339422178944,14.121487331031684
2252,32,5,0,2,0,0,0,0,2020,167.5329348072298,7.123549600295556,22.25184340295484,5.277401894,25.634049596802676,14.054848220234847
2253,32,1,0,2,0,0,0,0,2020,229.0390369,7.123549600295556,22.25184340295484,5.506181839,25.634049596802676,14.054848220234847
2254,32,1,1,2,0,0,0,0,2020,169.8633367,7.10959411359327,22.22183473819079,5.471781273242006,25.63339422178944,14.121487331031684
2255,32,1,2,2,0,0,0,0,2020,288.3143447,7.10959411359327,22.22183473819079,5.471781273242006,25.63339422178944,14.121487331031684
2256,32,0,0,2,0,0,0,0,2021,173.9230211,7.769906857,21.59090909,6.786418332,25.43647858,10.4
2257,32,0,1,2,0,0,0,0,2021,129.3208169,6.062876383117878,21.592710759261458,6.485950231595991,25.02620733741253,19.566357848056253
2258,32,0,2,2,0,0,0,0,2021,233.7016615,6.062876383117878,21.592710759261458,6.485950231595991,25.02620733741253,19.566357848056253
2259,32,4,0,2,0,0,0,0,2021,105.9497687103858,6.062876383117878,21.592710759261458,3.420479303,25.02620733741253,19.566357848056253
2260,32,4,1,2,0,0,0,0,2021,105.85208580007566,6.131291085528663,21.570872382472796,3.5187345534520045,24.347878776753355,12.434829898615023
2261,32,4,2,2,0,0,0,0,2021,120.34777149091457,6.131291085528663,21.570872382472796,3.5187345534520045,24.347878776753355,12.434829898615023
2262,32,2,0,2,0,0,0,0,2021,220.3109438,6.062876383117878,21.592710759261458,13.54815417,25.02620733741253,19.566357848056253
2263,32,2,1,2,0,0,0,0,2021,160.4051206,6.131291085528663,21.570872382472796,12.128885475562054,24.347878776753355,12.434829898615023
2264,32,2,2,2,0,0,0,0,2021,395.3486291,6.131291085528663,21.570872382472796,12.128885475562054,24.347878776753355,12.434829898615023
2265,32,3,0,2,0,0,0,0,2021,161.0735413,6.062876383117878,21.592710759261458,6.797990471,25.02620733741253,19.566357848056253
2266,32,3,1,2,0,0,0,0,2021,124.0929722,6.131291085528663,21.570872382472796,6.166237790755469,24.347878776753355,12.434829898615023
2267,32,3,2,2,0,0,0,0,2021,212.5879044,6.131291085528663,21.570872382472796,6.166237790755469,24.347878776753355,12.434829898615023
2268,32,5,0,2,0,0,0,0,2021,179.08122003740968,6.062876383117878,21.592710759261458,5.277401894,25.02620733741253,19.566357848056253
2269,32,1,0,2,0,0,0,0,2021,239.285208,6.062876383117878,21.592710759261458,5.506181839,25.02620733741253,19.566357848056253
2270,32,1,1,2,0,0,0,0,2021,163.7738454,6.131291085528663,21.570872382472796,5.01842815762394,24.347878776753355,12.434829898615023
2271,32,1,2,2,0,0,0,0,2021,262.46788495588237,6.131291085528663,21.570872382472796,5.01842815762394,24.347878776753355,12.434829898615023
2272,32,0,0,2,0,0,0,0,2022,170.7504588,7.769906857,25.0,6.786418332,25.43647858,10.4
2273,32,0,1,2,0,0,0,0,2022,126.6928749,5.716967279888315,20.955966442163618,6.191248718105772,25.270789511784965,12.104700889612705
2274,32,0,2,2,0,0,0,0,2022,230.3216687,5.716967279888315,20.955966442163618,6.191248718105772,25.270789511784965,12.104700889612705
2275,32,4,0,2,0,0,0,0,2022,106.70494337312397,5.716967279888315,20.955966442163618,3.420479303,25.270789511784965,12.104700889612705
2276,32,4,1,2,0,0,0,0,2022,95.97566035870562,5.687816278330661,20.936174987578784,3.6089356947896003,25.26843678677568,12.128907027407731
2277,32,4,2,2,0,0,0,0,2022,132.425941228384,5.687816278330661,20.936174987578784,3.6089356947896003,25.26843678677568,12.128907027407731
2278,32,2,0,2,0,0,0,0,2022,188.2858515,5.716967279888315,20.955966442163618,13.54815417,25.270789511784965,12.104700889612705
