,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | All Cancer Deaths,Deaths | Injury Deaths,"Health Insurance | Uninsured, All Ages",Income Inequality | Income Inequality,Lead Poisoning | Housing Lead Risk,"Racial Segregation Indices | Racial Segregation, White and Non-White",Transportation | Longer Driving Commute Time
15,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,184.7959735,99.13700974,8.24671564034613,0.47862852308758097,14.315901353261188,44.97151931736563,28.961656754611532
16,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,153.5496807,65.60496562,13.889785798740753,0.4876,6.288232493,44.16342767,29.45801828937536
17,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,135.3534076,42.29106567,13.68327891157997,0.4760715589326611,15.649734892015465,44.16108753030892,28.961740417194132
18,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,181.3610221,90.78605863,13.68327891157997,0.4760715589326611,15.649734892015465,44.16108753030892,28.961740417194132
19,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2011,109.6965121,26.13600564,13.507485621013863,0.4760715589326611,15.649734892015465,44.16108753030892,28.961740417194132
20,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2011,93.73147479,19.18078167,13.636950774155233,0.4760714937549379,15.649825594481664,44.161060894908175,28.961656759844384
21,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2011,137.2376536,42.90453666,13.636950774155233,0.4760714937549379,15.649825594481664,44.161060894908175,28.961656759844384
22,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,222.5820501,72.70191448,15.20242024979142,0.4760715589326611,15.649734892015465,44.16108753030892,28.961740417194132
23,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,189.2204277,34.2084847,15.417610207523456,0.4760714937549379,15.649825594481664,44.161060894908175,28.961656759844384
24,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,287.608977,116.0018348,15.417610207523456,0.4760714937549379,15.649825594481664,44.161060894908175,28.961656759844384
25,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,132.7441737,49.60127567,30.53544259500314,0.4760715589326611,15.649734892015465,44.16108753030892,28.961740417194132
26,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,114.6343744,33.02443681,30.691918895390412,0.4760714937549379,15.649825594481664,44.161060894908175,28.961656759844384
27,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,161.6403498,65.57948855,30.691918895390412,0.4760714937549379,15.649825594481664,44.161060894908175,28.961656759844384
28,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2011,159.53160874285714,65.52990259571428,21.266122009743135,0.4760715589326611,15.649734892015465,44.16108753030892,28.961740417194132
29,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,154.7615585,75.88254205,8.238526258262883,0.4760715589326611,15.649734892015465,44.16108753030892,28.961740417194132
