,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Breast Cancer Deaths,Deaths | Injury Deaths,"Health Insurance | Uninsured, All Ages",Income Inequality | Household Income Inequality,Lead Poisoning | Child Lead Levels 5+ mcg/dL,Population | Population Density,"Respiratory Infection | COVID-19 Vaccination, Seniors",Transportation | Lack of Car
5269,3,4,2,1,0,1,1,1,2014,11.793167739479369,40.65339074,13.128322440910706,-0.1885721961311976,4.079794566219383,11606.816380246908,84.77451691877712,31.721580149961085
5270,3,2,0,1,0,1,1,1,2014,31.60863233,83.2419247,10.68890733,-0.18853877638292613,4.079306880759129,11606.979392261037,84.77522994545038,31.720142554610156
5271,3,2,1,1,0,1,1,1,2014,31.746645699368788,35.74625112,9.884162357202912,-0.1885721961311976,4.079794566219383,11606.816380246908,84.77451691877712,31.721580149961085
5272,3,2,2,1,0,1,1,1,2014,31.746645699368788,143.597848,9.884162357202912,-0.1885721961311976,4.079794566219383,11606.816380246908,84.77451691877712,31.721580149961085
5273,3,3,0,1,0,1,1,1,2014,13.56226547,75.84434183,17.41065151,-0.18853877638292613,4.079306880759129,11606.979392261037,84.77522994545038,31.720142554610156
5274,3,3,1,1,0,1,1,1,2014,13.822563041337775,32.87634692,16.619374081519297,-0.1885721961311976,4.079794566219383,11606.816380246908,84.77451691877712,31.721580149961085
5275,3,3,2,1,0,1,1,1,2014,13.822563041337775,118.8658455,16.619374081519297,-0.1885721961311976,4.079794566219383,11606.816380246908,84.77451691877712,31.721580149961085
5276,3,5,0,1,0,1,1,1,2014,25.974030039609456,88.15362299847367,13.55809317,-0.18853877638292613,4.079306880759129,11606.979392261037,84.77522994545038,31.720142554610156
5277,3,1,0,1,0,1,1,1,2014,23.34991402,87.5979448,7.142357751,-0.18853877638292613,4.079306880759129,11606.979392261037,84.77522994545038,31.720142554610156
5278,3,1,1,1,0,1,1,1,2014,23.723726559787252,54.28490877,6.571238408727712,-0.1885721961311976,4.079794566219383,11606.816380246908,84.77451691877712,31.721580149961085
5279,3,1,2,1,0,1,1,1,2014,23.723726559787252,123.2497282,6.571238408727712,-0.1885721961311976,4.079794566219383,11606.816380246908,84.77451691877712,31.721580149961085
5280,3,0,0,1,0,1,1,1,2015,24.97177777,86.97460724,10.59547777,-0.169812948,3.665341691,11698.31865,84.78316571263852,30.9146259
5281,3,0,1,1,0,1,1,1,2015,25.298640291198346,44.74160353,10.0220369464122,-0.15154599019380133,3.682922819794035,11675.535851028348,84.7795000916082,30.923919213688087
5282,3,0,2,1,0,1,1,1,2015,25.298640291198346,135.7652276,10.0220369464122,-0.15154599019380133,3.682922819794035,11675.535851028348,84.7795000916082,30.923919213688087
5283,3,4,0,1,0,1,1,1,2015,9.759297383,27.81101545,14.39002703,-0.15154599019380133,3.682922819794035,11675.535851028348,84.7795000916082,30.923919213688087
