,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Lung Cancer Deaths,Deaths | Motor Vehicle Deaths,Heat and Disasters | Climate-related  Disasters,Income | Households with Higher-Incomes,Life Expectancy at Birth | Life Expectancy,Race/Ethnicity | Minority Population,Respiratory Infection | New Tuberculosis Cases,Transportation | Public Transportation Use
476,8,5,0,1,1,0,1,1,2013,39.3417574905498,4.159409786296218,11.300000000000002,55.1002601787118,80.93941708143537,54.18427275017715,7.125217339396883,37.67967146
477,8,1,0,1,1,0,1,1,2013,49.63079549,3.716340576,11.300000000000002,55.1002601787118,80.10645731,54.18427275017715,7.125217339396883,28.67718004
478,8,1,1,1,1,0,1,1,2013,46.63273671,2.99547684,11.3,55.099392225696946,82.35812907,54.18390964436834,7.1268572703279025,32.354177068130404
479,8,1,2,1,1,0,1,1,2013,53.47835116,4.568064358,11.3,55.099392225696946,77.74931561,54.18390964436834,7.1268572703279025,32.354177068130404
480,8,0,0,1,1,0,1,1,2014,37.83837347,3.907202728,11.3,57.27522423,81.10963917,55.09416311,6.6,33.63852467
481,8,0,1,1,1,0,1,1,2014,30.2612737,2.950724117,11.300000000000002,55.829324631981756,83.94459192,54.48927490289178,6.685021635196193,33.46830945377946
482,8,0,2,1,1,0,1,1,2014,48.79500989,4.961434306,11.300000000000002,55.829324631981756,77.79333275,54.48927490289178,6.685021635196193,33.46830945377946
483,8,4,0,1,1,0,1,1,2014,35.10175834,3.65397212750841,11.300000000000002,55.829324631981756,87.65048667,54.48927490289178,6.685021635196193,31.67169338
484,8,4,1,1,1,0,1,1,2014,22.16925732,2.8527671743581786,11.3,55.82674415331862,89.48202389914742,54.488195366585,6.685362996383606,34.4756720924627
485,8,4,2,1,1,0,1,1,2014,51.99769062,4.547825513499229,11.3,55.82674415331862,85.19936803449112,54.488195366585,6.685362996383606,34.4756720924627
486,8,2,0,1,1,0,1,1,2014,33.54603966,5.779800795,11.300000000000002,55.829324631981756,80.50160247,54.48927490289178,6.685021635196193,37.99168904
