,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Active Transportation | Walking to Work,Cardiovascular Disease | Heart Disease Deaths,Deaths | Racial Disparity in Police Killings,Heat and Disasters | Longer Summers,Income-related | Service Workers,Mental Health | Suicide,"Racial Segregation Indices | Racial Segregation, White and Black",Sexually Transmitted Disease | New Gonorrhea Cases
1909,21,4,2,0,0,0,0,1,2012,15.099345266175876,171.43558023825307,1.470061013766411,35.0050262312945,41.71561287809774,12.8254480563507,65.060428427889,321.00012341898025
1910,21,2,0,0,0,0,0,1,2012,3.1053758029655176,324.6911454,1.4700596358898228,35.00503545829783,51.49726651,8.186635053,65.06044575308533,321.0002468187822
1911,21,2,1,0,0,0,0,1,2012,2.9734041200622823,191.8251892,1.470061013766411,35.0050262312945,53.68027099044232,3.377516157,65.060428427889,321.00012341898025
1912,21,2,2,0,0,0,0,1,2012,2.9734041200622823,421.3200061,1.470061013766411,35.0050262312945,53.68027099044232,13.77406565,65.060428427889,321.00012341898025
1913,21,3,0,0,0,0,0,1,2012,3.408932586896552,184.0169129,1.4700596358898228,35.00503545829783,73.3664818,4.449643344,65.06044575308533,321.0002468187822
1914,21,3,1,0,0,0,0,1,2012,3.512375969798279,99.04124987,1.470061013766411,35.0050262312945,68.3393747727163,2.540481839875117,65.060428427889,321.00012341898025
1915,21,3,2,0,0,0,0,1,2012,3.512375969798279,174.27781585,1.470061013766411,35.0050262312945,68.3393747727163,7.122624193,65.060428427889,321.00012341898025
1916,21,5,0,0,0,0,0,1,2012,5.924625054068965,271.305822082688,1.4700596358898228,35.00503545829783,68.53252648,9.963182476875714,65.06044575308533,321.0002468187822
1917,21,1,0,0,0,0,0,1,2012,6.796621343206897,283.0453411,1.4700596358898228,35.00503545829783,44.12581411,26.08012757,65.06044575308533,321.0002468187822
1918,21,1,1,0,0,0,0,1,2012,6.7138399342436506,159.7391275,1.470061013766411,35.0050262312945,41.810314112197084,5.56049814,65.060428427889,321.00012341898025
1919,21,1,2,0,0,0,0,1,2012,6.7138399342436506,295.1557774,1.470061013766411,35.0050262312945,41.810314112197084,45.87747987,65.060428427889,321.00012341898025
1920,21,0,0,0,0,0,0,1,2013,3.680126683,298.984376,0.901590496,25.2172619,53.44579568,9.027598504,60.00840045,283.9
1921,21,0,1,0,0,0,0,1,2013,4.312038901722701,237.9294629,1.4700596358898232,35.00503545829783,50.95481501867667,3.18400981,65.03123669221617,291.8144462117901
1922,21,0,2,0,0,0,0,1,2013,4.312038901722701,378.3885145,1.4700596358898232,35.00503545829783,50.95481501867667,15.65740682,65.03123669221617,291.8144462117901
1923,21,4,0,0,0,0,0,1,2013,20.15877516,110.58133376548037,1.4700596358898232,35.00503545829783,35.93878109,9.904449441389447,65.03123669221617,291.8144462117901
1924,21,4,1,0,0,0,0,1,2013,14.507937829710615,113.60385348726705,1.470061013766411,35.0050262312945,40.75822380316108,6.331396980202961,65.03121990098433,291.8143659692734
1925,21,4,2,0,0,0,0,1,2013,14.507937829710615,178.3959671171945,1.470061013766411,35.0050262312945,40.75822380316108,13.114693850163377,65.03121990098433,291.8143659692734
1926,21,2,0,0,0,0,0,1,2013,2.536558523,317.4254139,1.4700596358898232,35.00503545829783,54.25901186,7.784940583,65.03123669221617,291.8144462117901
1927,21,2,1,0,0,0,0,1,2013,2.9726658547696765,185.8764517,1.470061013766411,35.0050262312945,54.52324349894776,3.038325938,65.03121990098433,291.8143659692734
1928,21,2,2,0,0,0,0,1,2013,2.9726658547696765,407.1244116,1.470061013766411,35.0050262312945,54.52324349894776,13.38651932,65.03121990098433,291.8143659692734
1929,21,3,0,0,0,0,0,1,2013,3.960455006,206.8198578,1.4700596358898232,35.00503545829783,74.36675616,6.530624576,65.03123669221617,291.8144462117901
1930,21,3,1,0,0,0,0,1,2013,3.377113925908934,127.323873,1.470061013766411,35.0050262312945,67.59226135924196,2.9771722738847575,65.03121990098433,291.8143659692734
1931,21,3,2,0,0,0,0,1,2013,3.377113925908934,205.5466955,1.470061013766411,35.0050262312945,67.59226135924196,7.482034347,65.03121990098433,291.8143659692734
1932,21,5,0,0,0,0,0,1,2013,5.071315372,267.64162782967816,1.4700596358898232,35.00503545829783,52.17391304,10.227514088522945,65.03123669221617,291.8144462117901
1933,21,1,0,0,0,0,0,1,2013,8.375813953,273.7094344,1.4700596358898232,35.00503545829783,38.10822605,23.64503142,65.03123669221617,291.8144462117901
1934,21,1,1,0,0,0,0,1,2013,7.089633806403627,147.8403239,1.470061013766411,35.0050262312945,40.28674562381649,5.381413818,65.03121990098433,291.8143659692734
1935,21,1,2,0,0,0,0,1,2013,7.089633806403627,275.4447142,1.470061013766411,35.0050262312945,40.28674562381649,39.63648298,65.03121990098433,291.8143659692734
1936,21,0,0,0,0,0,0,1,2014,3.680126683,290.1012377,0.901590496,25.2172619,53.44579568,7.981576014,60.00840045,234.0
1937,21,0,1,0,0,0,0,1,2014,4.42516372712458,234.3664978,1.4700596358898228,35.00503545829783,50.911101668946536,2.535183683,64.88681814718932,257.37119716249623
1938,21,0,2,0,0,0,0,1,2014,4.42516372712458,363.7143364,1.4700596358898228,35.00503545829783,50.911101668946536,14.30413777,64.88681814718932,257.37119716249623
1939,21,4,0,0,0,0,0,1,2014,20.15877516,80.61453306320857,1.4700596358898228,35.00503545829783,35.93878109,10.283656756973194,64.88681814718932,257.37119716249623
1940,21,4,1,0,0,0,0,1,2014,16.432018423899798,97.78394072132346,1.470061013766411,35.0050262312945,40.23762503918549,6.402112208339399,64.88679937576764,257.37131285797193
1941,21,4,2,0,0,0,0,1,2014,16.432018423899798,153.85472873150727,1.470061013766411,35.0050262312945,40.23762503918549,13.625649180525432,64.88679937576764,257.37131285797193
1942,21,2,0,0,0,0,0,1,2014,2.536558523,305.9956138,1.4700596358898228,35.00503545829783,54.25901186,7.495181337,64.88681814718932,257.37119716249623
1943,21,2,1,0,0,0,0,1,2014,3.149154377175949,192.82484184999998,1.470061013766411,35.0050262312945,54.88340512863587,2.458646178,64.88679937576764,257.37131285797193
1944,21,2,2,0,0,0,0,1,2014,3.149154377175949,390.0545131,1.470061013766411,35.0050262312945,54.88340512863587,13.61755808,64.88679937576764,257.37131285797193
1945,21,3,0,0,0,0,0,1,2014,3.960455006,199.6982361,1.4700596358898228,35.00503545829783,74.36675616,6.822551326,64.88681814718932,257.37119716249623
1946,21,3,1,0,0,0,0,1,2014,3.4643507156075706,103.19097184,1.470061013766411,35.0050262312945,67.14378414161426,3.5509388361382594,64.88679937576764,257.37131285797193
1947,21,3,2,0,0,0,0,1,2014,3.4643507156075706,236.534018,1.470061013766411,35.0050262312945,67.14378414161426,6.502522453,64.88679937576764,257.37131285797193
1948,21,5,0,0,0,0,0,1,2014,5.071315372,264.51346642170375,1.4700596358898228,35.00503545829783,52.17391304,10.154440154835509,64.88681814718932,257.37119716249623
1949,21,1,0,0,0,0,0,1,2014,8.375813953,273.5454886,1.4700596358898228,35.00503545829783,38.10822605,15.43392506,64.88681814718932,257.37119716249623
1950,21,1,1,0,0,0,0,1,2014,6.976689834203191,137.9335214,1.470061013766411,35.0050262312945,39.0195926398504,4.8013162175,64.88679937576764,257.37131285797193
1951,21,1,2,0,0,0,0,1,2014,6.976689834203191,262.2045133,1.470061013766411,35.0050262312945,39.0195926398504,25.37296686,64.88679937576764,257.37131285797193
1952,21,0,0,0,0,0,0,1,2015,3.680126683,293.8017578,0.901590496,25.2172619,53.44579568,7.777054674,60.00840045,239.3
1953,21,0,1,0,0,0,0,1,2015,4.425163727124579,237.420434,1.4700596358898232,35.00503545829783,50.911101668946536,3.013859291,64.88681814718932,274.9431393520573
1954,21,0,2,0,0,0,0,1,2015,4.425163727124579,365.6334614,1.4700596358898232,35.00503545829783,50.911101668946536,13.28070509,64.88681814718932,274.9431393520573
1955,21,4,0,0,0,0,0,1,2015,20.15877516,71.90532042716909,1.4700596358898232,35.00503545829783,35.93878109,11.916621349695319,64.88681814718932,274.9431393520573
1956,21,4,1,0,0,0,0,1,2015,16.432018423899798,90.68711203251694,1.470061013766411,35.0050262312945,40.23762503918549,6.202650567514092,64.88679937576764,274.94299825842137
1957,21,4,2,0,0,0,0,1,2015,16.432018423899798,135.60019472205084,1.470061013766411,35.0050262312945,40.23762503918549,15.601838103649536,64.88679937576764,274.94299825842137
1958,21,2,0,0,0,0,0,1,2015,2.536558523,310.9876853,1.4700596358898232,35.00503545829783,54.25901186,8.150400752,64.88681814718932,274.9431393520573
1959,21,2,1,0,0,0,0,1,2015,3.149154377175949,193.1064289,1.470061013766411,35.0050262312945,54.883405128635864,3.461222108,64.88679937576764,274.94299825842137
1960,21,2,2,0,0,0,0,1,2015,3.149154377175949,392.1798081,1.470061013766411,35.0050262312945,54.883405128635864,13.88491584,64.88679937576764,274.94299825842137
1961,21,3,0,0,0,0,0,1,2015,3.960455006,202.0697434,1.4700596358898232,35.00503545829783,74.36675616,4.954144581,64.88681814718932,274.9431393520573
1962,21,3,1,0,0,0,0,1,2015,3.4643507156075706,100.91238959500001,1.470061013766411,35.0050262312945,67.14378414161426,3.399385459926847,64.88679937576764,274.94299825842137
1963,21,3,2,0,0,0,0,1,2015,3.4643507156075706,213.1069853,1.470061013766411,35.0050262312945,67.14378414161426,6.351792107,64.88679937576764,274.94299825842137
1964,21,5,0,0,0,0,0,1,2015,5.071315372,263.77185184072937,1.4700596358898232,35.00503545829783,52.17391304,10.380983850300408,64.88681814718932,274.9431393520573
1965,21,1,0,0,0,0,0,1,2015,8.375813953,272.7066162,1.4700596358898232,35.00503545829783,38.10822605,10.02683612,64.88681814718932,274.9431393520573
1966,21,1,1,0,0,0,0,1,2015,6.976689834203191,141.4789051,1.470061013766411,35.0050262312945,39.019592639850394,5.238643744,64.88679937576764,274.94299825842137
1967,21,1,2,0,0,0,0,1,2015,6.976689834203191,268.6721166,1.470061013766411,35.0050262312945,39.019592639850394,16.25558857,64.88679937576764,274.94299825842137
1968,21,0,0,0,0,0,0,1,2016,3.680126683,299.7891907,0.901590496,25.2172619,53.44579568,7.813125548,60.00840045,281.7
1969,21,0,1,0,0,0,0,1,2016,4.425163727124579,239.6465207,1.4700596358898232,35.00503545829783,50.911101668946536,2.859003786,64.88681814718932,325.80048358198434
1970,21,0,2,0,0,0,0,1,2016,4.425163727124579,377.2908725,1.4700596358898232,35.00503545829783,50.911101668946536,13.45804636,64.88681814718932,325.80048358198434
1971,21,4,0,0,0,0,0,1,2016,20.15877516,92.25926336,1.4700596358898232,35.00503545829783,35.93878109,13.506164502836683,64.88681814718932,325.80048358198434
1972,21,4,1,0,0,0,0,1,2016,16.432018423899798,96.5392135020866,1.470061013766411,35.0050262312945,40.23762503918549,6.111365139194253,64.88679937576764,325.8002418097799
1973,21,4,2,0,0,0,0,1,2016,16.432018423899798,140.50101570799396,1.470061013766411,35.0050262312945,40.23762503918549,20.11572748132343,64.88679937576764,325.8002418097799
1974,21,2,0,0,0,0,0,1,2016,2.536558523,320.9100963,1.4700596358898232,35.00503545829783,54.25901186,8.35855723,64.88681814718932,325.80048358198434
1975,21,2,1,0,0,0,0,1,2016,3.149154377175949,195.1664481,1.470061013766411,35.0050262312945,54.883405128635864,3.340362959,64.88679937576764,325.8002418097799
1976,21,2,2,0,0,0,0,1,2016,3.149154377175949,407.9502801,1.470061013766411,35.0050262312945,54.883405128635864,14.34515026,64.88679937576764,325.8002418097799
1977,21,3,0,0,0,0,0,1,2016,3.960455006,178.0456664,1.4700596358898232,35.00503545829783,74.36675616,5.711579755000001,64.88681814718932,325.80048358198434
1978,21,3,1,0,0,0,0,1,2016,3.4643507156075706,89.8840433,1.470061013766411,35.0050262312945,67.14378414161426,3.402720748841099,64.88679937576764,325.8002418097799
1979,21,3,2,0,0,0,0,1,2016,3.4643507156075706,200.6351493,1.470061013766411,35.0050262312945,67.14378414161426,8.533839693346154,64.88679937576764,325.8002418097799
1980,21,5,0,0,0,0,0,1,2016,5.071315372,264.4347183463989,1.4700596358898232,35.00503545829783,52.17391304,10.7992436153309,64.88681814718932,325.80048358198434
1981,21,1,0,0,0,0,0,1,2016,8.375813953,258.2028643,1.4700596358898232,35.00503545829783,38.10822605,9.551083436,64.88681814718932,325.80048358198434
1982,21,1,1,0,0,0,0,1,2016,6.976689834203191,143.1354903,1.470061013766411,35.0050262312945,39.019592639850394,7.250732150999999,64.88679937576764,325.8002418097799
1983,21,1,2,0,0,0,0,1,2016,6.976689834203191,283.6860222,1.470061013766411,35.0050262312945,39.019592639850394,16.14724396,64.88679937576764,325.8002418097799
1984,21,0,0,0,0,0,0,1,2017,3.680126683,301.6750556,0.901590496,25.2172619,53.44579568,8.404562006,60.00840045,362.1
1985,21,0,1,0,0,0,0,1,2017,4.39345759495291,235.7718257,1.4700596358898228,35.00503545829783,50.51377158146281,3.276135479,64.70232761399635,366.87292763640255
1986,21,0,2,0,0,0,0,1,2017,4.39345759495291,384.9814425,1.4700596358898228,35.00503545829783,50.51377158146281,14.28280371,64.70232761399635,366.87292763640255
1987,21,4,0,0,0,0,0,1,2017,20.15877516,48.11229649,1.4700596358898228,35.00503545829783,35.93878109,14.745359597899851,64.70232761399635,366.87292763640255
1988,21,4,1,0,0,0,0,1,2017,15.038166021815867,84.51905255017462,1.470061013766411,35.0050262312945,38.86798225600842,5.93959853483054,64.70230631293916,366.87217816215576
1989,21,4,2,0,0,0,0,1,2017,15.038166021815867,137.78011601328546,1.470061013766411,35.0050262312945,38.86798225600842,18.520081954289978,64.70230631293916,366.87217816215576
1990,21,2,0,0,0,0,0,1,2017,2.536558523,325.7140857,1.4700596358898228,35.00503545829783,54.25901186,8.848230578,64.70232761399635,366.87292763640255
1991,21,2,1,0,0,0,0,1,2017,2.9814949733882234,203.6676397,1.470061013766411,35.0050262312945,55.10651486983755,3.73425015,64.70230631293916,366.87217816215576
1992,21,2,2,0,0,0,0,1,2017,2.9814949733882234,416.9455643,1.470061013766411,35.0050262312945,55.10651486983755,14.92402886,64.70230631293916,366.87217816215576
1993,21,3,0,0,0,0,0,1,2017,3.960455006,155.5593549,1.4700596358898228,35.00503545829783,74.36675616,6.932787846,64.70232761399635,366.87292763640255
1994,21,3,1,0,0,0,0,1,2017,3.419631553033343,132.8523807,1.470061013766411,35.0050262312945,66.09064130269255,3.9890227905258175,64.70230631293916,366.87217816215576
1995,21,3,2,0,0,0,0,1,2017,3.419631553033343,188.9209318,1.470061013766411,35.0050262312945,66.09064130269255,6.174859814,64.70230631293916,366.87217816215576
1996,21,5,0,0,0,0,0,1,2017,5.071315372,262.75627371823214,1.4700596358898228,35.00503545829783,52.17391304,11.347536860241192,64.70232761399635,366.87292763640255
1997,21,1,0,0,0,0,0,1,2017,8.375813953,261.4825099,1.4700596358898228,35.00503545829783,38.10822605,9.733391879,64.70232761399635,366.87292763640255
1998,21,1,1,0,0,0,0,1,2017,7.104735444401633,182.4033448,1.470061013766411,35.0050262312945,37.88081241668205,9.072988321,64.70230631293916,366.87217816215576
1999,21,1,2,0,0,0,0,1,2017,7.104735444401633,274.2476516,1.470061013766411,35.0050262312945,37.88081241668205,15.46217114,64.70230631293916,366.87217816215576
2000,21,0,0,0,0,0,0,1,2018,3.296752181,289.699589,0.901590496,25.2172619,53.45813003,8.64221097,59.31890306,358.5
2001,21,0,1,0,0,0,0,1,2018,4.252990066269382,226.8823381,1.4700596358898232,35.00503545829783,50.29124200622909,2.711493509,64.5792351589078,401.95709558285756
2002,21,0,2,0,0,0,0,1,2018,4.252990066269382,371.6597055,1.4700596358898232,35.00503545829783,50.29124200622909,15.43781079,64.5792351589078,401.95709558285756
2003,21,4,0,0,0,0,0,1,2018,11.71977302,47.71016897,1.4700596358898232,35.00503545829783,40.65815111,15.103026556352008,64.5792351589078,401.95709558285756
2004,21,4,1,0,0,0,0,1,2018,13.244399800386411,90.73808275217694,1.470061013766411,35.0050262312945,37.73564810145126,5.747203287726294,64.57921610807718,401.95711921816354
2005,21,4,2,0,0,0,0,1,2018,13.244399800386411,131.80990907910132,1.470061013766411,35.0050262312945,37.73564810145126,20.43047938881105,64.57921610807718,401.95711921816354
2006,21,2,0,0,0,0,0,1,2018,2.150282573,312.0746239,1.4700596358898232,35.00503545829783,55.50574423,8.570424192,64.5792351589078,401.95709558285756
2007,21,2,1,0,0,0,0,1,2018,2.711931509816767,211.39968414999998,1.470061013766411,35.0050262312945,55.695633276317906,2.722562277,64.57921610807718,401.95711921816354
2008,21,2,2,0,0,0,0,1,2018,2.711931509816767,401.0422432,1.470061013766411,35.0050262312945,55.695633276317906,15.46983698,64.57921610807718,401.95711921816354
2009,21,3,0,0,0,0,0,1,2018,3.277739171,120.6872772,1.4700596358898232,35.00503545829783,67.49017406,6.543247923,64.5792351589078,401.95709558285756
2010,21,3,1,0,0,0,0,1,2018,3.3114442695150283,88.98546155,1.470061013766411,35.0050262312945,64.67498409002393,4.390769968998258,64.57921610807718,401.95711921816354
2011,21,3,2,0,0,0,0,1,2018,3.3114442695150283,159.6357854,1.470061013766411,35.0050262312945,64.67498409002393,12.46255351,64.57921610807718,401.95711921816354
