,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Birth Control | Teen Birth Control,Crime Incidents | Homicides,Diabetes and Obesity | Diabetes Deaths,"Housing | Homeless, Children",Income-related | Unemployment,Oral Health | Dental Care,"Racial Segregation Indices | Racial Segregation, White and Hispanic",Sexually Transmitted Disease | Syphilis Prevalence
1056,23,0,0,0,0,0,0,1,2011,19.7,19.31672209,35.35957821,17.76979484180492,19.50382602,48.8,39.00273014,4.1
1057,23,0,1,0,0,0,0,1,2011,20.7,6.553795575,30.89065772,17.674364510710216,22.017045257560444,49.48576129881566,52.422269379315544,5.614274352786216
1058,23,0,2,0,0,0,0,1,2011,18.1,32.99727344,41.12679349,17.674364510710216,22.017045257560444,49.48576129881566,52.422269379315544,5.614274352786216
1059,23,4,0,0,0,0,0,1,2011,18.94389457908602,4.679997214135978,34.12131475977745,17.674364510710216,5.580923389,49.48576129881566,52.422269379315544,5.614274352786216
1060,23,4,1,0,0,0,0,1,2011,22.474076312014617,2.542692631539296,19.4175684764808,17.653700606932198,11.587343893600547,49.48573779409148,52.42224369808199,5.614280033094559
1061,23,4,2,0,0,0,0,1,2011,17.844350031522563,7.36712976566777,30.347422503714444,17.653700606932198,11.587343893600547,49.48573779409148,52.42224369808199,5.614280033094559
1062,23,2,0,0,0,0,0,1,2011,19.6,32.2057207,40.80579531,17.674364510710216,25.67794147,49.48576129881566,52.422269379315544,5.614274352786216
1063,23,2,1,0,0,0,0,1,2011,19.09192574164131,10.27312459,34.91429547,17.653700606932198,26.30861346900256,49.48573779409148,52.42224369808199,5.614280033094559
1064,23,2,2,0,0,0,0,1,2011,16.91546647781491,58.38824728,48.94908719,17.653700606932198,26.30861346900256,49.48573779409148,52.42224369808199,5.614280033094559
1065,23,3,0,0,0,0,0,1,2011,23.588216605952496,16.380959455000003,39.02645742,17.674364510710216,18.97989799,49.48576129881566,52.422269379315544,5.614274352786216
1066,23,3,1,0,0,0,0,1,2011,22.35128186796674,2.7531621193321936,33.41737413,17.653700606932198,19.225754045868733,49.48573779409148,52.42224369808199,5.614280033094559
1067,23,3,2,0,0,0,0,1,2011,18.932031104920725,27.467909964999997,51.40257653,17.653700606932198,19.225754045868733,49.48573779409148,52.42224369808199,5.614280033094559
1068,23,5,0,0,0,0,0,1,2011,18.94389457908602,29.27198448581392,30.847871474956793,17.674364510710216,22.17687075,49.48576129881566,52.422269379315544,5.614274352786216
1069,23,1,0,0,0,0,0,1,2011,10.717658189210669,6.100904604,31.41440695,17.674364510710216,12.69258692,49.48576129881566,52.422269379315544,5.614274352786216
1070,23,1,1,0,0,0,0,1,2011,22.474076312014617,14.5571236,17.227208070000003,17.653700606932198,14.88957873607956,49.48573779409148,52.42224369808199,5.614280033094559
1071,23,1,2,0,0,0,0,1,2011,17.844350031522563,9.209846266,35.39774037,17.653700606932198,14.88957873607956,49.48573779409148,52.42224369808199,5.614280033094559
1072,23,0,0,0,0,0,0,1,2012,19.7,21.67973394,35.05326023,18.665715396953726,19.50382602,48.8,39.00273014,3.4
1073,23,0,1,0,0,0,0,1,2012,20.498762506256032,7.970506919,29.76649248,18.57519222685583,20.428675694407282,49.485761298815646,52.57238392812913,6.742826714933201
1074,23,0,2,0,0,0,0,1,2012,15.88921940953775,36.2812044,42.25382398,18.57519222685583,20.428675694407282,49.485761298815646,52.57238392812913,6.742826714933201
