,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Preterm Births,Deaths | Deaths from All Causes,Education | College Graduates,Housing | Owner Occupied Housing,Language and Nativity | Primarily Speak Chinese,Physical Activity | Teen Physical Education,Respiratory Disease | Teen Asthma,Substance Use | Adult Smoking
4642,0,0,2,1,1,1,1,1,2014,9.695180332629652,717.2364561,35.93663911937852,32.54579410474513,5.299520088484975,24.259996952799714,26.499954293110967,16.672172215458176
4643,0,4,0,1,1,1,1,1,2014,8.35305078600037,388.2143398,41.16104326,41.48198632,5.299520088484975,21.962049001486136,17.29993715302758,16.672172215458176
4644,0,4,1,1,1,1,1,1,2014,8.39836856217546,306.7054855,41.09159495245375,40.947252662495146,5.283707543929757,14.54175960158191,19.36304078516425,16.671807723920377
4645,0,4,2,1,1,1,1,1,2014,8.39836856217546,492.9795789,41.09159495245375,40.947252662495146,5.283707543929757,16.39799040799981,20.976566457179167,16.671807723920377
4646,0,2,0,1,1,1,1,1,2014,12.248124932418227,712.6412487,23.62160725,26.88898689,5.299520088484975,23.43795195055483,28.82916099297391,16.672172215458176
4647,0,2,1,1,1,1,1,1,2014,12.369084492016846,812.1937209917895,22.87309312856395,26.883103094824538,5.283707543929757,16.088933784537183,24.484440495104632,16.671807723920377
4648,0,2,2,1,1,1,1,1,2014,12.369084492016846,881.9865814,22.87309312856395,26.883103094824538,5.283707543929757,17.945164590955084,27.018633156074678,16.671807723920377
4649,0,3,0,1,1,1,1,1,2014,9.64430482108017,511.8122643,17.36563508,16.42535861,5.299520088484975,25.640226820325307,28.41954159802923,16.672172215458176
4650,0,3,1,1,1,1,1,1,2014,9.79497395998672,413.938347,16.763058216226796,16.345096067567617,5.283707543929757,16.295318139611883,25.873161467805993,16.671807723920377
4651,0,3,2,1,1,1,1,1,2014,9.79497395998672,652.7574806,16.763058216226796,16.345096067567617,5.283707543929757,18.151548946029784,27.48668713982091,16.671807723920377
4652,0,5,0,1,1,1,1,1,2014,9.695180332629652,585.7365179512808,16.88311688,26.91370063,5.299520088484975,16.696982247101868,24.1604746847327,16.672172215458176
4653,0,1,0,1,1,1,1,1,2014,7.40901555674124,615.462194,57.38023731,42.88091362,5.299520088484975,22.588917984606187,17.63162440366166,16.672172215458176
4654,0,1,1,1,1,1,1,1,2014,7.54076369926732,521.7484729,55.89210127246724,42.75683634506697,5.283707543929757,14.90075696186551,19.8188459679105,16.671807723920377
4655,0,1,2,1,1,1,1,1,2014,7.54076369926732,732.3497674,55.89210127246724,42.75683634506697,5.283707543929757,16.756987768283413,22.05559237091043,16.671807723920377
4656,0,0,0,1,1,1,1,1,2015,9.243805050109447,579.568879,36.71353586,32.62889411,6.178758391,16.0,24.2,16.4
4657,0,0,1,1,1,1,1,1,2015,9.4931631677392,485.7156451,36.82244585979878,32.63061564298389,5.897494890517664,14.5,22.8,16.40143074353561
4658,0,0,2,1,1,1,1,1,2015,9.4931631677392,707.3379439,36.82244585979878,32.63061564298389,5.897494890517664,17.4,25.7,16.40143074353561
