,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Colorectal Cancer Deaths,Deaths | Maternal Deaths,"Health Insurance | Uninsured, Child",Income Inequality | Income Inequality,Lead Poisoning | Housing Lead Risk,Population | Single-Parent Families,"Respiratory Infection | Flu Vaccinations, Medicare",Transportation | Longer Driving Commute Time
6753,12,0,1,3,1,0,0,0,2016,9.6115891,11.5659487687066,5.636697700806811,0.4804286841263321,23.1597028004846,10.35344856157932,44.57150692444874,38.682726016950156
6754,12,0,2,3,1,0,0,0,2016,11.37178335,11.5659487687066,5.636697700806811,0.4804286841263321,23.1597028004846,10.35344856157932,44.57150692444874,38.682726016950156
6755,12,4,0,3,1,0,0,0,2016,7.774571193,11.5659487687066,2.721579961,0.4804286841263321,23.1597028004846,11.63549161,48.0,38.682726016950156
6756,12,4,1,3,1,0,0,0,2016,6.050075236,11.56594409050255,3.915705360575482,0.4804286277826028,23.1596047421356,14.086317707810814,45.14283102518375,36.74696943695205
6757,12,4,2,3,1,0,0,0,2016,10.16721873,11.56594409050255,3.915705360575482,0.4804286277826028,23.1596047421356,14.086317707810814,45.14283102518375,36.74696943695205
6758,12,2,0,3,1,0,0,0,2016,23.20572468,50.24312627285715,2.377754957,0.4804286841263321,23.1597028004846,24.86821705,34.0,38.682726016950156
6759,12,2,1,3,1,0,0,0,2016,22.34729019,50.19249462428571,3.676989366309729,0.4804286277826028,23.1596047421356,30.44912064368328,29.285735179853,36.74696943695205
6760,12,2,2,3,1,0,0,0,2016,22.46172941,50.19249462428571,3.676989366309729,0.4804286277826028,23.1596047421356,30.44912064368328,29.285735179853,36.74696943695205
6761,12,3,0,3,1,0,0,0,2016,12.6847066425,19.25719623054286,4.539086579,0.4804286841263321,23.1597028004846,16.84769343,36.0,38.682726016950156
6762,12,3,1,3,1,0,0,0,2016,11.483217157,19.25714247024342,7.607337707816475,0.4804286277826028,23.1596047421356,27.121745884092746,30.714374514375244,36.74696943695205
6763,12,3,2,3,1,0,0,0,2016,16.95013646,19.25714247024342,7.607337707816475,0.4804286277826028,23.1596047421356,27.121745884092746,30.714374514375244,36.74696943695205
6764,12,5,0,3,1,0,0,0,2016,14.001592021448504,11.5659487687066,17.81914894,0.4804286841263321,23.1597028004846,22.94077604,45.57145207733463,38.682726016950156
6765,12,1,0,3,1,0,0,0,2016,10.55549289,29.963133890761192,1.24014088,0.4804286841263321,23.1597028004846,6.744344888,53.0,38.682726016950156
6766,12,1,1,3,1,0,0,0,2016,9.480555101,29.963140450676278,2.7324060634203566,0.4804286277826028,23.1596047421356,10.155645589314268,46.85724210430174,36.74696943695205
6767,12,1,2,3,1,0,0,0,2016,11.34498136,29.963140450676278,2.7324060634203566,0.4804286277826028,23.1596047421356,10.155645589314268,46.85724210430174,36.74696943695205
6768,12,0,0,3,1,0,0,0,2017,10.1007106,11.907137985666665,2.112420751,0.485,35.86704866,5.400984596,55.0,38.83524288
6769,12,0,1,3,1,0,0,0,2017,8.690285422,11.90865346000945,5.413764444866063,0.4804286841263321,23.1597028004846,9.184766449079202,48.571397230220505,38.682726016950156
6770,12,0,2,3,1,0,0,0,2017,11.17888626,11.90865346000945,5.413764444866063,0.4804286841263321,23.1597028004846,9.184766449079202,48.571397230220505,38.682726016950156
6771,12,4,0,3,1,0,0,0,2017,8.131836312,11.90865346000945,2.721579961,0.4804286841263321,23.1597028004846,11.63549161,51.0,38.682726016950156
6772,12,4,1,3,1,0,0,0,2017,10.7823741415,11.908653480788825,3.8590428685201115,0.4804286277826028,23.1596047421356,14.086317707810814,45.142940719411996,36.74696943695205
6773,12,4,2,3,1,0,0,0,2017,13.12666654,11.908653480788825,3.8590428685201115,0.4804286277826028,23.1596047421356,14.086317707810814,45.142940719411996,36.74696943695205
6774,12,2,0,3,1,0,0,0,2017,17.2311293,50.192494624285715,2.377754957,0.4804286841263321,23.1597028004846,24.86821705,36.0,38.682726016950156
6775,12,2,1,3,1,0,0,0,2017,19.73384868,50.19249462428573,3.676989366309729,0.4804286277826028,23.1596047421356,30.44912064368328,29.285771744595746,36.74696943695205
6776,12,2,2,3,1,0,0,0,2017,29.7547226425,50.19249462428573,3.676989366309729,0.4804286277826028,23.1596047421356,30.44912064368328,29.285771744595746,36.74696943695205
6777,12,3,0,3,1,0,0,0,2017,12.438989124999999,19.25719623054286,4.539086579,0.4804286841263321,23.1597028004846,16.84769343,39.0,38.682726016950156
6778,12,3,1,3,1,0,0,0,2017,10.126627670333333,19.25714247024342,7.592938088637352,0.4804286277826028,23.1596047421356,27.12174588409274,32.42864847570793,36.74696943695205
6779,12,3,2,3,1,0,0,0,2017,16.494312216666668,19.25714247024342,7.592938088637352,0.4804286277826028,23.1596047421356,27.12174588409274,32.42864847570793,36.74696943695205
6780,12,5,0,3,1,0,0,0,2017,13.307358317982247,11.90865346000945,17.81914894,0.4804286841263321,23.1597028004846,22.94077604,47.4286027697795,38.682726016950156
6781,12,1,0,3,1,0,0,0,2017,10.30873643,31.445932412740603,1.24014088,0.4804286841263321,23.1597028004846,6.744344888,57.0,38.682726016950156
6782,12,1,1,3,1,0,0,0,2017,8.930720664,31.446125843953165,2.780102393842219,0.4804286277826028,23.1596047421356,10.312372392829898,51.57141551259188,36.74696943695205
6783,12,1,2,3,1,0,0,0,2017,11.13655846,31.446125843953165,2.780102393842219,0.4804286277826028,23.1596047421356,10.312372392829898,51.57141551259188,36.74696943695205
6784,12,0,0,3,1,0,0,0,2018,10.71051156,11.907137985666665,1.835839486,0.4884,30.90812918,4.722719452,57.0,38.7152474
6785,12,0,1,3,1,0,0,0,2018,9.507572677,11.90865346000945,4.597876571465974,0.4841571278394806,20.93486257211003,9.068701797961918,50.14285844874081,39.039301212154705
6786,12,0,2,3,1,0,0,0,2018,11.60570927,11.90865346000945,4.597876571465974,0.4841571278394806,20.93486257211003,9.068701797961918,50.14285844874081,39.039301212154705
