,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Active Transportation | Riding Bike to Work,Cardiovascular Disease | Cardiovascular Disease Deaths,Deaths | Premature Death,Heat and Disasters | Community Social Vulnerability to Climate Disasters,Income | Per-capita Household Income,Mental Health | Adult Mental Distress,"Racial Segregation Indices | Racial Segregation, White and Asian",Sexually Transmitted Disease | New Chlamydia Cases
646,14,2,0,2,1,0,0,0,2011,0.3868553605639853,235.31695,8122.470458,34.46249170943715,19779.0,12.014291460226385,43.861573371062235,595.4860842459398
647,14,2,1,2,1,0,0,0,2011,0.386853348813858,271.1956046,6125.251885,34.462532208344065,18633.407627474833,12.014288587505547,43.861561325862965,595.4858992818914
648,14,2,2,2,1,0,0,0,2011,0.386853348813858,298.4931792,10665.55335,34.462532208344065,18633.407627474833,12.014288587505547,43.861561325862965,595.4858992818914
649,14,3,0,2,1,0,0,0,2011,0.3868553605639853,120.9859335,2761.649919,34.46249170943715,14263.0,12.014291460226385,43.861573371062235,595.4860842459398
650,14,3,1,2,1,0,0,0,2011,0.386853348813858,123.7920353,1935.9306,34.462532208344065,14209.284732252221,12.014288587505547,43.861561325862965,595.4858992818914
651,14,3,2,2,1,0,0,0,2011,0.386853348813858,91.91017538,3552.849468,34.462532208344065,14209.284732252221,12.014288587505547,43.861561325862965,595.4858992818914
652,14,5,0,2,1,0,0,0,2011,0.3868553605639853,220.96013103024575,6501.546438061729,34.46249170943715,18608.0,12.014291460226385,43.861573371062235,595.4860842459398
653,14,1,0,2,1,0,0,0,2011,0.3868553605639853,176.9882736,4766.950338,34.46249170943715,46991.0,12.014291460226385,43.861573371062235,595.4860842459398
654,14,1,1,2,1,0,0,0,2011,0.386853348813858,139.3402859,3303.731524,34.462532208344065,39130.0971259846,12.014288587505547,43.861561325862965,595.4858992818914
655,14,1,2,2,1,0,0,0,2011,0.386853348813858,226.9828292,6285.470671,34.462532208344065,39130.0971259846,12.014288587505547,43.861561325862965,595.4858992818914
656,14,0,0,2,1,0,0,0,2012,0.186923572,194.467058,5532.254813,30.52631579,31653.0,11.7,44.502319,649.2
657,14,0,1,2,1,0,0,0,2012,0.39860190121941913,158.3902913,4139.952302,34.0185939850219,27165.597043713762,12.014291460226385,42.55212325254983,575.1149971662124
658,14,0,2,2,1,0,0,0,2012,0.39860190121941913,246.6603705,7059.419246,34.0185939850219,27165.597043713762,12.014291460226385,42.55212325254983,575.1149971662124
659,14,4,0,2,1,0,0,0,2012,0.39860190121941913,109.728995,2664.901366,34.0185939850219,27452.0,12.014291460226385,42.55212325254983,575.1149971662124
660,14,4,1,2,1,0,0,0,2012,0.3986001579039753,81.03736039,1568.284364,34.018624339874606,27702.553805510215,12.014288587505547,42.55208128349138,575.1146414711416
