,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Low Birthweight,Crime Incidents | Violent Crime,Disability | People with Disabilities,"Housing | Homeless, Total",Language and Nativity | Foreign Born Population,Physical Activity | Teen Computer Time,"Racial Segregation Indices | Racial Segregation, White and Non-White","Sexually Transmitted Disease | Syphilis, Newborns"
767,14,1,2,2,1,0,0,0,2018,6.934126825433424,639.559222375174,11.551737210967183,136.58081199135606,15.26413804739882,39.540034599866885,42.19485037136626,41.48569404257454
768,14,0,0,2,1,0,0,0,2019,10.12170822,739.4149916,8.034822353,156.1767361,17.41613288,39.5,48.8884774,26.9
769,14,0,1,2,1,0,0,0,2019,8.944891070022958,610.6117016018102,10.668104406118953,143.0741203128228,15.295206050524301,41.400542434250475,41.53787393211061,43.28559153152723
770,14,0,2,2,1,0,0,0,2019,8.944891070022958,610.6117016018102,10.668104406118953,143.0741203128228,15.295206050524301,40.79729953081147,41.53787393211061,43.28559153152723
771,14,4,0,2,1,0,0,0,2019,10.05509642,610.6117016018102,3.785218956,143.0741203128228,15.295206050524301,53.37341780714688,41.53787393211061,43.28559153152723
772,14,4,1,2,1,0,0,0,2019,9.136979009345078,576.6219147718494,5.40203679814601,143.07395564428444,15.295221912670224,48.58096505161127,41.53791482750349,43.285652903290554
773,14,4,2,2,1,0,0,0,2019,9.136979009345078,576.6219147718494,5.40203679814601,143.07395564428444,15.295221912670224,48.038347378570776,41.53791482750349,43.285652903290554
774,14,2,0,2,1,0,0,0,2019,14.45250432,610.6117016018102,9.955174864,143.0741203128228,15.295206050524301,43.5,41.53787393211061,43.28559153152723
775,14,2,1,2,1,0,0,0,2019,14.399402706279997,576.6219147718494,13.595350155011422,143.07395564428444,15.295221912670224,41.37868538206649,41.53791482750349,43.285652903290554
776,14,2,2,2,1,0,0,0,2019,14.399402706279997,576.6219147718494,13.595350155011422,143.07395564428444,15.295221912670224,40.62217530338936,41.53791482750349,43.285652903290554
777,14,3,0,2,1,0,0,0,2019,7.725982016,610.6117016018102,5.059392544,143.0741203128228,15.295206050524301,40.1,41.53787393211061,43.28559153152723
778,14,3,1,2,1,0,0,0,2019,7.543656032643939,576.6219147718494,6.647978739857306,143.07395564428444,15.295221912670224,40.92686775376272,41.53791482750349,43.285652903290554
