,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | All Cancer Deaths,Deaths | Infant Deaths,Food Access | Limited Supermarket Access,Housing | Vacant Housing and Homelessness,Language and Nativity | Primarily Speak Spanish,Population | Children,"Respiratory Infection | COVID-19 Vaccination, Adults",Substance Use | Opioid Overdose Deaths
3680,2,0,0,3,1,1,0,1,2019,130.0710758,4.213822923,26.17898332,1.340810921,40.7513098,19.72274964,72.2687581934809,9.05677463
3681,2,0,1,3,1,1,0,1,2019,114.5452319,4.927285200844264,36.268977506609254,2.6462220221860826,34.85720109909001,21.988688380457056,72.35428341181878,4.003401205
3682,2,0,2,3,1,1,0,1,2019,153.347289,4.927285200844264,36.268977506609254,2.6462220221860826,34.85720109909001,21.988688380457056,72.35428341181878,14.04708718
3683,2,4,0,3,1,1,0,1,2019,96.17937067,2.446561937,36.268977506609254,2.6462220221860826,34.85720109909001,21.988688380457056,72.35428341181878,2.142293757
3684,2,4,1,3,1,1,0,1,2019,86.03764169,3.3496390840445733,39.62703808521545,2.646007372662016,34.85657336489315,21.988586654675153,72.34292654816534,1.8418899621812475
3685,2,4,2,3,1,1,0,1,2019,111.1103252,3.3496390840445733,39.62703808521545,2.646007372662016,34.85657336489315,21.988586654675153,72.34292654816534,3.791477803
3686,2,2,0,3,1,1,0,1,2019,208.2203235,8.947812236,36.268977506609254,2.6462220221860826,34.85720109909001,21.988688380457056,72.35428341181878,15.8984246
3687,2,2,1,3,1,1,0,1,2019,179.5427866,10.56891156925207,39.62703808521545,2.646007372662016,34.85657336489315,21.988586654675153,72.34292654816534,9.451261134
3688,2,2,2,3,1,1,0,1,2019,254.5704087,10.56891156925207,39.62703808521545,2.646007372662016,34.85657336489315,21.988586654675153,72.34292654816534,22.90010938
3689,2,3,0,3,1,1,0,1,2019,120.0522096,4.284945111,36.268977506609254,2.6462220221860826,34.85720109909001,21.988688380457056,72.35428341181878,6.035492692
3690,2,3,1,3,1,1,0,1,2019,106.5219164,5.069118236151163,39.62703808521545,2.646007372662016,34.85657336489315,21.988586654675153,72.34292654816534,1.856153902
3691,2,3,2,3,1,1,0,1,2019,143.6374995,5.069118236151163,39.62703808521545,2.646007372662016,34.85657336489315,21.988586654675153,72.34292654816534,10.03245909
3692,2,5,0,3,1,1,0,1,2019,124.70338170497695,4.927285200844264,36.268977506609254,2.6462220221860826,34.85720109909001,21.988688380457056,72.35428341181878,14.797605899190573
3693,2,1,0,3,1,1,0,1,2019,135.1386932,3.075933335,36.268977506609254,2.6462220221860826,34.85720109909001,21.988688380457056,72.35428341181878,15.54101885
