,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Teen Births,Deaths | Gun Deaths (Firearms),Education | Preschool Enrollment,Housing | Renters vs. Owners,Language and Nativity | Primarily Speak English,Physical Activity | Teen TV Time,Respiratory Infection | COVID-19 Deaths,Substance Use | Drug Overdose Deaths
6606,19,1,1,3,1,0,0,0,2019,5.503448522840478,3.7051096757499997,49.62639396669759,0.7281443756396887,66.59055096004136,15.169113389220307,38.98038238,14.69139093
6607,19,1,2,3,1,0,0,0,2019,5.503448522840478,12.67620268,49.62639396669759,0.7281443756396887,66.59055096004136,13.92652226370846,66.25660716461539,32.62556303
6608,19,0,0,3,1,0,0,0,2020,7.90693548,4.840916637,53.43354971,0.791747335,41.90940731,17.625,50.47289895,17.57300464
6609,19,0,1,3,1,0,0,0,2020,12.2948991850375,0.88888852,49.626472003412324,0.9954161135345986,69.57477933165774,18.385875134347906,37.50198807,8.865555032
6610,19,0,2,3,1,0,0,0,2020,12.2948991850375,8.836484356,49.626472003412324,0.9954161135345986,69.57477933165774,16.26847841678842,66.60074129,25.85441033
6611,19,4,0,3,1,0,0,0,2020,1.535574134,2.218400665,49.626472003412324,0.573270049,69.57477933165774,12.142707466856676,40.26534183,4.96102181
6612,19,4,1,3,1,0,0,0,2020,5.315389206615612,2.470886115,49.62639396669759,0.8429197213923252,66.59055096004137,14.659924891298193,26.16326671,1.971850221
6613,19,4,2,3,1,0,0,0,2020,5.315389206615612,4.038946709,49.62639396669759,0.8429197213923252,66.59055096004137,13.901177573505569,57.73057459,7.945238268
6614,19,2,0,3,1,0,0,0,2020,8.185538881,15.27052823,49.626472003412324,2.491122278,69.57477933165774,28.969162345132144,79.20564483,50.60403735
6615,19,2,1,3,1,0,0,0,2020,20.185092602106202,10.157904537499999,49.62639396669759,2.4407751891531273,66.59055096004137,22.34709227345,64.934796602,35.97174331
6616,19,2,2,3,1,0,0,0,2020,20.185092602106202,27.07624308,49.62639396669759,2.4407751891531273,66.59055096004137,22.984648601528757,64.94340976,63.51066157
6617,19,3,0,3,1,0,0,0,2020,16.21911923,5.601514204,49.626472003412324,1.721912157,69.57477933165774,19.580329463429603,102.0959656,22.49446676
6618,19,3,1,3,1,0,0,0,2020,19.62733121729287,3.9938103280000004,49.62639396669759,1.852040261516504,66.59055096004137,18.57826716647199,74.56937286,9.409621148
6619,19,3,2,3,1,0,0,0,2020,19.62733121729287,9.492299262,49.62639396669759,1.852040261516504,66.59055096004137,17.819519848679366,162.0843922,35.04007909
6620,19,5,0,3,1,0,0,0,2020,12.2948991850375,12.71224797217496,49.626472003412324,1.332708529,69.57477933165774,16.81431535838698,59.57021579630065,28.38976527947125
6621,19,1,0,3,1,0,0,0,2020,1.724851663,6.357990194,49.626472003412324,0.545908005,69.57477933165774,12.00582417979501,35.08594716,29.45717879
6622,19,1,1,3,1,0,0,0,2020,5.02629609628484,3.358279559,49.62639396669759,0.7281443756396887,66.59055096004137,15.154530790113824,28.8648728,17.28631349
6623,19,1,2,3,1,0,0,0,2020,5.02629609628484,11.51976001,49.62639396669759,0.7281443756396887,66.59055096004137,13.913615223565737,42.09543526,40.00745428
6624,19,0,0,3,1,0,0,0,2021,7.637146726,4.410273277,53.43354971,0.791747335,41.90940731,17.418181818181818,62.4333288,20.64737457
6625,19,0,1,3,1,0,0,0,2021,11.658573636102057,0.828453604,49.626472003412324,0.9954161135345986,69.57477933165774,18.82061823149184,45.40537366,10.55403331
6626,19,0,2,3,1,0,0,0,2021,11.658573636102057,7.978115775,49.626472003412324,0.9954161135345986,69.57477933165774,16.872715358429502,82.3920152,30.15818086
6627,19,4,0,3,1,0,0,0,2021,1.166331886,1.778958883,49.626472003412324,0.573270049,69.57477933165774,12.796509930271423,41.20373871,6.726303206
6628,19,4,1,3,1,0,0,0,2021,3.7014890460368246,3.9966276402111798,52.60951891764939,0.9612410754515618,66.59055096004137,15.583935099882812,25.90158293,3.535788673
6629,19,4,2,3,1,0,0,0,2021,3.7014890460368246,3.074856388,52.60951891764939,0.9612410754515618,66.59055096004137,14.35759234977993,60.0139825,9.928572967
6630,19,2,0,3,1,0,0,0,2021,6.980161646,11.22636426,49.626472003412324,2.491122278,69.57477933165774,30.069067454957953,70.92758964,53.19677617
6631,19,2,1,3,1,0,0,0,2021,15.826776508076152,13.329866275,52.60951891764939,2.4407751891531273,66.59055096004137,23.670154878114353,118.98503710499999,39.00939166
6632,19,2,2,3,1,0,0,0,2021,15.826776508076152,21.2139097,52.60951891764939,2.4407751891531273,66.59055096004137,22.90721557848159,122.9250795,67.30033136
