,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Income-related | Unemployment,"Racial Segregation Indices | Racial Segregation, White and Non-White",Cancer | Lung Cancer Deaths,Active Transportation | Riding Bike to Work,Deaths | Deaths from All Causes,Sexually Transmitted Disease | New Gonorrhea Cases
5250,3,0,2,1,0,1,1,1,2013,12.667476045804179,62.17957463018183,70.78384374,2.059571880314056,1091.9315,423.252838758577
5251,3,4,0,1,0,1,1,1,2013,8.667122106,62.17957463018183,34.45139383,2.059571880314056,514.2945879,423.252838758577
5252,3,4,1,1,0,1,1,1,2013,9.021737501059755,62.180044120707,17.09207092,2.0595405757332492,388.5477314,423.27592245247905
5253,3,4,2,1,0,1,1,1,2013,9.021737501059755,62.180044120707,42.42354567947368,2.0595405757332492,854.5050049,423.27592245247905
5254,3,2,0,1,0,1,1,1,2013,15.45092681,62.17957463018183,59.90842395,2.059571880314056,992.7982385,423.252838758577
5255,3,2,1,1,0,1,1,1,2013,16.871655438957998,62.180044120707,50.90847676,2.0595405757332492,811.030255,423.27592245247905
5256,3,2,2,1,0,1,1,1,2013,16.871655438957998,62.180044120707,75.62461813,2.0595405757332492,1273.934929,423.27592245247905
5257,3,3,0,1,0,1,1,1,2013,15.55878436,62.17957463018183,28.93128859,2.059571880314056,702.4999465,423.252838758577
5258,3,3,1,1,0,1,1,1,2013,17.197293669842683,62.180044120707,15.87368587,2.0595405757332492,521.8708341,423.27592245247905
5259,3,3,2,1,0,1,1,1,2013,17.197293669842683,62.180044120707,31.981231129736845,2.0595405757332492,1061.450658,423.27592245247905
5260,3,5,0,1,0,1,1,1,2013,15.81970835,62.17957463018183,54.58925062684541,2.059571880314056,885.151047870329,423.252838758577
5261,3,1,0,1,0,1,1,1,2013,6.472629889,62.17957463018183,59.09313639,2.059571880314056,852.3304323,423.252838758577
5262,3,1,1,1,0,1,1,1,2013,7.988499905525775,62.180044120707,49.16167824,2.0595405757332492,707.9167519,423.27592245247905
5263,3,1,2,1,0,1,1,1,2013,7.988499905525775,62.180044120707,64.24050797026317,2.0595405757332492,1033.193213,423.27592245247905
5264,3,0,0,1,0,1,1,1,2014,11.32875348,61.00309964,53.40145045,2.138016608,865.9824439,381.1
