,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Diabetes and Obesity | Diabetes Deaths,Deaths | Premature Death,Lead Poisoning | Housing Lead Risk,Language and Nativity | Foreign Born Population,Respiratory Infection | New Tuberculosis Cases,Substance Use | Drug Overdose Deaths,"Health Insurance | Uninsured, Child"
2863,26,1,2,0,1,0,0,0,2019,35.15400016,12358.65657,26.575202964486024,11.041186804658974,2.900011884736366,86.66222863,4.609455236845571
2864,26,0,0,0,1,0,0,0,2020,33.69845844,11341.02498,22.07939195,10.29686873,3.5,62.11737761,6.106964136
2865,26,0,1,0,1,0,0,0,2020,25.37059841,8046.293604,26.575245097752923,11.041199478518067,2.6142998180871966,37.36421773,5.616443854248198
2866,26,0,2,0,1,0,0,0,2020,45.32547948,14834.91486,26.575245097752923,11.041199478518067,2.6142998180871966,88.55270774,5.616443854248198
2867,26,4,0,0,1,0,0,0,2020,24.95943088,4475.97596,26.575245097752923,11.041199478518067,2.6142998180871966,11.40642194,9.845365541
2868,26,4,1,0,1,0,0,0,2020,20.99057030933444,3831.308109,26.575202964486024,11.041186804658974,2.614292766766635,3.88783480766073,6.569536964816604
2869,26,4,2,0,1,0,0,0,2020,29.250341805087327,5191.590046,26.575202964486024,11.041186804658974,2.614292766766635,20.27514203,6.569536964816604
2870,26,2,0,0,1,0,0,0,2020,50.29427562,16077.67638,26.575245097752923,11.041199478518067,2.6142998180871966,64.51762845,4.261333754
2871,26,2,1,0,1,0,0,0,2020,38.47439759,10789.37734,26.575202964486024,11.041186804658974,2.614292766766635,30.00851938,4.252454308921139
2872,26,2,2,0,1,0,0,0,2020,69.45906212,22352.59613,26.575202964486024,11.041186804658974,2.614292766766635,108.8350394,4.252454308921139
2873,26,3,0,0,1,0,0,0,2020,22.44742749,7315.859875,26.575245097752923,11.041199478518067,2.6142998180871966,18.25617261,11.65812224
2874,26,3,1,0,1,0,0,0,2020,24.84317718375,4322.898671,26.575202964486024,11.041186804658974,2.614292766766635,14.1285085412,13.268620247271212
2875,26,3,2,0,1,0,0,0,2020,17.21114649,9976.175636,26.575202964486024,11.041186804658974,2.614292766766635,31.61331273,13.268620247271212
2876,26,5,0,0,1,0,0,0,2020,26.899372663866764,9333.926216944335,26.575245097752923,11.041199478518067,2.6142998180871966,47.06886076980376,0.0
2877,26,1,0,0,1,0,0,0,2020,29.32550066,10455.70063,26.575245097752923,11.041199478518067,2.6142998180871966,77.98473143,4.777062499
2878,26,1,1,0,1,0,0,0,2020,12.546787743333333,7698.718366,26.575202964486024,11.041186804658974,2.614292766766635,52.37199559,4.609455236845572
2879,26,1,2,0,1,0,0,0,2020,25.56690564333333,13286.96614,26.575202964486024,11.041186804658974,2.614292766766635,104.1506393,4.609455236845572
2880,26,0,0,0,1,0,0,0,2021,34.82822571,12094.47288,22.07939195,10.29686873,3.5,72.94321086,6.106964136
