,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Crime Incidents | Violent Crime,Births | Low Birthweight,Cancer | All Cancer Deaths,Deaths | Deaths from All Causes,Respiratory Infection | COVID-19 Deaths,Population | Children,"Health Insurance | Uninsured, All Ages"
6050,4,0,2,3,1,1,0,0,2011,464.12456944813493,7.005625751895589,192.283928,727.3278535,104.84927680238347,21.87826094496073,12.074749462887747
6051,4,4,0,3,1,1,0,0,2011,464.12456944813493,8.313515656,119.9364429,429.7920779,60.63680789961423,21.87826094496073,8.847188308569706
6052,4,4,1,3,1,1,0,0,2011,465.2473990983743,8.4400328867959,97.77323387,359.9269835,47.06806067787072,21.893413769750968,9.092586486445851
6053,4,4,2,3,1,1,0,0,2011,465.2473990983743,8.4400328867959,156.0105826,538.2186179,103.51977466803135,21.893413769750968,9.092586486445851
6054,4,2,0,3,1,1,0,0,2011,464.12456944813493,9.362840467,222.3111889,867.7116406,88.485707378254,21.87826094496073,10.433898386805286
6055,4,2,1,3,1,1,0,0,2011,465.2473990983743,10.34573979770267,209.9772587,773.3054171,67.94163466127833,21.893413769750968,10.565033409162304
6056,4,2,2,3,1,1,0,0,2011,465.2473990983743,10.34573979770267,242.164505,968.4883591,119.82104894538529,21.893413769750968,10.565033409162304
6057,4,3,0,3,1,1,0,0,2011,464.12456944813493,5.800136581,131.3201647,507.1238618,152.94271137374417,21.87826094496073,20.055773094369023
6058,4,3,1,3,1,1,0,0,2011,465.2473990983743,6.051365469916969,106.1599055,422.2030906,98.95349161895348,21.893413769750968,20.25244750802203
6059,4,3,2,3,1,1,0,0,2011,465.2473990983743,6.051365469916969,172.6542184,628.4833952,233.3860214170669,21.893413769750968,20.25244750802203
6060,4,5,0,3,1,1,0,0,2011,464.12456944813493,7.005625751895589,151.15439149567615,597.5296700672832,77.62248460843806,21.87826094496073,16.88024440737819
6061,4,1,0,3,1,1,0,0,2011,464.12456944813493,5.941435936,171.2136111,657.4014594,46.442769858986615,21.87826094496073,6.635777357227623
6062,4,1,1,3,1,1,0,0,2011,465.2473990983743,6.115521209619117,145.7970809,544.0932885,34.750766510659474,21.893413769750968,6.777043927708998
