,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Life Expectancy at Birth | Life Expectancy,Births | Preterm Births,"Housing | Homeless, Children",Diabetes and Obesity | Diabetes Deaths,Housing | Renters vs. Owners,Deaths | Racial Disparity in Police Killings
5667,17,4,0,3,1,0,0,0,2013,81.48086021,8.584515180703704,12.914231083729787,25.36207408,0.748761043,3.554254188427157
5668,17,4,1,3,1,0,0,0,2013,87.0314858575,8.536337130630319,12.912498019848996,22.31211561,0.9404686568952962,3.5542649194468083
5669,17,4,2,3,1,0,0,0,2013,82.884228735,8.536337130630319,12.912498019848996,30.43937976,0.9404686568952962,3.5542649194468083
5670,17,2,0,3,1,0,0,0,2013,70.69249595,10.34922441014815,12.914231083729787,68.27836123,2.520144628,3.554254188427157
5671,17,2,1,3,1,0,0,0,2013,77.2040382225,9.997600346942098,12.912498019848996,44.343629975,2.3815153811470213,3.5542649194468083
5672,17,2,2,3,1,0,0,0,2013,67.03200615,9.997600346942098,12.912498019848996,78.51651905,2.3815153811470213,3.5542649194468083
5673,17,3,0,3,1,0,0,0,2013,83.0125056975,8.943582136222224,12.914231083729787,34.84824437,1.815598456,3.554254188427157
5674,17,3,1,3,1,0,0,0,2013,85.09163009666666,8.963964654328201,12.912498019848996,30.368895276666667,1.8043366935304994,3.5542649194468083
5675,17,3,2,3,1,0,0,0,2013,79.53269514666667,8.963964654328201,12.912498019848996,32.01113582,1.8043366935304994,3.5542649194468083
5676,17,5,0,3,1,0,0,0,2013,79.56369184685427,8.579836829669347,12.914231083729787,22.692454482404028,1.52173913,3.554254188427157
5677,17,1,0,3,1,0,0,0,2013,76.75959183,8.03302099414815,12.914231083729787,26.56106038,0.73963791,3.554254188427157
5678,17,1,1,3,1,0,0,0,2013,78.80723865,8.091178677942398,12.912498019848996,20.19326706,0.756589361812095,3.5542649194468083
5679,17,1,2,3,1,0,0,0,2013,74.70889466,8.091178677942398,12.912498019848996,34.73004015,0.756589361812095,3.5542649194468083
5680,17,0,0,3,1,0,0,0,2014,77.46151055,8.580135019799998,12.61501751825,29.74768177,0.870910616,5.520490492
5681,17,0,1,3,1,0,0,0,2014,79.80839669,8.579809596645026,12.631213321338205,24.37582977,1.0190875691864048,3.554254188427157
5682,17,0,2,3,1,0,0,0,2014,75.00061464,8.579809596645026,12.631213321338205,36.30641717,1.0190875691864048,3.554254188427157
5683,17,4,0,3,1,0,0,0,2014,81.81196743,8.8470650327,12.631213321338205,27.56051523,0.748761043,3.554254188427157
5684,17,4,1,3,1,0,0,0,2014,86.816433145,8.76668552826248,12.630745982894878,25.68458644,0.9404686568952961,3.554264919446808
5685,17,4,2,3,1,0,0,0,2014,82.70113493,8.76668552826248,12.630745982894878,31.77702706,0.9404686568952961,3.554264919446808
5686,17,2,0,3,1,0,0,0,2014,71.31040635,10.333817795899998,12.631213321338205,78.34111831,2.520144628,3.554254188427157
5687,17,2,1,3,1,0,0,0,2014,73.91257439,10.191308694912419,12.630745982894878,45.97541432,2.35363875504052,3.554264919446808
5688,17,2,2,3,1,0,0,0,2014,69.13784303,10.191308694912419,12.630745982894878,77.38206694,2.35363875504052,3.554264919446808
5689,17,3,0,3,1,0,0,0,2014,83.4237840575,8.84649157355,12.631213321338205,27.19947227,1.815598456,3.554254188427157
5690,17,3,1,3,1,0,0,0,2014,85.06443364666667,8.833801803716504,12.630745982894878,24.62799824,1.8043366935304994,3.554264919446808
5691,17,3,2,3,1,0,0,0,2014,80.10187356333333,8.833801803716504,12.630745982894878,26.97892516,1.8043366935304994,3.554264919446808
5692,17,5,0,3,1,0,0,0,2014,80.1474108728941,8.609241331649905,12.631213321338205,20.59995171984835,1.52173913,3.554254188427157
5693,17,1,0,3,1,0,0,0,2014,77.42116452,7.830377715699998,12.631213321338205,27.86144216,0.73963791,3.554254188427157
5694,17,1,1,3,1,0,0,0,2014,79.80542759,7.608227739202444,12.630745982894878,11.6117039952,0.756589361812095,3.554264919446808
