,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Prostate Cancer Deaths,Housing | Vacant Housing Units,Mental Health | Teen Mental Distress,"Racial Segregation Indices | Racial Segregation, White and Asian",Sexually Transmitted Disease | New Chlamydia Cases
1562,10,3,1,2,1,1,0,1,2016,14.291902748421535,9.971891886836817,34.199999999999996,46.99607073636452,620.0302442757819
1563,10,3,2,2,1,1,0,1,2016,14.291902748421535,9.971891886836817,28.719999999999995,46.99607073636452,620.0302442757819
1564,10,5,0,2,1,1,0,1,2016,22.282046182334955,9.971888997714775,32.800000000000004,46.996086439714176,620.0205359439518
1565,10,1,0,2,1,1,0,1,2016,19.06833434,9.971888997714775,26.81004479636488,46.996086439714176,620.0205359439518
1566,10,1,1,2,1,1,0,1,2016,19.07264814936533,9.971891886836817,31.059999999999995,46.99607073636452,620.0302442757819
1567,10,1,2,2,1,1,0,1,2016,19.07264814936533,9.971891886836817,25.58,46.99607073636452,620.0302442757819
1568,10,0,0,2,1,1,0,1,2017,21.92891336,9.967053306,32.8,47.02237005,703.4
1569,10,0,1,2,1,1,0,1,2017,21.744170354599426,9.97673424255293,39.340147794452726,46.9697509049909,652.6245091251078
1570,10,0,2,2,1,1,0,1,2017,21.744170354599426,9.97673424255293,23.47832499620247,46.9697509049909,652.6245091251078
1571,10,4,0,2,1,1,0,1,2017,9.461750877988925,9.97673424255293,25.57184892561085,46.9697509049909,652.6245091251078
1572,10,4,1,2,1,1,0,1,2017,9.461747275738585,9.976735257286295,33.218715976007424,46.9697453895739,652.6422050840288
1573,10,4,2,2,1,1,0,1,2017,9.461747275738585,9.976735257286295,23.280731095000554,46.9697453895739,652.6422050840288
1574,10,2,0,2,1,1,0,1,2017,36.16440447,9.97673424255293,29.178370716456538,46.9697509049909,652.6245091251078
1575,10,2,1,2,1,1,0,1,2017,35.14136373577708,9.976735257286295,35.63901056753323,46.9697453895739,652.6422050840288
1576,10,2,2,2,1,1,0,1,2017,35.14136373577708,9.976735257286295,24.63894911210051,46.9697453895739,652.6422050840288
1577,10,3,0,2,1,1,0,1,2017,13.31807615,9.97673424255293,32.958990071239725,46.9697509049909,652.6245091251078
1578,10,3,1,2,1,1,0,1,2017,13.44462350790925,9.976735257286295,36.25964981163838,46.9697453895739,652.6422050840288
1579,10,3,2,2,1,1,0,1,2017,13.44462350790925,9.976735257286295,26.90095226659736,46.9697453895739,652.6422050840288
1580,10,5,0,2,1,1,0,1,2017,21.744170354599426,9.97673424255293,32.800000000000004,46.9697509049909,652.6245091251078
1581,10,1,0,2,1,1,0,1,2017,18.57263089,9.97673424255293,29.375738593279802,46.9697509049909,652.6245091251078
