,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Diabetes and Obesity | Diabetes,Income-related | Excessive Housing Cost,Physical Activity | Teen Computer Time,"Respiratory Infection | Flu Vaccinations, Medicare",Substance Use | Teen Smoking
2015,21,1,2,0,0,0,0,1,2018,16.539985793181977,31.79844352597588,46.13113808709019,55.00002559574107,5.9399999999999995
2016,21,0,0,0,0,0,0,1,2019,18.0,32.67900512,40.5,46.0,3.4
2017,21,0,1,0,0,0,0,1,2019,16.3599644219199,31.218282441448622,42.404474022349405,51.00001279787054,3.5
2018,21,0,2,0,0,0,0,1,2019,16.3599644219199,31.218282441448622,41.44438608046675,51.00001279787054,3.6
2019,21,4,0,0,0,0,0,1,2019,16.3599644219199,31.218282441448622,52.64588343884117,48.0,1.4230817090470596
2020,21,4,1,0,0,0,0,1,2019,16.359982209480133,31.21827257254534,41.25655646752022,53.99988481916515,5.012855645555276
2021,21,4,2,0,0,0,0,1,2019,16.359982209480133,31.21827257254534,40.57277708582926,53.99988481916515,6.728269966827287
2022,21,2,0,0,0,0,0,1,2019,16.3599644219199,31.218282441448622,48.2,31.0,3.1
2023,21,2,1,0,0,0,0,1,2019,16.359982209480133,31.21827257254534,45.44112543463452,36.59997696383303,3.839559792036237
2024,21,2,2,0,0,0,0,1,2019,16.359982209480133,31.21827257254534,44.76140271563143,36.59997696383303,4.119372296051671
2025,21,3,0,0,0,0,0,1,2019,16.3599644219199,31.218282441448622,54.4,40.0,4.2
2026,21,3,1,0,0,0,0,1,2019,16.359982209480133,31.21827257254534,46.863074556936326,43.59992577235087,5.83837775213354
2027,21,3,2,0,0,0,0,1,2019,16.359982209480133,31.21827257254534,46.18335183793323,43.59992577235087,6.118190256148974
2028,21,5,0,0,0,0,0,1,2019,16.3599644219199,31.218282441448622,45.29997824334164,51.99997440425892,4.1399836185160614
2029,21,1,0,0,0,0,0,1,2019,16.3599644219199,31.218282441448622,48.88554780399417,53.0,4.6
2030,21,1,1,0,0,0,0,1,2019,16.359982209480133,31.21827257254534,44.72715220365771,57.399946248943735,4.979241864062408
2031,21,1,2,0,0,0,0,1,2019,16.359982209480133,31.21827257254534,46.160645234331604,57.399946248943735,5.938500032123474
2032,21,0,0,0,0,0,0,1,2020,18.6,32.67900512,40.5,49.0,3.4
2033,21,0,1,0,0,0,0,1,2020,16.219976195960797,31.664653888978627,42.24475850390258,53.00007678722323,3.294144910188801
2034,21,0,2,0,0,0,0,1,2020,16.219976195960797,31.664653888978627,43.02912119638448,53.00007678722323,4.668565436958909
2035,21,4,0,0,0,0,0,1,2020,16.219976195960797,31.664653888978627,52.224148188285426,51.0,1.421751860788517
2036,21,4,1,0,0,0,0,1,2020,16.219988096990306,31.66465258859749,41.54922814412619,53.40002303616697,3.1174386455961933
2037,21,4,2,0,0,0,0,1,2020,16.219988096990306,31.66465258859749,40.48726254803096,53.40002303616697,5.123838576372618
2038,21,2,0,0,0,0,0,1,2020,16.219976195960797,31.664653888978627,45.03933514617501,33.0,3.0738715763334157
2039,21,2,1,0,0,0,0,1,2020,16.219988096990306,31.66465258859749,45.44826880150576,37.40004863190805,3.836774046790052
2040,21,2,2,0,0,0,0,1,2020,16.219988096990306,31.66465258859749,44.77030604245646,37.40004863190805,4.11540002968211
2041,21,3,0,0,0,0,0,1,2020,16.219976195960797,31.664653888978627,48.236869644199906,41.0,5.029607149047647
2042,21,3,1,0,0,0,0,1,2020,16.219988096990306,31.66465258859749,46.882589407012105,43.00001279787054,5.828111765022597
2043,21,3,2,0,0,0,0,1,2020,16.219988096990306,31.66465258859749,46.204626647962804,43.00001279787054,6.106737747914655
2044,21,5,0,0,0,0,0,1,2020,16.219976195960797,31.664653888978627,45.29863701871413,52.600092144667876,4.138973755267108
2045,21,1,0,0,0,0,0,1,2020,16.219976195960797,31.664653888978627,45.49287783338887,56.0,6.465775578304671
2046,21,1,1,0,0,0,0,1,2020,16.219988096990306,31.66465258859749,43.51770933425224,57.80007166807502,4.974444191693978
2047,21,1,2,0,0,0,0,1,2020,16.219988096990306,31.66465258859749,43.28734447181918,57.80007166807502,5.929007863136471
2048,21,0,0,0,0,0,0,1,2021,18.2,32.67900512,44.87499999999999,42.0,3.8199999999999994
2049,21,0,1,0,0,0,0,1,2021,16.35997466021633,31.66465388897862,43.768081598214124,50.39990785533212,3.206268147717258
2050,21,0,2,0,0,0,0,1,2021,16.35997466021633,31.66465388897862,42.688488825926605,50.39990785533212,4.856510486722263
2051,21,4,0,0,0,0,0,1,2021,16.35997466021633,31.66465388897862,54.040000000000006,46.0,1.56
2052,21,4,1,0,0,0,0,1,2021,16.359987329054196,31.66465258859749,49.27735558921276,52.39989505746157,3.1188866528511023
2053,21,4,2,0,0,0,0,1,2021,16.359987329054196,31.66465258859749,49.05000378537208,52.39989505746157,5.102123543286239
2054,21,2,0,0,0,0,0,1,2021,16.35997466021633,31.66465388897862,44.1762556181443,28.0,3.015863125095378
2055,21,2,1,0,0,0,0,1,2021,16.359987329054196,31.66465258859749,45.47066131536118,34.39990785533212,3.8281339163560295
2056,21,2,2,0,0,0,0,1,2021,16.359987329054196,31.66465258859749,44.79821555247915,34.39990785533212,4.103079843692858
2057,21,3,0,0,0,0,0,1,2021,16.35997466021633,31.66465388897862,47.2735042202684,32.0,5.045638610687478
2058,21,3,1,0,0,0,0,1,2021,16.359987329054196,31.66465258859749,46.94376315863161,35.39998464255535,5.796271284349074
2059,21,3,2,0,0,0,0,1,2021,16.359987329054196,31.66465258859749,46.271317395749584,35.39998464255535,6.0712172116859024
2060,21,5,0,0,0,0,0,1,2021,16.35997466021633,31.66465388897862,45.290569423197134,50.39990785533212,4.132899330407254
2061,21,1,0,0,0,0,0,1,2021,16.35997466021633,31.66465388897862,45.74335208342396,50.0,5.323720506439542
2062,21,1,1,0,0,0,0,1,2021,16.359987329054196,31.66465258859749,43.43113474264319,55.99992321277677,4.9595639670576075
2063,21,1,2,0,0,0,0,1,2021,16.359987329054196,31.66465258859749,43.20713141500053,55.99992321277677,5.899567418694621
2064,21,0,0,0,0,0,0,1,2022,18.2,32.67900512,45.004347826086956,43.0,3.9173913043478263
2065,21,0,1,0,0,0,0,1,2022,16.599965445749543,31.664653888978627,45.65281174287365,48.4000358340375,2.70098082457582
2066,21,0,2,0,0,0,0,1,2022,16.599965445749543,31.664653888978627,44.97022660355069,48.4000358340375,3.4946491420681247
2067,21,4,0,0,0,0,0,1,2022,16.599965445749543,31.664653888978627,54.040000000000006,45.0,1.5600000000000003
2068,21,4,1,0,0,0,0,1,2022,16.599982721437538,31.66465258859749,54.040000000000006,50.19997952340714,2.4658150434241293
2069,21,4,2,0,0,0,0,1,2022,16.599982721437538,31.66465258859749,54.040000000000006,50.19997952340714,3.054497103649279
2070,21,2,0,0,0,0,0,1,2022,16.599965445749543,31.664653888978627,45.482964452416276,27.0,2.517234770235174
2071,21,2,1,0,0,0,0,1,2022,16.599982721437538,31.66465258859749,45.24869513620267,32.40001023829643,2.835803261606612
2072,21,2,2,0,0,0,0,1,2022,16.599982721437538,31.66465258859749,45.24869513620267,32.40001023829643,3.2388768376308796
2073,21,3,0,0,0,0,0,1,2022,16.599965445749543,31.664653888978627,48.203213004020164,31.0,3.0327205976529448
2074,21,3,1,0,0,0,0,1,2022,16.599982721437538,31.66465258859749,47.67015617130102,33.79999488085178,3.650300604087836
2075,21,3,2,0,0,0,0,1,2022,16.599982721437538,31.66465258859749,47.67015617130102,33.79999488085178,3.6920133684615224
2076,21,5,0,0,0,0,0,1,2022,16.599965445749543,31.664653888978627,45.26769717434225,48.4000358340375,4.115677872445934
2077,21,1,0,0,0,0,0,1,2022,16.599965445749543,31.664653888978627,41.39972703861487,50.0,4.9943945936208385
2078,21,1,1,0,0,0,0,1,2022,16.599982721437538,31.66465258859749,41.44723658166841,54.00002559574108,3.642313972549359
2079,21,1,2,0,0,0,0,1,2022,16.599982721437538,31.66465258859749,41.44723658166841,54.00002559574108,4.045387548573626
2080,32,0,0,2,0,0,0,0,2010,14.8,24.827788955683395,37.699960957323384,35.0,10.679928161475022
2081,32,0,1,2,0,0,0,0,2010,14.090554680918034,24.809213440665175,33.657077009248354,36.142285248664955,7.462737217194141
2082,32,0,2,2,0,0,0,0,2010,14.090554680918034,24.809213440665175,35.4096546034947,36.142285248664955,11.419424823715973
2083,32,4,0,2,0,0,0,0,2010,14.090554680918034,24.809213440665175,44.63971412769957,39.305725540744405,6.702412206739092
2084,32,4,1,2,0,0,0,0,2010,14.076541339317522,24.807601595566826,33.60566457725184,38.38468550180148,8.385210265853278
2085,32,4,2,2,0,0,0,0,2010,14.076541339317522,24.807601595566826,35.38975219505685,38.38468550180148,11.77132086607873
2086,32,2,0,2,0,0,0,0,2010,14.090554680918034,24.809213440665175,36.44153054238432,24.931736119125812,7.165439806391209
2087,32,2,1,2,0,0,0,0,2010,14.076541339317522,24.807601595566826,37.16579228425272,24.537995726665194,8.651847328466582
2088,32,2,2,2,0,0,0,0,2010,14.076541339317522,24.807601595566826,36.23686794764676,24.537995726665194,10.85252820941294
2089,32,3,0,2,0,0,0,0,2010,14.090554680918034,24.809213440665175,34.451571238460645,30.67583242985828,12.804330016866214
2090,32,3,1,2,0,0,0,0,2010,14.076541339317522,24.807601595566826,38.25064923500338,30.754826655797988,10.73761212047906
2091,32,3,2,2,0,0,0,0,2010,14.076541339317522,24.807601595566826,38.29727647621457,30.754826655797988,12.938293001425414
2092,32,5,0,2,0,0,0,0,2010,14.090554680918034,24.809213440665175,38.13997763596743,38.44318898622809,10.67998226300865
2093,32,1,0,2,0,0,0,0,2010,14.090554680918034,24.809213440665175,29.725465817853163,46.71885984945192,12.694633334009808
2094,32,1,1,2,0,0,0,0,2010,14.076541339317522,24.807601595566826,33.38229709539476,47.508448024778296,10.61656810302798
2095,32,1,2,2,0,0,0,0,2010,14.076541339317522,24.807601595566826,33.42892433660595,47.508448024778296,12.817248983974336
2096,32,0,0,2,0,0,0,0,2011,14.8,24.870520785553218,39.57974075662726,35.0,10.679928161475024
2097,32,0,1,2,0,0,0,0,2011,14.800000000000002,24.818230470020026,33.29377825915137,34.40432451452833,7.147359900001252
2098,32,0,2,2,0,0,0,0,2011,14.800000000000002,24.818230470020026,35.52823948366757,34.40432451452833,11.39410369839145
2099,32,4,0,2,0,0,0,0,2011,14.800000000000002,24.818230470020026,44.631384234776,37.32133072133443,6.4402307385340425
2100,32,4,1,2,0,0,0,0,2011,14.799999999999999,24.815711665515863,33.624773407563644,37.95638287495812,8.377974485906115
2101,32,4,2,2,0,0,0,0,2011,14.799999999999999,24.815711665515863,35.396301376090705,37.95638287495812,11.763155376994765
2102,32,2,0,2,0,0,0,0,2011,14.800000000000002,24.818230470020026,35.893859326940394,22.464002621265227,7.156410244136475
2103,32,2,1,2,0,0,0,0,2011,14.799999999999999,24.815711665515863,37.178075853709686,22.166418064849196,8.641604479813969
2104,32,2,2,2,0,0,0,0,2011,14.799999999999999,24.815711665515863,37.2589487890874,22.166418064849196,10.841696691297532
2105,32,3,0,2,0,0,0,0,2011,14.800000000000002,24.818230470020026,34.50845809591767,29.53551634468413,12.793091375590153
2106,32,3,1,2,0,0,0,0,2011,14.799999999999999,24.815711665515863,38.258733628959085,29.376876546969445,10.722385203708123
2107,32,3,2,2,0,0,0,0,2011,14.799999999999999,24.815711665515863,38.299631154065764,29.376876546969445,12.922477415191686
2108,32,5,0,2,0,0,0,0,2011,14.800000000000002,24.818230470020026,39.57993599259644,34.40432451452833,10.67998226300865
2109,32,1,0,2,0,0,0,0,2011,14.800000000000002,24.818230470020026,28.90118407747288,42.8927085003477,12.419157821071739
2110,32,1,1,2,0,0,0,0,2011,14.799999999999999,24.815711665515863,33.39760250142741,42.58773734872775,10.602243812766664
2111,32,1,2,2,0,0,0,0,2011,14.799999999999999,24.815711665515863,33.43850002653407,42.58773734872775,12.802336024250225
2112,32,0,0,2,0,0,0,0,2012,14.8,25.0790698870707,39.57974075662726,35.0,9.640049974626072
2113,32,0,1,2,0,0,0,0,2012,14.8,25.075968271436157,37.25518251004531,34.40032339380691,7.303298051794203
2114,32,0,2,2,0,0,0,0,2012,14.8,25.075968271436157,37.66623470754464,34.40032339380691,10.729544630898447
2115,32,4,0,2,0,0,0,0,2012,14.8,25.075968271436157,44.34186626757297,39.0,4.420572977847266
2116,32,4,1,2,0,0,0,0,2012,14.799999999999999,25.075867940917934,37.27334247666169,36.75447734162907,7.286249919868621
2117,32,4,2,2,0,0,0,0,2012,14.799999999999999,25.075867940917934,37.69094214511794,36.75447734162907,10.7079256230218
2118,32,2,0,2,0,0,0,0,2012,14.8,25.075968271436157,39.97129950141294,22.0,6.59731064816318
2119,32,2,1,2,0,0,0,0,2012,14.799999999999999,25.075867940917934,37.88,22.88516635718251,8.219999999999999
2120,32,2,2,2,0,0,0,0,2012,14.799999999999999,25.075867940917934,37.919999999999995,22.88516635718251,9.74
2121,32,3,0,2,0,0,0,0,2012,14.8,25.075968271436157,38.82837176829003,29.0,13.045092944134895
2122,32,3,1,2,0,0,0,0,2012,14.799999999999999,25.075867940917934,38.26,30.114781816383527,10.719999999999999
2123,32,3,2,2,0,0,0,0,2012,14.799999999999999,25.075867940917934,38.3,30.114781816383527,12.92
2124,32,5,0,2,0,0,0,0,2012,14.8,25.075968271436157,39.57993599259644,34.40032339380691,9.640012338776591
2125,32,1,0,2,0,0,0,0,2012,14.8,25.075968271436157,29.960543334796267,44.0,12.283210973228595
2126,32,1,1,2,0,0,0,0,2012,14.799999999999999,25.075867940917934,33.4,42.726960924630696,10.6
2127,32,1,2,2,0,0,0,0,2012,14.799999999999999,25.075867940917934,33.43999999999999,42.726960924630696,12.8
2128,32,0,0,2,0,0,0,0,2013,14.8,25.08289868,40.779834459051145,34.0,8.73997969780816
2129,32,0,1,2,0,0,0,0,2013,14.620215408952301,25.23802158340496,37.28288199182812,33.400718029841,7.27820183415853
2130,32,0,2,2,0,0,0,0,2013,14.620215408952301,25.23802158340496,37.69839889342883,33.400718029841,10.697536759121272
2131,32,4,0,2,0,0,0,0,2013,14.620215408952301,25.23802158340496,44.35907889688631,36.0,4.415735739767653
2132,32,4,1,2,0,0,0,0,2013,14.62010799523461,25.241085653569368,37.28071924957178,35.00674492967905,7.279551237446667
2133,32,4,2,2,0,0,0,0,2013,14.62010799523461,25.241085653569368,37.69960041690456,35.00674492967905,10.699385256776258
2134,32,2,0,2,0,0,0,0,2013,14.620215408952301,25.23802158340496,40.000615810219685,21.0,6.559975367591213
2135,32,2,1,2,0,0,0,0,2013,14.62010799523461,25.241085653569368,38.78070037672322,19.80349954913208,5.900798675210691
2136,32,2,2,2,0,0,0,0,2013,14.62010799523461,25.241085653569368,38.220528354370146,19.80349954913208,8.679318054243177
2137,32,3,0,2,0,0,0,0,2013,14.620215408952301,25.23802158340496,39.83935425098359,28.0,11.959840208605018
2138,32,3,1,2,0,0,0,0,2013,14.62010799523461,25.241085653569368,39.20039946031267,28.00079130423853,7.820288840533779
2139,32,3,2,2,0,0,0,0,2013,14.62010799523461,25.241085653569368,39.09963126740369,28.00079130423853,9.540639136500278
