,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Diabetes and Obesity | Adult Obesity,Income | Poverty in Children,Physical Activity | Adult Physical Inactivity,"Respiratory Infection | COVID-19 Vaccination, Seniors",Substance Use | Teen Marijuana
5089,25,0,1,2,1,0,0,0,2016,30.96,23.213214269999998,25.080000000000002,86.39999999999999,19.531306956968344
5090,25,0,2,2,1,0,0,0,2016,30.96,23.213214269999998,25.080000000000002,86.39999999999999,21.69994645904267
5091,25,4,0,2,1,0,0,0,2016,30.96,13.25469502,25.080000000000002,86.39999999999999,11.15889927217578
5092,25,4,1,2,1,0,0,0,2016,30.959999999999994,16.631426623800003,25.079999999999995,86.39999999999999,21.492291339595905
5093,25,4,2,2,1,0,0,0,2016,30.959999999999994,16.631426623800003,25.079999999999995,86.39999999999999,20.698940743547976
5094,25,2,0,2,1,0,0,0,2016,30.96,41.03791252,25.080000000000002,86.39999999999999,22.925589229335372
5095,25,2,1,2,1,0,0,0,2016,30.959999999999994,35.91433068,25.079999999999995,86.39999999999999,20.80283770368175
5096,25,2,2,2,1,0,0,0,2016,30.959999999999994,35.91433068,25.079999999999995,86.39999999999999,22.97387055231824
5097,25,3,0,2,1,0,0,0,2016,30.96,37.14042277,25.080000000000002,86.39999999999999,19.931340420066675
5098,25,3,1,2,1,0,0,0,2016,30.959999999999994,33.71636108599999,25.079999999999995,86.39999999999999,19.47891828652949
5099,25,3,2,2,1,0,0,0,2016,30.959999999999994,33.71636108599999,25.079999999999995,86.39999999999999,21.649951135165974
5100,25,5,0,2,1,0,0,0,2016,30.96,21.90869465,25.080000000000002,86.39999999999999,23.080027387793457
5101,25,1,0,2,1,0,0,0,2016,30.96,12.38464583,25.080000000000002,86.39999999999999,21.405523641662644
5102,25,1,1,2,1,0,0,0,2016,30.959999999999994,8.9314170206,25.079999999999995,86.39999999999999,20.040581069563782
5103,25,1,2,2,1,0,0,0,2016,30.959999999999994,8.9314170206,25.079999999999995,86.39999999999999,22.21161391820027
5104,25,0,0,2,1,0,0,0,2017,34.2,25.80359813,32.4,86.4,24.0
5105,25,0,1,2,1,0,0,0,2017,32.5,23.213214269999998,29.0,86.39999999999999,17.5
5106,25,0,2,2,1,0,0,0,2017,32.5,23.213214269999998,29.0,86.39999999999999,19.9
5107,25,4,0,2,1,0,0,0,2017,32.5,13.25469502,29.0,86.39999999999999,12.400986511359044
5108,25,4,1,2,1,0,0,0,2017,32.5,16.6314266238,29.0,86.4,18.816411776165662
5109,25,4,2,2,1,0,0,0,2017,32.5,16.6314266238,29.0,86.4,20.59928066031472
5110,25,2,0,2,1,0,0,0,2017,32.5,41.03791252,29.0,86.39999999999999,20.7
5111,25,2,1,2,1,0,0,0,2017,32.5,35.91433068,29.0,86.4,18.360603247950344
5112,25,2,2,2,1,0,0,0,2017,32.5,35.91433068,29.0,86.4,19.120961935920818
5113,25,3,0,2,1,0,0,0,2017,32.5,37.14042277,29.0,86.39999999999999,18.2
5114,25,3,1,2,1,0,0,0,2017,32.5,33.716361086000006,29.0,86.4,18.239682072026174
5115,25,3,2,2,1,0,0,0,2017,32.5,33.716361086000006,29.0,86.4,19.000040759996644
5116,25,5,0,2,1,0,0,0,2017,32.5,21.90869465,29.0,86.39999999999999,23.020025084147278
5117,25,1,0,2,1,0,0,0,2017,32.5,12.38464583,29.0,86.39999999999999,18.1
5118,25,1,1,2,1,0,0,0,2017,32.5,8.9314170206,29.0,86.4,18.879119584072473
5119,25,1,2,2,1,0,0,0,2017,32.5,8.9314170206,29.0,86.4,19.639478272042947
5120,25,0,0,2,1,0,0,0,2018,36.3,21.05037743,27.7,86.4,24.0
5121,25,0,1,2,1,0,0,0,2018,32.18,19.338380074,24.78,86.39999999999999,19.41159287156508
5122,25,0,2,2,1,0,0,0,2018,32.18,19.338380074,24.78,86.39999999999999,19.685188544912034
5123,25,4,0,2,1,0,0,0,2018,32.18,10.97101687,24.78,86.39999999999999,12.409207730001143
5124,25,4,1,2,1,0,0,0,2018,32.17999999999999,11.421298459199999,24.779999999999998,86.39999999999999,18.975474271127872
5125,25,4,2,2,1,0,0,0,2018,32.17999999999999,11.421298459199999,24.779999999999998,86.39999999999999,21.56690805530871
5126,25,2,0,2,1,0,0,0,2018,32.18,39.65081276,24.78,86.39999999999999,20.18806953884462
5127,25,2,1,2,1,0,0,0,2018,32.17999999999999,32.240435954000006,24.779999999999998,86.39999999999999,18.362850485201648
5128,25,2,2,2,1,0,0,0,2018,32.17999999999999,32.240435954000006,24.779999999999998,86.39999999999999,19.115308576438956
5129,25,3,0,2,1,0,0,0,2018,32.18,28.70721719,24.78,86.39999999999999,18.858735991174665
5130,25,3,1,2,1,0,0,0,2018,32.17999999999999,26.67364071,24.779999999999998,86.39999999999999,18.242494174551442
5131,25,3,2,2,1,0,0,0,2018,32.17999999999999,26.67364071,24.779999999999998,86.39999999999999,18.994952265788747
5132,25,5,0,2,1,0,0,0,2018,32.18,15.18563603,24.78,86.39999999999999,22.900028155675518
5133,25,1,0,2,1,0,0,0,2018,32.18,9.726916425,24.78,86.39999999999999,21.088076428428092
5134,25,1,1,2,1,0,0,0,2018,32.17999999999999,8.2878993872,24.779999999999998,86.39999999999999,18.884394498019205
5135,25,1,2,2,1,0,0,0,2018,32.17999999999999,8.2878993872,24.779999999999998,86.39999999999999,19.636852589256513
5136,25,0,0,2,1,0,0,0,2019,34.4,21.05037743,34.2,86.4,23.85
5137,25,0,1,2,1,0,0,0,2019,31.98,19.338380074,28.040000000000003,86.39999999999999,19.5
5138,25,0,2,2,1,0,0,0,2019,31.98,19.338380074,28.040000000000003,86.39999999999999,17.6
5139,25,4,0,2,1,0,0,0,2019,31.98,10.97101687,28.040000000000003,86.39999999999999,12.826849683221452
5140,25,4,1,2,1,0,0,0,2019,31.979999999999997,11.421298459199999,28.04,86.39999999999999,20.788037552856025
5141,25,4,2,2,1,0,0,0,2019,31.979999999999997,11.421298459199999,28.04,86.39999999999999,20.558101196110737
5142,25,2,0,2,1,0,0,0,2019,31.98,39.65081276,28.040000000000003,86.39999999999999,16.7
5143,25,2,1,2,1,0,0,0,2019,31.979999999999997,32.240435954,28.04,86.39999999999999,20.282514078319597
5144,25,2,2,2,1,0,0,0,2019,31.979999999999997,32.240435954,28.04,86.39999999999999,20.000239930354894
5145,25,3,0,2,1,0,0,0,2019,31.98,28.70721719,28.040000000000003,86.39999999999999,18.6
5146,25,3,1,2,1,0,0,0,2019,31.979999999999997,26.67364071,28.04,86.39999999999999,20.162106670427235
5147,25,3,2,2,1,0,0,0,2019,31.979999999999997,26.67364071,28.04,86.39999999999999,20.013701640611565
5148,25,5,0,2,1,0,0,0,2019,31.98,15.18563603,28.040000000000003,86.39999999999999,22.84002585202934
5149,25,1,0,2,1,0,0,0,2019,31.98,9.726916425,28.040000000000003,86.39999999999999,21.9
5150,25,1,1,2,1,0,0,0,2019,31.979999999999997,8.2878993872,28.04,86.39999999999999,20.80981375584139
5151,25,1,2,2,1,0,0,0,2019,31.979999999999997,8.2878993872,28.04,86.39999999999999,20.661408726025716
5152,25,0,0,2,1,0,0,0,2020,35.8,21.05037743,28.7,86.4,23.85
5153,25,0,1,2,1,0,0,0,2020,33.7,19.338380074,24.36,86.4,20.403824590432183
5154,25,0,2,2,1,0,0,0,2020,33.7,19.338380074,24.36,86.4,19.911782986880844
5155,25,4,0,2,1,0,0,0,2020,33.7,10.97101687,24.36,86.4,12.284128634926768
5156,25,4,1,2,1,0,0,0,2020,33.699999999999996,11.421298459199999,24.359999999999996,86.40000000000002,20.79676176072453
5157,25,4,2,2,1,0,0,0,2020,33.699999999999996,11.421298459199999,24.359999999999996,86.40000000000002,20.55985619448644
5158,25,2,0,2,1,0,0,0,2020,33.7,39.65081276,24.36,86.4,19.55976761980332
5159,25,2,1,2,1,0,0,0,2020,33.699999999999996,32.240435954,24.359999999999996,86.40000000000002,19.904203519096217
5160,25,2,2,2,1,0,0,0,2020,33.699999999999996,32.240435954,24.359999999999996,86.40000000000002,19.998699151233925
5161,25,3,0,2,1,0,0,0,2020,33.7,28.70721719,24.36,86.4,19.975815595069733
5162,25,3,1,2,1,0,0,0,2020,33.699999999999996,26.67364071,24.359999999999996,86.40000000000002,20.17413939792936
5163,25,3,2,2,1,0,0,0,2020,33.699999999999996,26.67364071,24.359999999999996,86.40000000000002,20.018726280382772
5164,25,5,0,2,1,0,0,0,2020,33.7,15.18563603,24.36,86.4,24.9182842470872
5165,25,1,0,2,1,0,0,0,2020,33.7,9.726916425,24.36,86.4,23.034948278868036
5166,25,1,1,2,1,0,0,0,2020,33.699999999999996,8.2878993872,24.359999999999996,86.40000000000002,20.825468912852713
5167,25,1,2,2,1,0,0,0,2020,33.699999999999996,8.2878993872,24.359999999999996,86.40000000000002,20.670055795306126
5168,25,0,0,2,1,0,0,0,2021,37.8,21.05037743,29.0,90.5,24.384999999999998
5169,25,0,1,2,1,0,0,0,2021,34.8,19.338380074,24.78,86.4,20.860409782486457
5170,25,0,2,2,1,0,0,0,2021,34.8,19.338380074,24.78,86.4,20.67620458824277
5171,25,4,0,2,1,0,0,0,2021,34.8,10.97101687,24.78,86.4,11.463123442517842
5172,25,4,1,2,1,0,0,0,2021,34.8,11.421298459199999,24.779999999999998,86.39999999999999,20.823677630935553
5173,25,4,2,2,1,0,0,0,2021,34.8,11.421298459199999,24.779999999999998,86.39999999999999,20.56551746396179
5174,25,2,0,2,1,0,0,0,2021,34.8,39.65081276,24.78,86.4,20.44256353929401
5175,25,2,1,2,1,0,0,0,2021,34.8,32.240435954,24.779999999999998,86.39999999999999,20.308208290902176
5176,25,2,2,2,1,0,0,0,2021,34.8,32.240435954,24.779999999999998,86.39999999999999,20.131185925578116
5177,25,3,0,2,1,0,0,0,2021,34.8,28.70721719,24.78,86.4,20.526973877281314
5178,25,3,1,2,1,0,0,0,2021,34.8,26.67364071,24.779999999999998,86.39999999999999,20.211691728076428
5179,25,3,2,2,1,0,0,0,2021,34.8,26.67364071,24.779999999999998,86.39999999999999,20.034669362752364
5180,25,5,0,2,1,0,0,0,2021,34.8,15.18563603,24.78,86.4,24.90812856802463
5181,25,1,0,2,1,0,0,0,2021,34.8,9.726916425,24.78,86.4,23.213740205838953
5182,25,1,1,2,1,0,0,0,2021,34.8,8.2878993872,24.779999999999998,86.39999999999999,20.87408464269557
5183,25,1,2,2,1,0,0,0,2021,34.8,8.2878993872,24.779999999999998,86.39999999999999,20.697062277371504
5184,25,0,0,2,1,0,0,0,2022,37.8,21.05037743,29.0,95.0,23.19130434782609
5185,25,0,1,2,1,0,0,0,2022,34.8,19.338380074,24.779999999999998,91.53999999999999,23.377648754456423
5186,25,0,2,2,1,0,0,0,2022,34.8,19.338380074,24.779999999999998,91.53999999999999,22.33019371479999
5187,25,4,0,2,1,0,0,0,2022,34.8,10.97101687,24.779999999999998,91.53999999999999,11.454590926508804
5188,25,4,1,2,1,0,0,0,2022,34.8,11.421298459199999,24.78,91.53999999999999,21.181660536720884
5189,25,4,2,2,1,0,0,0,2022,34.8,11.421298459199999,24.78,91.53999999999999,18.648564805249492
5190,25,2,0,2,1,0,0,0,2022,34.8,39.65081276,24.779999999999998,91.53999999999999,22.330885732751263
5191,25,2,1,2,1,0,0,0,2022,34.8,32.240435954000006,24.78,91.53999999999999,22.112483183851356
5192,25,2,2,2,1,0,0,0,2022,34.8,32.240435954000006,24.78,91.53999999999999,21.387573703921067
5193,25,3,0,2,1,0,0,0,2022,34.8,28.70721719,24.779999999999998,91.53999999999999,21.56948028799586
5194,25,3,1,2,1,0,0,0,2022,34.8,26.67364071,24.78,91.53999999999999,22.817819575079934
5195,25,3,2,2,1,0,0,0,2022,34.8,26.67364071,24.78,91.53999999999999,22.092910095149644
5196,25,5,0,2,1,0,0,0,2022,34.8,15.18563603,24.779999999999998,91.53999999999999,22.878383357546262
5197,25,1,0,2,1,0,0,0,2022,34.8,9.726916425,24.779999999999998,91.53999999999999,26.00063858838767
5198,25,1,1,2,1,0,0,0,2022,34.8,8.2878993872,24.78,91.53999999999999,23.870840369677655
5199,25,1,2,2,1,0,0,0,2022,34.8,8.2878993872,24.78,91.53999999999999,23.14593088974737
