,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Birth Control | Teen Birth Control,Dietary Quality | Teen Soda,Lead Poisoning | Child Lead Testing,Physical Activity | Teen Physical Inactivity,School Violence | Weapons in School
1149,23,1,0,0,0,0,0,1,2016,8.38190109150301,22.957300655183886,27.26350245745071,22.216272370317935,19.231646081291984
1150,23,1,1,0,0,0,0,1,2016,23.094786891983542,23.711283170589848,27.26347639989318,28.500000000000004,15.14
1151,23,1,2,0,0,0,0,1,2016,19.63444791785191,23.747541908762695,27.26347639989318,22.28,21.060000000000002
1152,23,0,0,0,0,0,0,1,2017,19.8,24.2,25.65607494,26.0,17.4
1153,23,0,1,0,0,0,0,1,2017,23.8,15.7,27.213891240525044,30.2,11.0
1154,23,0,2,0,0,0,0,1,2017,15.1,18.9,27.213891240525044,22.0,23.0
1155,23,4,0,0,0,0,0,1,2017,22.380027387793458,8.463606621831385,27.213891240525044,22.33276158615561,7.4207383863760965
1156,23,4,1,0,0,0,0,1,2017,25.442168431821504,22.17903837620789,27.213847279919772,30.318516336122133,10.639478272042947
1157,23,4,2,0,0,0,0,1,2017,19.747960854292923,21.80096442259031,27.213847279919772,21.539559792036236,20.499592400033553
1158,23,2,0,0,0,0,0,1,2017,24.3,17.5,27.213891240525044,26.3,15.4
1159,23,2,1,0,0,0,0,1,2017,26.141645362564997,21.675858784340896,27.213847279919772,26.340749373049402,11.46092042559329
1160,23,2,2,0,0,0,0,1,2017,20.562371265277076,21.597228320228158,27.213847279919772,23.339527569164506,17.53916102799904
1161,23,3,0,0,0,0,0,1,2017,22.80569809135747,15.4,27.213891240525044,25.1,18.9
1162,23,3,1,0,0,0,0,1,2017,25.442168431821504,20.416029976326804,27.213847279919772,25.62086340807866,11.981132204933338
1163,23,3,2,0,0,0,0,1,2017,19.747960854292923,21.196698440271778,27.213847279919772,22.619641604193763,18.059372807339088
1164,23,5,0,0,0,0,0,1,2017,22.380027387793458,21.359981826791255,27.213891240525044,26.07996723703212,16.259971588363793
1165,23,1,0,0,0,0,0,1,2017,10.351610349169617,18.017894752243162,27.213891240525044,24.4,20.9
1166,23,1,1,0,0,0,0,1,2017,25.442168431821504,24.579349127512547,27.213847279919772,29.636936097099035,13.280431879930191
1167,23,1,2,0,0,0,0,1,2017,19.747960854292923,23.956621581074586,27.213847279919772,21.60065189423425,19.361148963587862
1168,23,0,0,0,0,0,0,1,2018,19.8,24.2,25.65607494,26.0,17.4
1169,23,0,1,0,0,0,0,1,2018,27.218181818181815,21.115848351670195,34.0841864889499,29.690909090909084,10.145454545454545
1170,23,0,2,0,0,0,0,1,2018,22.876725772794146,21.48064534384023,34.0841864889499,21.190909090909088,20.154545454545453
1171,23,4,0,0,0,0,0,1,2018,25.35995111150887,8.742875261631907,34.0841864889499,22.167261096206232,7.212532397967434
1172,23,4,1,0,0,0,0,1,2018,25.46912579993104,23.7655320256791,27.213847279919772,30.30969578039249,10.631899573025313
1173,23,4,2,0,0,0,0,1,2018,20.03182399434168,22.776630049369327,27.213847279919772,21.53428205154728,20.494341613510326
1174,23,2,0,0,0,0,0,1,2018,27.018181818181812,21.911518214595265,34.0841864889499,26.727272727272723,14.418181818181814
