,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Teen Births,Deaths | Infant Deaths,Food Access | Limited Supermarket Access,Income Inequality | Household Income Inequality,Lead Poisoning | Child Lead Levels 5+ mcg/dL,"Racial Segregation Indices | Racial Segregation, White and Hispanic",Transportation | Lack of Car
43,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2012,38.172044942,4.9131390644,60.22204138800001,0.19501437179999997,1.357026891350626,46.204842518,6.804274219399999
44,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2012,23.025799999799997,5.8010962668,60.222041387999994,0.19501437179999997,1.5373517153773226,46.204842518,6.804274219399998
45,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2012,9.538203191,4.875738525,60.222041387999994,0.19501437179999997,1.5373517153773226,46.204842518,6.804274219399998
46,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2012,7.9044363413999985,4.167648679599999,60.22204138800001,0.19501437179999997,1.357026891350626,46.204842518,6.804274219399999
47,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2012,7.9044363413999985,4.167648679599999,60.22204138800001,0.19501437179999997,1.357026891350626,46.204842518,6.804274219399999
48,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2013,35.58470736,6.667826097600001,63.14366606,0.127441129,1.927904408,46.46431386,6.314894936
49,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2013,20.138076641999998,5.7404352556000005,60.222041387999994,0.1950143718,1.5373517245920338,46.204842518,6.8042742194
50,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2013,20.138076641999998,5.7404352556000005,60.222041387999994,0.1950143718,1.5373517245920338,46.204842518,6.8042742194
51,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2013,3.846826368,4.032059227949125,60.222041387999994,0.1950143718,1.5373517245920338,46.204842518,6.8042742194
52,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2013,7.425556120034481,3.1623836735649418,60.222041387999994,0.1950143718,1.5373517544681483,46.204842518,6.8042742194
53,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2013,7.425556120034481,3.1623836735649418,60.222041387999994,0.1950143718,1.5373517544681483,46.204842518,6.8042742194
54,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2013,47.25715075,11.575789201400001,60.222041387999994,0.1950143718,1.5373517245920338,46.204842518,6.8042742194
55,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2013,27.200189526000003,10.1274155564,60.222041387999994,0.1950143718,1.5373517544681483,46.204842518,6.8042742194
56,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2013,27.200189526000003,10.1274155564,60.222041387999994,0.1950143718,1.5373517544681483,46.204842518,6.8042742194
57,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2013,66.79788412,5.818345831399999,60.222041387999994,0.1950143718,1.5373517245920338,46.204842518,6.8042742194
58,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2013,38.172044942,4.913139064399999,60.222041387999994,0.1950143718,1.5373517544681483,46.204842518,6.8042742194
59,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2013,38.172044942,4.913139064399999,60.222041387999994,0.1950143718,1.5373517544681483,46.204842518,6.8042742194
60,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2013,19.022182088,7.079674487199999,60.222041387999994,0.1950143718,1.5373517245920338,46.204842518,6.8042742194
61,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2013,8.552088493,4.875738525000001,60.222041387999994,0.1950143718,1.5373517245920338,46.204842518,6.8042742194
62,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2013,7.904436341399999,4.1676486796,60.222041387999994,0.1950143718,1.5373517544681483,46.204842518,6.8042742194
63,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2013,7.904436341399999,4.1676486796,60.222041387999994,0.1950143718,1.5373517544681483,46.204842518,6.8042742194
64,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2014,32.65445876,4.543506215,63.14366606,0.127441129,1.566287526,46.46431386,6.314894936
